MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019milin_qm1,blue,frc1502,frc6528,frc5530,102,51,0,15,5,5,5,5,5,5,5,5,27,0,0,0,3,3,12,0,30,18,30,5,5,5,12,2,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,57,0,0,2,0,102
2019milin_qm1,red,frc830,frc6954,frc503,51,102,0,12,2,2,2,5,0,5,5,5,21,0,0,0,3,0,3,10,0,6,0,5,5,5,12,0,5,0,2,5,2,5,0,2,2,2,2,2,2,3,6,3,0,12,0,39,0,0,0,0,51
2019milin_qm10,blue,frc5066,frc3773,frc66,57,69,0,15,5,5,5,5,5,5,5,5,27,0,0,0,0,6,3,0,0,9,0,5,5,5,6,0,0,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,42,0,0,0,0,57
2019milin_qm10,red,frc503,frc5067,frc1502,69,57,0,15,5,5,5,2,2,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,54,0,0,0,0,69
2019milin_qm11,blue,frc7225,frc1528,frc280,29,60,0,12,2,2,2,5,0,5,5,2,9,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,17,0,0,0,0,29
2019milin_qm11,red,frc7660,frc3542,frc7912,60,29,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,3,12,2,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,51,0,0,0,0,60
2019milin_qm12,blue,frc6081,frc2620,frc830,50,46,0,15,2,2,5,5,0,2,5,5,12,0,0,0,6,6,3,0,0,15,30,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,35,2,0,0,0,50
2019milin_qm12,red,frc6615,frc7175,frc5853,46,50,0,15,5,5,5,2,0,5,5,5,18,0,0,0,6,3,0,0,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,46
2019milin_qm13,blue,frc573,frc3656,frc6528,75,26,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,12,3,0,0,21,30,5,5,5,12,2,0,5,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,60,0,0,0,0,75
2019milin_qm13,red,frc6101,frc5695,frc7147,26,75,0,9,2,2,2,0,5,2,2,2,3,0,0,0,3,3,0,0,0,6,0,5,5,5,8,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,17,0,0,0,0,26
2019milin_qm14,blue,frc5067,frc4395,frc6583,48,58,0,15,5,5,5,0,5,5,5,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,33,0,0,0,0,48
