Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1502,16.51,21.19,0.00,4.49,1.67,1.59,1.50,0.48,1.46,0.83,0.99,0.53,3.06,-0.46,0.00,0.00,0.73,1.26,1.27,0.34,3.09,3.25,5.24,1.59,1.70,1.66,2.62,0.72,-0.37,1.33,-0.89,0.09,-0.26,0.28,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.73,1.69,1.69,0.16,4.49,-0.01,8.94,0.13,-0.23,0.28,0.00,16.51,
frc6528,34.39,11.91,0.00,5.88,2.32,2.20,1.56,3.05,2.53,2.17,1.88,2.04,13.77,-0.72,0.00,0.00,1.00,1.92,1.48,-0.03,1.97,4.43,2.98,1.74,1.75,1.76,8.35,0.91,1.33,1.60,1.24,-0.10,-0.14,0.05,0.24,0.67,0.67,0.67,0.67,0.67,0.67,2.14,1.73,1.52,0.98,5.88,0.00,26.54,-0.02,-0.18,0.19,-0.02,34.39,
frc5530,25.43,24.80,0.00,4.17,1.63,1.43,1.58,1.50,1.68,1.99,1.76,1.61,9.20,-0.46,0.00,0.00,1.19,2.54,2.98,0.35,1.94,6.69,8.79,1.74,1.71,1.77,3.42,0.32,-0.33,0.25,0.39,0.64,0.26,0.76,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.91,1.46,1.38,0.62,4.17,-0.01,19.32,0.61,0.17,0.50,0.11,25.43,
frc830,19.54,20.61,0.00,4.50,0.97,1.05,1.02,1.63,0.50,1.47,1.60,1.77,7.99,-0.13,0.00,0.00,0.67,0.34,0.99,0.91,-0.52,2.03,3.31,1.72,1.72,1.56,5.55,1.47,1.12,0.75,0.96,0.92,0.41,0.52,0.78,0.67,0.67,0.67,0.67,0.67,0.67,1.12,1.95,1.75,0.39,4.50,-0.02,15.56,0.38,-0.06,0.12,-0.03,19.54,
frc6954,4.51,20.70,0.00,2.88,0.13,0.48,1.31,1.23,-0.59,1.68,1.90,1.52,2.92,-0.60,0.00,0.00,0.57,1.20,-0.38,1.34,-0.87,0.90,-1.82,1.27,1.21,1.46,-1.32,-1.05,0.00,-1.18,-0.38,-0.30,0.32,-0.30,0.55,0.67,0.67,0.67,0.67,0.67,0.67,1.04,1.39,1.90,-0.15,2.88,-0.02,2.50,-0.26,0.41,-0.31,0.77,4.51,
frc503,25.92,27.22,0.00,4.07,1.62,1.46,1.55,0.80,1.21,1.66,1.63,1.55,8.88,-0.02,0.00,0.00,4.05,2.08,1.87,0.62,-0.24,8.04,12.33,1.74,1.74,1.78,5.16,0.69,0.78,0.36,0.16,1.86,0.01,1.76,0.14,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.70,0.92,1.11,4.07,0.08,22.08,0.39,-0.03,0.66,-0.22,25.92,
frc5066,18.73,19.38,0.00,4.06,1.28,1.14,1.27,2.07,1.66,1.17,1.24,1.70,7.34,-0.71,0.00,0.00,1.51,1.92,1.75,0.06,0.17,4.68,2.35,1.75,1.25,1.71,2.48,1.32,-0.08,1.42,0.61,0.11,-0.13,0.29,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.22,1.33,1.78,0.18,4.06,-0.01,14.50,0.15,-0.27,-0.10,-0.23,18.73,
frc3773,15.06,21.73,0.00,4.51,1.06,1.27,1.42,1.04,1.26,1.77,1.24,1.60,5.16,2.12,0.00,0.00,1.41,1.57,0.02,-0.13,0.51,3.04,-1.50,1.58,1.77,1.15,1.84,-0.46,0.14,-0.82,0.63,-0.16,0.11,-0.43,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.51,2.15,0.07,4.51,-0.01,10.04,-0.23,0.48,-0.24,0.30,15.06,
frc66,28.67,23.08,0.00,5.31,1.81,2.24,2.00,2.38,2.54,1.87,2.02,1.91,14.53,-0.32,0.00,0.00,-0.15,1.30,1.36,-0.24,1.00,2.62,-0.10,1.28,1.86,1.96,5.22,1.71,0.26,1.44,0.15,0.88,0.35,1.26,-0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.59,1.78,0.71,5.31,0.00,22.37,0.37,0.19,0.40,0.16,28.67,
frc5067,28.43,21.17,0.00,6.00,2.06,2.05,2.11,0.88,1.62,2.09,1.81,1.68,12.20,-0.11,0.00,0.00,1.06,1.73,0.67,0.16,2.56,3.50,3.47,1.80,1.75,1.72,4.17,1.26,1.83,0.62,2.26,0.25,0.38,-0.11,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.62,2.85,0.78,6.00,-0.02,19.87,-0.16,0.04,-0.28,0.09,28.43,
