MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019miliv_qm1,blue,frc5641,frc5774,frc5660,55,44,0,9,5,5,5,5,5,0,0,0,15,0,0,0,12,3,3,0,9,18,30,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,37,0,0,0,0,55
2019miliv_qm1,red,frc3619,frc3175,frc5695,44,55,0,15,5,2,5,0,5,5,5,5,18,0,0,0,3,0,0,3,0,3,0,5,5,5,8,0,0,2,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,2,0,44
2019miliv_qm10,blue,frc5065,frc7147,frc6089,41,39,0,15,2,2,2,2,0,5,2,2,3,0,0,0,0,3,3,0,13,6,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,13,0,0,0,0,41
2019miliv_qm10,red,frc3619,frc5774,frc5915,39,41,0,15,0,0,2,5,2,2,2,2,3,0,0,0,3,12,0,1,0,15,30,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,1,24,0,0,0,0,39
2019miliv_qm11,blue,frc5662,frc5577,frc1506,52,58,0,9,2,2,2,2,0,5,5,2,12,0,0,0,0,3,12,0,6,15,30,5,5,5,10,0,0,0,5,0,2,0,5,2,2,2,2,2,2,3,3,3,1,9,0,37,0,2,0,0,52
2019miliv_qm11,red,frc3175,frc7784,frc5641,58,52,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,3,12,2,0,18,30,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,43,0,0,0,0,58
2019miliv_qm12,blue,frc7692,frc5217,frc4758,47,58,0,15,2,2,2,2,2,0,0,0,0,0,0,0,12,3,3,1,0,18,30,5,5,5,14,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,1,32,0,0,0,0,47
2019miliv_qm12,red,frc6861,frc5156,frc548,58,47,0,12,2,5,5,0,0,5,5,5,21,0,0,0,3,3,0,0,13,6,0,5,5,5,6,5,2,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,33,0,0,0,0,58
2019miliv_qm13,blue,frc7220,frc6057,frc7553,70,35,0,15,5,5,5,2,0,5,5,5,24,0,0,0,3,3,12,0,3,18,30,5,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,52,0,0,0,0,70
2019miliv_qm13,red,frc5708,frc5907,frc6190,35,70,0,6,5,5,0,5,0,5,5,5,18,0,0,0,3,3,3,1,0,9,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,29,0,0,0,0,35
2019miliv_qm14,blue,frc7174,frc3175,frc1076,52,38,0,15,5,5,5,0,0,5,5,5,21,0,0,0,3,3,6,2,0,12,0,5,5,5,4,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,37,0,0,0,0,52
2019miliv_qm14,red,frc5533,frc6089,frc5695,38,52,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,6,9,0,5,5,5,8,2,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,17,0,0,2,0,38
2019miliv_qm15,blue,frc5217,frc7856,frc7784,31,57,0,12,2,2,2,0,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,19,0,0,0,0,31
2019miliv_qm15,red,frc7692,frc6152,frc5577,57,31,0,15,2,5,5,5,2,5,5,5,21,0,0,0,12,3,0,0,0,15,30,5,5,5,6,0,5,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,42,0,0,0,0,57
2019miliv_qm16,blue,frc1506,frc6116,frc7553,80,36,0,15,5,5,5,0,0,5,5,5,30,0,0,0,12,3,6,0,0,21,30,5,5,5,14,5,5,5,5,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,65,0,0,0,0,80
2019miliv_qm16,red,frc5774,frc7598,frc4758,36,80,0,15,0,2,2,2,2,0,0,0,0,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,21,0,0,0,0,36
2019miliv_qm17,blue,frc7220,frc5915,frc4380,48,41,0,15,2,5,5,5,5,2,5,2,15,0,0,0,3,3,0,0,0,6,0,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,33,0,0,0,0,48
2019miliv_qm17,red,frc5662,frc5660,frc6861,41,48,0,9,2,5,2,2,5,5,5,2,18,0,0,0,3,3,0,0,0,6,0,3,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,32,0,0,0,0,41
2019miliv_qm18,blue,frc6057,frc5156,frc2832,69,31,0,15,5,5,5,5,2,5,5,5,21,0,0,0,6,3,3,0,9,12,0,5,5,5,12,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,2,15,0,45,0,0,0,2,69
2019miliv_qm18,red,frc5695,frc6096,frc7147,31,69,0,9,2,2,2,2,2,2,2,2,0,0,0,0,3,3,0,3,0,6,0,5,5,5,16,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,3,3,0,9,0,22,0,2,0,2,31
2019miliv_qm19,blue,frc5708,frc3619,frc548,52,43,0,15,5,5,5,2,2,0,5,5,21,0,0,0,0,3,0,1,3,3,0,5,5,5,10,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,34,0,0,0,0,52
2019miliv_qm19,red,frc1076,frc5907,frc5531,43,52,0,6,2,2,5,0,0,5,5,5,18,0,0,0,3,6,3,1,3,12,0,3,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,34,0,0,0,0,43
2019miliv_qm2,blue,frc5577,frc5156,frc1250,64,43,0,12,5,5,5,0,5,5,5,5,27,0,0,0,3,3,3,0,6,9,0,5,5,5,10,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,46,0,0,0,0,64
2019miliv_qm2,red,frc7174,frc6190,frc7784,43,64,0,12,5,5,2,2,5,2,2,2,9,0,0,0,3,3,12,2,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,31,0,0,0,0,43
