Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5641,27.55,18.65,0.00,4.19,1.93,2.11,1.86,2.30,1.91,1.76,2.00,1.04,10.27,-1.17,0.00,0.00,3.66,3.58,3.87,-0.01,-0.22,11.09,22.51,1.55,1.75,1.74,2.22,0.16,0.35,-0.11,0.71,0.08,0.23,-0.02,0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.13,1.55,1.73,4.19,0.03,23.58,-0.01,0.05,-0.05,0.07,27.55,
frc5774,19.24,19.94,0.00,5.17,0.03,0.50,0.68,2.11,2.48,0.81,0.60,0.50,3.49,-0.52,0.00,0.00,2.12,2.29,0.60,-0.03,0.52,5.00,4.25,1.69,1.55,1.53,5.06,-0.17,0.21,0.33,-0.39,-0.01,-0.12,0.06,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.81,2.45,0.45,5.17,0.05,13.55,-0.01,0.10,-0.06,-0.04,19.24,
frc5660,15.23,10.18,0.00,4.37,1.52,1.20,1.57,1.60,0.76,2.21,1.93,2.17,8.01,2.21,0.00,0.00,2.10,0.03,0.29,0.16,0.27,2.46,-1.57,1.59,1.73,1.02,0.12,0.20,0.07,0.14,0.48,-0.19,-0.24,0.12,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.90,2.00,1.31,0.63,4.37,-0.01,10.60,-0.01,-0.01,-0.03,-0.03,15.23,
frc3619,14.95,20.26,0.00,5.18,1.99,1.55,1.61,1.02,1.70,1.00,1.37,1.50,6.05,-0.11,0.00,0.00,1.21,1.83,-0.29,0.53,-0.13,2.83,3.14,1.59,1.78,1.79,1.02,-0.18,-0.17,-0.17,0.24,-0.15,-0.06,-0.07,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.86,1.70,2.28,0.51,5.18,0.06,9.90,-0.05,-0.10,0.08,-0.04,14.95,
frc3175,14.92,8.39,0.00,6.11,1.43,1.55,1.71,-0.42,0.64,2.04,2.00,1.93,5.79,4.60,0.00,0.00,-0.22,-0.12,2.12,0.38,2.32,1.82,-2.31,1.70,1.73,1.74,-1.11,-0.40,0.27,-0.15,0.43,-0.19,-0.35,0.05,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,2.23,1.30,2.12,0.91,6.11,-0.06,6.49,-0.07,-0.04,0.13,-0.03,14.92,
frc5695,15.26,27.16,0.00,3.29,0.95,0.58,0.71,0.87,0.32,0.64,0.98,1.01,1.17,-0.94,0.00,0.00,0.67,2.18,0.89,0.70,0.77,3.82,0.17,1.79,1.70,1.49,6.21,0.60,0.20,0.17,-0.02,0.57,0.24,0.93,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.02,0.96,1.88,-0.18,3.29,0.07,11.20,0.30,0.48,0.83,0.32,15.26,
frc5065,14.37,17.78,0.00,5.69,0.76,0.76,1.39,-0.36,0.55,1.39,1.81,0.89,2.95,-0.72,0.00,0.00,-0.77,1.06,-0.00,0.62,3.48,0.39,-4.49,1.64,1.72,1.74,1.87,0.65,-0.19,0.56,0.49,0.16,0.16,0.05,0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.03,2.42,1.34,0.17,5.69,-0.05,5.20,0.00,-0.00,0.08,0.00,14.37,
frc7147,13.25,24.20,0.00,3.17,0.28,1.05,0.66,2.06,0.22,0.69,0.61,0.37,2.51,1.84,0.00,0.00,1.35,-0.18,0.87,0.06,1.75,1.55,-1.85,1.29,1.74,1.82,4.28,-0.24,1.42,0.03,1.38,-0.10,0.44,-0.26,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.88,0.27,1.10,-0.19,3.17,0.14,8.33,-0.05,0.14,-0.14,0.35,13.25,
frc6089,9.07,14.72,0.00,5.87,0.74,0.29,0.83,0.45,1.15,1.39,0.73,0.94,-0.31,2.35,0.00,0.00,-0.57,1.23,1.17,-0.09,0.91,1.92,-0.78,1.60,1.72,1.83,0.68,-0.34,-0.35,-0.52,0.03,-0.21,-0.42,-0.10,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.82,2.10,2.47,-0.02,5.87,0.13,2.29,-0.03,-0.07,0.13,-0.09,9.07,
frc5915,9.97,20.83,0.00,5.60,0.73,0.87,1.29,1.11,0.08,1.43,1.41,0.53,2.03,-0.93,0.00,0.00,0.65,0.03,1.15,0.02,0.35,1.88,1.96,1.74,1.76,1.61,0.11,0.24,-0.66,0.36,-0.53,-0.09,0.05,-0.18,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.97,1.93,1.77,0.01,5.60,0.12,4.02,0.00,-0.05,-0.01,0.01,9.97,
