Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4392,22.76,14.06,0.01,4.33,1.36,1.76,1.85,0.49,1.85,1.79,1.83,1.67,9.33,0.17,0.00,0.00,1.15,0.20,1.07,-0.10,0.09,2.53,-1.95,1.74,1.90,1.93,6.47,0.17,1.92,0.74,1.15,0.42,0.52,0.10,0.46,0.67,0.67,0.67,1.06,1.74,0.67,0.85,4.33,-0.02,18.34,0.85,0.21,0.66,0.17,22.76,
frc7244,15.64,20.15,-0.00,3.84,2.02,1.94,1.66,0.44,1.71,2.12,2.12,2.09,10.47,-0.23,0.00,0.00,0.36,-0.58,1.44,-0.00,0.07,1.25,-1.98,1.68,1.74,1.60,0.01,0.17,0.57,0.28,0.09,-0.26,0.06,-0.03,0.03,0.67,0.67,0.67,1.12,1.42,1.45,0.23,3.84,-0.03,11.73,-0.15,-0.11,-0.08,-0.12,15.64,
frc4988,8.96,19.95,0.01,3.90,1.16,1.19,1.47,0.43,0.70,0.73,0.70,0.62,1.83,-0.56,0.00,0.00,-0.21,2.35,1.01,-0.17,0.35,3.09,1.99,1.78,1.31,1.62,-0.22,0.09,-0.50,-0.33,-0.63,-0.31,-0.19,0.17,-0.25,0.67,0.67,0.67,1.46,0.49,2.14,-0.12,3.90,0.05,4.70,0.16,-0.05,0.58,-0.05,8.96,
frc5534,15.24,18.12,0.01,5.75,1.56,1.63,1.13,0.77,0.46,0.79,0.92,0.89,4.90,-0.04,0.00,0.00,0.07,-0.01,-0.08,0.45,3.06,0.09,-2.63,1.73,1.59,1.81,1.43,0.38,0.28,0.54,0.72,-0.04,-0.04,0.18,-0.04,0.67,0.67,0.67,1.39,2.46,1.65,0.17,5.75,-0.02,6.42,-0.09,0.08,-0.11,0.11,15.24,
frc5706,12.41,14.88,-0.00,5.71,0.82,1.03,0.64,1.17,0.56,1.80,1.70,1.99,3.89,-0.32,0.00,0.00,0.66,0.30,2.56,0.30,0.08,3.58,1.62,1.73,1.72,1.85,-0.84,-0.67,-0.09,-0.45,0.13,-0.34,-0.21,-0.22,-0.30,0.67,0.67,0.67,2.06,1.30,1.91,0.19,5.71,0.04,6.62,-0.23,-0.09,-0.12,-0.06,12.41,
frc3537,22.98,15.77,-0.00,4.54,1.94,2.48,2.09,1.24,2.16,2.21,2.32,1.85,13.14,-0.53,0.00,0.00,-0.41,-0.58,2.16,0.01,0.14,1.27,-0.53,1.62,1.40,1.84,3.90,1.18,0.35,1.37,0.37,0.66,0.40,0.44,0.53,0.67,0.67,0.67,1.31,1.55,1.82,0.63,4.54,-0.03,18.31,0.14,0.15,-0.16,-0.05,22.98,
frc5314,17.20,24.71,-0.00,5.40,2.16,1.78,1.66,0.66,0.95,1.03,1.44,1.02,5.64,-0.18,0.00,0.00,0.81,1.55,1.74,-0.04,-0.71,4.16,1.96,1.69,1.75,1.89,2.71,0.21,-0.12,-0.03,-0.38,0.39,0.21,0.51,-0.22,0.67,0.67,0.67,1.56,1.99,1.29,0.02,5.40,0.15,12.52,0.65,0.09,0.50,-0.10,17.20,
frc6345,18.85,15.50,-0.00,4.23,2.25,2.22,1.93,1.04,1.61,1.55,2.25,2.15,10.41,-0.50,0.00,0.00,-0.95,1.44,0.81,0.09,0.60,1.09,-2.86,1.32,1.49,1.49,2.52,0.71,1.15,-0.35,1.03,-0.28,0.21,-0.52,0.16,0.67,0.67,0.67,1.86,1.26,2.03,0.44,4.23,-0.02,14.02,-0.10,0.23,-0.29,0.07,18.85,
frc4827,13.11,21.20,-0.01,4.90,0.79,0.92,1.76,1.34,-0.19,1.65,1.59,1.08,4.50,-0.25,0.00,0.00,1.62,1.51,1.45,-0.03,-0.01,4.40,3.77,1.71,1.86,1.19,-0.68,0.27,-0.52,0.64,-0.84,0.04,-0.23,0.16,-0.25,0.67,0.67,0.67,1.47,1.57,2.42,0.15,4.90,-0.00,8.22,-0.00,-0.06,-0.11,-0.07,13.11,
frc6558,20.06,17.48,0.00,5.02,1.68,1.53,1.69,1.10,-0.08,1.63,1.44,1.42,5.99,-0.27,0.00,0.00,3.17,1.94,1.77,0.12,0.25,6.93,5.37,1.81,1.63,1.54,1.88,1.01,-0.50,-0.14,-0.47,0.90,-0.38,0.04,-0.19,0.67,0.67,0.67,2.34,1.77,1.69,0.68,5.02,0.06,14.79,0.92,-0.15,0.44,0.09,20.06,
