MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mimar_qm1,blue,frc5155,frc3667,frc5555,70,72,0,12,5,5,5,0,5,5,5,5,24,0,0,0,6,12,3,0,3,21,30,5,5,5,10,2,0,5,2,2,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,55,0,0,0,0,70
2019mimar_qm1,red,frc3534,frc7247,frc217,72,70,0,15,5,5,5,5,5,5,5,5,27,0,0,0,3,3,12,1,0,18,30,5,5,5,12,0,5,0,0,0,2,0,0,2,2,2,2,2,2,6,6,3,3,15,0,57,0,0,0,0,72
2019mimar_qm10,blue,frc217,frc5167,frc7491,71,75,0,15,5,5,5,5,5,5,5,5,33,0,0,0,3,3,3,0,0,9,0,5,5,5,14,5,0,5,2,2,0,5,0,2,2,2,2,2,2,6,3,6,0,15,0,56,0,0,0,0,71
2019mimar_qm10,red,frc5090,frc5860,frc2851,75,71,0,15,2,2,5,5,5,5,5,2,27,0,0,0,6,12,3,0,0,21,30,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,60,0,0,0,0,75
2019mimar_qm11,blue,frc313,frc5843,frc302,76,65,0,15,2,5,5,5,2,5,5,5,27,0,0,0,3,3,12,0,0,18,30,5,5,5,16,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,3,15,0,61,0,5,0,2,76
2019mimar_qm11,red,frc3667,frc7813,frc7247,65,76,0,15,5,5,5,2,5,5,5,5,21,0,0,0,12,6,3,0,0,21,30,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,50,0,0,0,0,65
2019mimar_qm12,blue,frc3534,frc7206,frc4130,64,45,0,15,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,0,0,9,0,5,5,5,10,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,49,0,0,0,0,64
2019mimar_qm12,red,frc7859,frc6344,frc7166,45,64,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,36,0,0,0,0,45
2019mimar_qm13,blue,frc201,frc494,frc4779,65,54,0,15,0,5,0,5,0,5,5,5,21,0,0,0,3,6,12,0,0,21,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,50,0,0,0,0,65
2019mimar_qm13,red,frc7820,frc1684,frc5527,54,65,0,15,2,2,2,0,0,2,2,2,9,0,0,0,3,12,3,0,0,18,30,5,5,5,12,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,1,15,0,39,0,2,0,5,54
2019mimar_qm14,blue,frc3535,frc1189,frc2604,64,64,0,12,5,5,5,5,5,5,5,5,30,0,0,0,6,3,3,0,0,12,0,5,5,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,52,0,0,0,0,64
2019mimar_qm14,red,frc5547,frc5155,frc7491,64,64,0,15,5,5,5,2,5,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,10,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,49,0,0,0,2,64
2019mimar_qm15,blue,frc7166,frc70,frc7247,46,56,0,12,2,2,2,5,2,5,2,2,9,0,0,0,3,12,0,2,0,15,30,3,5,5,10,5,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,12,0,34,2,0,2,0,46
2019mimar_qm15,red,frc7813,frc6019,frc6086,56,46,0,15,5,2,5,5,5,5,5,2,18,0,0,0,3,3,3,0,6,9,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,35,0,0,0,0,56
