MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mimid_qm1,blue,frc6611,frc5156,frc5166,24,25,0,6,2,2,2,0,0,2,2,2,6,0,0,0,0,3,3,0,0,6,0,0,3,5,6,0,0,0,0,0,5,0,5,2,2,2,2,2,2,0,6,6,0,6,0,18,0,0,0,2,24
2019mimid_qm1,red,frc5509,frc6533,frc7784,25,24,0,6,5,2,5,0,0,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,3,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,19,0,0,0,0,25
2019mimid_qm10,blue,frc5235,frc5193,frc5424,50,48,0,6,5,5,5,5,5,5,5,5,27,0,0,0,3,0,6,0,0,9,0,3,3,5,8,2,0,0,0,0,0,0,5,2,2,2,2,2,2,3,6,6,2,6,0,44,0,0,0,0,50
2019mimid_qm10,red,frc2619,frc6597,frc5504,48,50,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,36,0,0,0,0,48
2019mimid_qm11,blue,frc5156,frc6073,frc6753,36,60,0,9,2,2,2,0,5,2,2,2,6,0,0,0,0,6,3,0,0,9,0,3,5,5,12,2,0,5,2,2,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,27,2,0,0,0,36
2019mimid_qm11,red,frc5216,frc4819,frc5712,60,36,0,12,2,5,2,0,0,5,5,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,12,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,6,3,12,0,48,0,0,2,0,60
2019mimid_qm12,blue,frc5661,frc7150,frc7751,0,49,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,3,0,0,0,0,0,0,0,0,0
2019mimid_qm12,red,frc4382,frc5046,frc5538,49,0,0,6,2,5,5,5,5,2,2,2,18,0,0,0,0,12,3,0,0,15,30,3,5,3,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,6,0,43,0,0,0,0,49
2019mimid_qm13,blue,frc5224,frc3414,frc5222,38,47,0,9,5,5,5,0,5,5,5,5,21,0,0,0,0,6,0,0,0,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,29,0,0,0,0,38
2019mimid_qm13,red,frc5229,frc6611,frc6067,47,38,0,15,2,2,2,2,2,5,5,2,6,0,0,0,3,3,12,0,0,18,30,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,32,0,0,0,0,47
2019mimid_qm14,blue,frc6193,frc6533,frc6071,49,95,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,6,0,9,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,37,0,0,0,0,49
2019mimid_qm14,red,frc5166,frc6020,frc2834,95,49,0,12,5,5,5,5,0,2,2,5,33,30,30,0,3,12,3,0,18,18,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,4,12,0,65,5,0,5,0,95
2019mimid_qm15,blue,frc5982,frc5538,frc7751,6,40,0,3,2,2,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,0,3,0,3,0,0,0,0,6
2019mimid_qm15,red,frc7784,frc5216,frc5203,40,6,0,9,2,5,5,5,2,2,2,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,31,0,0,0,0,40
2019mimid_qm16,blue,frc6611,frc6753,frc5424,47,63,0,15,5,5,5,5,0,5,5,2,18,0,0,0,3,3,6,2,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,32,0,0,0,0,47
2019mimid_qm16,red,frc5517,frc6067,frc6631,63,47,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,0,6,18,30,3,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,48,0,0,0,0,63
