MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mimil_qm1,blue,frc5460,frc6078,frc6193,66,52,0,15,5,2,5,0,0,5,5,5,24,0,0,0,6,0,3,3,6,9,0,5,5,5,12,0,5,0,2,0,5,0,5,2,2,2,2,2,2,6,6,3,2,15,0,45,0,2,0,2,66
2019mimil_qm1,red,frc7174,frc468,frc3707,52,66,0,6,5,5,5,0,0,5,5,5,24,0,0,0,3,3,3,2,9,9,0,5,3,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,37,0,0,0,0,52
2019mimil_qm10,blue,frc7225,frc7818,frc7783,30,51,0,12,2,5,5,0,0,2,2,2,6,0,0,0,6,3,3,0,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,18,0,0,0,0,30
2019mimil_qm10,red,frc5697,frc835,frc5561,51,30,0,12,2,5,2,0,2,5,5,5,15,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,39,0,5,0,2,51
2019mimil_qm11,blue,frc6550,frc7912,frc7195,23,43,0,9,0,2,2,2,2,2,2,0,0,0,0,0,3,0,0,0,3,3,0,5,5,3,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,11,0,0,0,0,23
2019mimil_qm11,red,frc3098,frc6193,frc7598,43,23,0,15,0,5,0,2,5,2,2,2,6,0,0,0,3,3,6,1,0,12,0,5,5,5,10,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,43
2019mimil_qm12,blue,frc5603,frc7178,frc7220,34,64,0,9,5,5,5,5,2,2,2,2,12,0,0,0,3,3,3,2,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,25,0,0,0,0,34
2019mimil_qm12,red,frc6344,frc6545,frc3707,64,34,0,12,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,0,6,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,46,0,0,0,0,64
2019mimil_qm13,blue,frc3536,frc7254,frc4776,59,23,0,15,5,2,5,0,0,2,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,8,0,2,0,2,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,44,0,0,0,0,59
2019mimil_qm13,red,frc5214,frc4362,frc7553,23,59,0,6,2,5,5,0,5,0,2,2,9,0,0,0,3,3,0,0,0,6,0,3,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,17,0,0,0,0,23
2019mimil_qm14,blue,frc5561,frc7174,frc3098,48,36,0,9,2,5,2,5,5,5,5,5,18,0,0,0,12,3,0,0,0,15,30,5,5,3,6,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,39,0,0,0,0,48
