Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5460,25.32,19.13,0.00,5.27,1.03,1.65,1.41,-0.13,0.26,1.37,1.23,0.98,7.81,1.78,2.53,-0.21,1.33,0.70,2.62,0.06,-0.04,4.68,4.04,1.66,1.71,1.88,7.60,1.28,0.99,1.68,1.18,0.99,0.76,0.71,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.70,2.03,1.19,0.62,5.27,-0.04,20.09,1.03,0.42,1.43,0.43,25.32,
frc6078,16.83,22.97,0.00,5.17,1.74,1.29,1.49,0.70,0.14,1.78,2.07,2.36,9.01,-1.10,-0.46,0.05,0.41,1.15,0.25,0.91,-0.42,1.82,-0.31,1.80,1.92,1.41,1.25,0.00,1.45,-0.33,0.64,-0.10,0.71,-0.14,0.59,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.67,2.27,0.35,5.17,0.12,12.08,-0.15,0.18,-0.14,0.13,16.83,
frc6193,18.81,13.62,0.00,6.02,2.09,1.74,1.96,0.34,0.64,2.12,1.67,1.33,7.06,-0.55,-0.48,-0.42,1.70,0.12,1.02,0.34,1.32,2.83,-6.15,1.59,1.75,1.97,1.57,-0.15,0.70,-0.15,0.14,-0.06,0.34,-0.17,0.71,0.67,0.67,0.67,0.67,0.67,0.67,2.39,2.33,0.85,0.45,6.02,-0.05,11.47,0.02,-0.06,-0.28,-0.03,18.81,
frc7174,9.41,19.56,0.00,1.91,1.58,1.34,2.02,-0.08,-0.40,0.79,1.41,1.66,4.86,-1.55,-0.50,-0.17,0.87,1.86,-0.58,0.44,-0.74,2.13,1.34,1.66,1.38,1.22,1.25,0.43,0.58,0.58,0.61,0.10,0.16,-0.06,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.00,0.54,-0.25,1.91,-0.03,8.24,0.04,-0.08,0.05,-0.08,9.41,
frc468,13.34,17.48,0.00,2.41,0.83,1.12,1.07,0.23,0.89,0.99,0.32,0.43,3.27,2.04,2.55,-0.16,1.40,1.18,0.42,0.05,2.47,3.04,0.07,1.51,1.27,1.36,2.15,0.53,0.24,0.47,0.85,0.22,-0.27,0.12,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,2.04,1.22,2.27,0.21,2.41,0.17,8.46,0.31,-0.03,0.31,-0.05,13.34,
frc3707,28.14,9.05,0.00,2.71,2.47,2.43,2.42,2.82,1.57,2.54,2.57,2.28,16.47,-0.38,-0.42,-0.07,0.45,0.45,2.10,-0.18,1.05,2.76,1.67,1.69,1.12,1.72,5.16,1.34,1.41,0.88,1.75,0.22,0.30,0.17,1.12,0.67,0.67,0.67,0.67,0.67,0.67,0.91,1.05,1.56,1.36,2.71,-0.03,24.38,0.21,-0.05,0.11,-0.06,28.14,
frc7225,9.33,15.91,0.00,3.56,0.34,0.54,1.05,-0.28,-0.52,0.95,0.41,0.78,-0.55,-0.80,-0.22,-0.03,1.96,3.21,2.28,-0.09,-0.74,7.20,11.58,2.03,1.50,1.55,-0.13,0.37,0.01,0.36,-0.22,0.01,-0.19,0.05,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.89,1.13,1.12,0.36,3.56,-0.08,6.52,-0.13,-0.04,-0.20,-0.03,9.33,
frc7818,10.54,18.68,0.00,5.97,0.32,0.86,0.28,1.00,0.90,0.66,0.98,0.62,1.07,-0.81,-0.21,0.02,0.86,1.70,1.61,0.51,0.27,4.18,1.93,1.88,1.42,1.65,-0.95,-0.23,-0.41,-0.38,-0.52,-0.35,0.00,-0.31,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.75,2.48,1.71,-0.15,5.97,0.01,4.29,-0.17,-0.05,-0.25,-0.09,10.54,
frc7783,9.65,22.02,0.00,3.29,1.78,0.89,1.04,0.94,1.39,1.32,1.05,1.65,4.51,2.26,0.01,0.04,0.76,0.74,-0.32,0.80,-0.33,1.20,-2.87,1.39,1.77,1.68,0.98,-0.19,0.08,0.37,0.14,-0.12,-0.11,0.04,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.32,1.32,0.12,3.29,0.05,6.69,-0.04,-0.08,0.11,-0.09,9.65,
frc5697,8.56,18.13,0.00,3.64,1.09,0.77,0.81,-0.52,-0.94,1.05,0.91,1.05,2.21,-0.13,-0.05,0.07,-1.16,-0.19,1.01,-0.13,0.59,-0.29,-5.13,1.48,2.01,1.72,2.41,0.56,0.18,0.42,0.69,0.02,-0.10,0.10,0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.08,1.06,-0.33,3.64,0.17,4.33,0.43,0.32,1.10,0.20,8.56,
