Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchlevelrobot1,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6100,16.83,10.67,0.00,2.04,1.04,2.12,1.81,0.52,0.53,1.37,1.37,0.83,4.20,0.00,0.00,0.00,4.27,3.90,1.16,0.15,0.62,9.33,17.72,1.96,1.52,1.28,0.63,0.08,0.22,-0.10,-0.29,-0.10,-0.19,0.17,-0.16,0.34,1.18,2.04,-0.02,14.16,-0.03,-0.07,0.11,-0.06,16.83,
frc4376,15.69,16.69,0.00,2.66,0.38,1.15,0.22,0.70,1.11,1.13,0.60,0.58,1.16,0.00,0.00,0.00,3.15,3.42,2.88,-0.12,-0.43,9.45,17.10,1.19,1.69,1.63,2.85,0.79,0.15,0.72,-0.05,0.15,0.04,0.25,0.03,1.23,0.86,2.66,-0.02,13.46,-0.04,-0.11,-0.04,-0.11,15.69,
frc4337,14.82,10.63,0.00,5.71,0.91,0.78,0.50,2.33,2.05,0.67,1.02,0.68,4.40,0.00,0.00,0.00,1.48,0.14,0.96,0.57,-0.58,2.58,0.08,1.84,1.62,1.66,2.70,-0.04,-0.46,0.18,-0.45,0.04,0.35,0.07,0.35,1.40,0.38,5.71,-0.01,9.68,0.02,0.02,-0.01,0.01,14.82,
frc3546,18.12,18.08,0.00,5.70,1.41,1.11,1.04,1.10,0.03,0.49,0.88,0.46,1.74,0.00,0.00,0.00,2.42,4.22,2.31,-0.14,-0.28,8.95,17.99,1.45,1.41,1.87,2.01,1.15,0.03,0.83,-0.02,-0.06,0.09,-0.14,-0.13,1.75,1.01,5.70,0.01,12.70,0.01,-0.11,-0.03,-0.09,18.12,
frc6098,4.72,17.33,0.00,2.45,0.70,0.87,0.75,0.40,-0.15,1.43,1.45,0.33,1.43,0.00,0.00,0.00,1.09,0.47,-0.99,0.52,0.07,0.56,-1.67,1.26,1.71,1.32,0.20,-0.02,-0.01,-0.11,-0.04,-0.10,-0.07,-0.11,-0.01,0.67,-0.29,2.45,0.08,2.19,0.01,-0.03,-0.01,-0.01,4.72,
frc6582,12.07,12.41,0.00,4.32,1.78,1.62,2.15,0.01,0.20,1.72,1.24,1.60,5.38,0.00,0.00,0.00,0.58,1.62,1.11,0.36,0.28,3.31,0.35,1.32,1.67,1.66,-1.22,-0.73,-0.07,-0.52,0.05,-0.26,-0.22,-0.01,0.01,2.01,0.45,4.32,-0.05,7.47,-0.03,-0.08,0.09,-0.09,12.07,
frc6097,9.29,17.03,0.00,5.49,0.68,0.70,1.26,-0.01,0.87,0.06,0.25,0.76,1.64,0.00,0.00,0.00,-0.09,-0.60,0.57,0.36,-0.29,-0.11,-6.19,1.87,1.65,1.79,2.57,0.74,0.78,-0.07,0.82,-0.18,0.56,-0.16,0.63,1.49,-0.13,5.49,-0.03,4.10,0.01,0.15,-0.03,0.16,9.29,
frc7602,11.12,12.78,0.00,1.84,0.94,0.68,0.29,1.56,1.46,0.81,0.59,1.38,1.30,0.00,0.00,0.00,2.06,-0.45,0.41,0.26,2.65,2.03,0.46,1.68,1.28,1.26,3.30,-0.08,0.66,0.20,0.34,-0.07,-0.17,-0.16,-0.20,0.38,0.16,1.84,0.06,6.63,-0.04,-0.10,-0.05,-0.10,11.12,
frc3458,10.88,13.75,0.00,3.32,1.04,0.65,0.46,1.52,0.65,-0.22,-0.09,0.92,1.59,0.00,0.00,0.00,1.00,1.46,1.81,-0.14,0.15,4.27,4.97,1.78,1.53,1.72,1.55,0.51,-0.34,0.20,0.20,-0.28,-0.17,-0.16,-0.12,1.11,0.62,3.32,0.04,7.41,0.01,-0.05,-0.04,-0.06,10.88,
frc7689,8.34,14.07,0.00,2.62,0.35,1.03,1.37,-0.11,-0.04,1.15,1.27,1.01,2.02,0.00,0.00,0.00,1.76,1.35,1.35,-0.34,-0.06,4.47,4.82,1.21,1.45,1.51,-0.70,-0.03,-0.18,-0.18,-0.35,-0.12,0.01,0.00,-0.08,1.39,0.49,2.62,0.05,5.78,0.02,0.13,0.00,-0.03,8.34,
frc7054,16.29,8.63,0.00,5.05,1.23,0.67,0.90,0.45,2.54,1.70,1.85,1.18,5.12,0.00,0.00,0.00,1.97,0.22,0.81,0.20,0.66,3.01,1.79,1.62,1.12,1.84,2.46,0.11,0.24,0.15,0.67,-0.07,-0.04,-0.03,-0.04,2.05,0.76,5.05,-0.03,10.58,-0.03,0.01,-0.04,0.03,16.29,
frc6065,19.16,12.95,0.00,4.46,1.74,2.01,2.06,0.77,1.25,1.81,1.69,1.64,9.78,0.00,0.00,0.00,0.60,1.38,1.29,-0.06,-0.25,3.27,-0.08,1.51,1.19,1.80,1.91,0.14,0.71,-0.11,0.98,0.65,-0.09,0.31,0.25,1.95,0.63,4.46,-0.05,14.96,-0.03,-0.03,-0.04,-0.02,19.16,
