MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mishe_qm1,blue,frc5622,frc4004,frc94,44,46,0,15,0,0,2,5,5,5,2,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,29,0,0,0,0,44
2019mishe_qm1,red,frc5509,frc503,frc7226,46,44,0,6,5,5,5,5,5,2,2,2,15,0,0,0,6,12,3,0,0,21,30,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,6,0,40,0,0,0,0,46
2019mishe_qm10,blue,frc5509,frc5502,frc6753,55,65,0,12,2,2,2,5,2,5,2,2,12,0,0,0,12,3,6,0,0,21,30,5,5,5,10,0,5,0,5,2,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,43,0,0,0,0,55
2019mishe_qm10,red,frc4409,frc6548,frc4994,65,55,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,6,3,0,0,15,30,5,5,5,8,0,5,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,50,0,0,0,0,65
2019mishe_qm11,blue,frc5424,frc7202,frc6642,52,53,0,12,5,2,5,0,2,5,5,5,15,0,0,0,3,0,3,0,13,6,0,5,3,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,27,0,0,0,0,52
2019mishe_qm11,red,frc5982,frc862,frc6594,53,52,0,9,2,2,2,5,5,5,5,5,15,0,0,0,6,12,3,1,0,21,30,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,1,44,0,0,0,0,53
2019mishe_qm12,blue,frc5166,frc5084,frc7495,64,15,0,15,2,5,0,5,2,5,5,2,18,0,0,0,6,12,3,1,0,21,30,5,5,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,49,0,0,0,0,64
2019mishe_qm12,red,frc5162,frc6552,frc5231,15,64,0,3,2,2,2,0,0,5,5,5,9,0,0,0,0,0,0,0,3,0,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,3,0,9,0,0,0,0,15
2019mishe_qm13,blue,frc3570,frc5229,frc94,46,57,0,12,2,0,0,5,5,2,0,5,9,0,0,0,3,0,6,0,0,9,0,3,5,5,16,2,0,0,2,0,0,2,0,2,2,2,2,2,2,3,6,6,0,12,0,34,2,0,2,0,46
2019mishe_qm13,red,frc6611,frc4004,frc6963,57,46,0,15,5,5,5,5,2,5,5,5,21,0,0,0,6,3,6,0,0,15,30,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,42,0,0,0,0,57
2019mishe_qm14,blue,frc5448,frc6581,frc2959,46,55,0,12,5,5,5,2,0,2,2,5,12,0,0,0,3,3,12,1,0,18,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,34,0,0,0,0,46
2019mishe_qm14,red,frc6753,frc4994,frc6128,55,46,0,9,5,5,5,5,2,5,5,5,21,0,0,0,12,3,3,0,3,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,43,0,0,0,0,55
2019mishe_qm15,blue,frc5622,frc6533,frc4409,46,80,0,15,5,5,5,5,5,2,5,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,31,0,0,0,0,46
2019mishe_qm15,red,frc5424,frc5084,frc862,80,46,0,12,5,5,5,0,5,5,5,5,33,0,0,0,3,6,12,0,0,21,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,3,12,0,68,2,0,2,0,80
2019mishe_qm16,blue,frc6611,frc6548,frc6594,40,41,0,15,2,2,2,2,2,2,2,2,0,0,0,0,6,6,3,0,0,15,30,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,25,0,0,0,0,40
2019mishe_qm16,red,frc5257,frc7495,frc94,41,40,0,15,2,2,2,2,2,2,0,0,0,0,0,0,3,3,6,0,0,12,0,5,5,5,14,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,26,0,0,0,0,41
