Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5622,8.20,13.30,0.00,5.66,0.47,0.62,0.99,0.77,0.03,0.82,0.92,0.99,0.82,0.15,0.00,-0.16,0.69,1.08,0.66,0.65,0.01,2.42,-1.10,1.76,1.70,1.53,-0.70,-0.01,-0.67,0.10,-0.34,-0.06,-0.33,-0.30,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,2.45,0.68,2.50,-0.14,5.66,-0.06,2.54,0.37,-0.21,0.12,-0.21,8.20,
frc4004,19.97,17.88,0.00,3.67,1.40,1.46,1.80,0.71,0.91,1.91,1.85,1.98,10.49,2.55,0.00,2.57,-0.06,1.79,0.36,0.46,-0.10,2.11,1.38,1.79,1.57,1.77,3.80,0.13,1.22,0.35,0.98,0.33,1.00,0.49,0.99,0.67,0.67,0.67,0.67,0.67,0.67,0.88,0.87,1.51,0.55,3.67,0.02,16.40,-0.19,0.67,-0.12,0.65,19.97,
frc94,20.02,15.22,0.00,5.94,0.01,-0.58,0.42,1.51,2.23,1.04,0.38,0.96,1.36,-0.38,0.00,-0.47,1.91,2.53,2.06,-0.17,-0.20,6.49,1.62,1.47,1.82,1.90,6.44,0.11,0.51,0.10,0.43,-0.09,-0.27,-0.02,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.91,1.48,0.74,5.94,-0.02,14.28,0.04,-0.17,0.09,0.02,20.02,
frc5509,15.35,13.60,0.00,3.03,1.71,1.88,1.72,1.08,0.51,2.19,1.33,1.53,7.20,1.87,0.00,-0.63,1.73,2.54,1.97,0.20,-0.54,6.01,3.85,1.17,1.48,1.70,-0.34,-0.15,0.38,-0.33,0.89,-0.38,-0.18,-0.58,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.51,0.52,1.62,0.81,3.03,-0.06,12.86,-0.13,-0.05,-0.14,-0.14,15.35,
frc503,30.36,15.73,0.00,3.33,0.98,1.09,0.97,0.64,1.76,1.59,1.69,1.80,10.66,1.88,0.00,2.28,3.08,5.02,3.07,-0.16,-0.43,11.20,20.23,1.92,1.73,1.55,5.59,0.15,1.46,0.32,1.46,0.81,1.53,0.54,1.62,0.67,0.67,0.67,0.67,0.67,0.67,0.86,1.66,0.76,1.70,3.33,-0.01,27.46,0.49,0.44,0.11,0.56,30.36,
frc7226,16.89,16.06,0.00,3.55,0.84,1.73,2.38,1.31,1.38,1.61,1.39,1.22,6.50,-0.32,0.00,-0.22,0.58,0.26,1.31,-0.01,3.40,2.18,2.28,1.77,1.24,1.20,1.25,0.39,-0.58,0.14,-0.14,0.34,-0.43,0.95,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.55,0.77,1.86,0.59,3.55,0.04,9.94,0.02,-0.24,0.08,-0.20,16.89,
frc5502,9.52,24.90,0.00,4.22,0.52,1.12,1.06,0.56,0.52,1.17,0.83,0.62,2.00,-0.27,0.00,-0.11,1.90,0.84,-0.47,0.10,-1.07,2.28,0.09,1.85,1.47,1.19,2.10,0.06,0.07,0.40,0.06,0.42,-0.01,0.53,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.19,2.22,1.11,-0.37,4.22,-0.08,6.38,0.07,0.04,0.24,-0.14,9.52,
frc6753,24.23,20.37,0.00,3.81,1.32,1.06,1.21,0.98,1.35,0.67,1.37,1.38,7.16,1.77,0.00,2.18,4.45,2.29,1.82,-0.26,0.48,8.60,17.25,1.86,1.76,1.38,4.17,0.19,1.49,-0.02,0.93,0.51,0.81,0.02,0.62,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.42,0.78,1.10,3.81,0.05,19.93,0.35,0.37,0.11,0.54,24.23,
frc4409,23.85,19.50,0.00,5.63,2.98,2.50,2.60,0.83,2.21,1.80,2.68,1.48,13.22,-0.28,0.00,-0.24,1.06,1.54,1.13,-0.07,-0.54,3.75,2.79,1.77,1.85,1.48,1.80,0.96,0.49,0.93,-0.24,-0.11,0.02,0.27,0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.01,2.59,0.86,0.50,5.63,0.10,18.76,0.17,0.08,-0.03,0.12,23.85,
frc6548,22.72,15.88,0.00,5.10,0.75,0.90,0.70,0.82,0.51,0.93,1.20,1.01,4.02,-0.28,0.00,-0.06,0.86,3.35,2.01,-0.07,0.40,6.28,16.52,1.44,1.57,1.84,6.93,1.54,1.98,0.45,1.21,0.08,0.28,0.20,-0.21,0.67,0.67,0.67,0.67,0.67,0.67,0.55,2.70,2.54,1.19,5.10,0.06,17.23,-0.11,0.27,0.03,-0.08,22.72,
