MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019misjo_qm1,blue,frc3688,frc5204,frc5878,28,9,0,15,0,0,0,0,2,5,0,0,3,0,0,0,3,3,0,1,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,13,0,0,0,0,28
2019misjo_qm1,red,frc5473,frc244,frc288,9,28,0,3,0,2,2,0,0,2,2,2,0,0,0,0,0,3,0,0,3,3,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,3,0,0,0,0,9
2019misjo_qm10,blue,frc2767,frc5462,frc5248,51,38,0,9,5,5,5,2,5,2,5,5,18,0,0,0,12,3,3,0,0,18,30,5,3,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,9,0,42,0,0,0,0,51
2019misjo_qm10,red,frc216,frc3688,frc5535,38,51,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,3,0,0,0,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,29,0,0,0,0,38
2019misjo_qm11,blue,frc7210,frc6627,frc5152,32,49,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,3,3,0,0,9,0,3,5,5,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,6,0,9,0,23,0,0,0,0,32
2019misjo_qm11,red,frc5927,frc2959,frc4325,49,32,0,15,2,2,2,0,0,2,2,2,3,0,0,0,6,3,12,0,0,21,30,5,5,5,10,2,2,2,0,5,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,34,0,0,0,0,49
2019misjo_qm12,blue,frc6588,frc5980,frc5182,18,30,0,6,0,2,2,0,0,5,2,0,3,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,12,0,0,0,0,18
2019misjo_qm12,red,frc3452,frc5473,frc7809,30,18,0,9,2,2,5,0,0,2,2,2,3,0,0,0,12,3,3,0,0,18,30,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,21,0,0,0,0,30
2019misjo_qm13,blue,frc4003,frc7814,frc5056,34,43,0,6,5,5,5,0,0,2,2,2,15,0,0,0,0,3,3,0,3,6,0,5,3,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,25,0,0,0,0,34
2019misjo_qm13,red,frc5878,frc2337,frc85,43,34,0,12,5,5,5,5,5,5,0,2,18,0,0,0,3,3,3,1,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,31,0,0,0,0,43
2019misjo_qm14,blue,frc7210,frc5610,frc244,20,62,0,6,2,2,2,0,2,2,2,2,0,0,0,0,3,3,3,2,3,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,11,0,0,0,0,20
2019misjo_qm14,red,frc2767,frc74,frc3688,62,20,0,15,2,0,2,0,0,5,5,5,12,0,0,0,12,3,6,1,6,21,30,5,5,5,8,0,5,0,0,0,2,0,2,2,2,2,2,2,2,3,6,6,3,15,0,41,0,2,0,0,62
2019misjo_qm15,blue,frc3452,frc3620,frc5535,38,18,0,6,2,5,5,0,0,5,5,5,15,0,0,0,3,12,0,0,0,15,30,3,5,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,32,0,0,0,0,38
2019misjo_qm15,red,frc1940,frc288,frc6588,18,38,0,3,2,2,2,0,0,5,5,2,6,0,0,0,3,3,3,0,0,9,0,3,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,15,0,0,0,0,18
2019misjo_qm16,blue,frc5204,frc5473,frc6568,18,50,0,9,0,2,2,0,0,5,5,5,9,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,9,0,0,0,0,18
2019misjo_qm16,red,frc4325,frc7809,frc5056,50,18,0,12,2,5,2,5,2,2,2,2,18,0,0,0,3,3,0,0,0,6,0,5,5,5,14,0,5,2,5,0,5,0,5,2,2,2,2,2,2,3,6,3,2,12,0,38,0,0,0,0,50
2019misjo_qm17,blue,frc4337,frc4003,frc1254,46,44,0,12,5,5,0,0,5,5,2,2,12,0,0,0,3,12,3,0,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,34,0,0,0,0,46
2019misjo_qm17,red,frc85,frc216,frc5927,44,46,0,9,2,2,2,0,0,2,5,2,12,0,0,0,6,3,6,0,0,15,30,5,3,5,8,5,0,5,0,2,0,5,0,2,2,2,2,2,2,3,3,6,1,9,0,35,0,0,0,0,44
2019misjo_qm18,blue,frc5152,frc3603,frc5980,33,32,-2,12,0,0,2,2,0,2,2,2,0,0,0,0,3,3,3,0,10,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,13,0,0,0,0,33
2019misjo_qm18,red,frc5878,frc5182,frc244,32,33,0,12,2,2,2,5,5,2,2,2,6,0,0,0,0,3,3,0,0,6,0,5,5,5,8,0,2,0,0,0,0,2,0,2,2,2,2,2,2,3,3,6,0,12,1,20,0,0,0,0,32
