Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3688,21.60,12.59,-0.01,6.62,1.80,0.86,1.23,1.05,1.65,2.39,1.90,1.95,8.12,0.51,0.00,0.03,3.60,1.92,0.31,0.18,-0.07,5.85,5.77,1.25,2.01,1.74,1.09,-0.44,0.21,-0.39,-0.52,-0.27,0.29,-0.30,0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.62,2.11,2.57,1.00,6.62,0.07,15.06,0.30,0.17,0.37,0.02,21.60,
frc5204,16.06,14.92,0.02,2.57,0.89,1.10,1.44,1.30,1.99,1.56,2.42,1.89,8.05,-0.41,0.00,-0.30,-0.01,3.22,-0.09,0.45,0.67,3.11,2.74,1.45,1.72,1.18,1.65,-0.03,-0.03,0.04,-0.11,0.32,-0.10,0.39,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.28,0.93,0.41,0.73,2.57,-0.05,12.80,-0.05,-0.08,0.07,-0.10,16.06,
frc5878,6.85,11.82,0.01,3.84,1.30,0.67,0.19,1.12,0.70,0.71,-0.34,-0.20,1.00,-0.38,0.00,-0.20,-0.51,-0.07,1.06,0.11,-0.26,0.48,-0.21,1.40,1.65,1.67,1.78,-0.20,0.46,-0.08,0.13,-0.12,0.24,0.04,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.93,0.86,1.97,0.08,3.84,0.05,3.26,-0.07,-0.03,-0.02,-0.08,6.85,
frc5473,10.46,9.90,-0.01,3.87,0.60,0.87,0.89,1.08,1.00,0.76,0.82,0.84,1.81,0.11,0.00,0.32,2.14,-0.94,0.87,-0.13,1.11,2.13,1.83,1.45,1.74,1.08,1.55,0.07,0.17,0.34,0.64,-0.12,-0.27,0.02,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,2.35,1.29,1.26,0.67,3.87,-0.06,5.48,-0.07,-0.00,-0.02,0.06,10.46,
frc244,11.13,10.30,-0.00,3.83,0.80,1.48,1.10,0.95,0.69,1.71,1.42,1.22,3.67,-0.41,0.00,-0.21,0.35,0.36,0.50,0.18,-0.09,1.17,-0.48,0.96,1.74,1.86,2.54,-0.04,-0.08,-0.16,-0.26,0.12,0.87,-0.13,0.74,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.43,1.42,0.40,3.83,0.14,7.39,0.14,0.08,-0.10,-0.07,11.13,
frc288,7.81,19.00,0.00,2.83,0.47,0.64,1.21,-0.79,0.99,1.85,1.19,0.86,1.78,-0.70,0.00,0.07,1.35,2.13,1.10,0.21,-0.44,4.60,5.81,1.07,1.88,1.48,-0.96,-0.52,-0.07,-0.43,-0.15,-0.12,0.05,-0.16,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.57,0.79,1.55,-0.12,2.83,0.05,5.41,-0.04,0.14,0.00,-0.02,7.81,
frc2767,30.76,9.78,0.01,3.94,1.91,1.93,1.86,0.59,0.67,1.71,1.47,1.40,10.23,1.75,0.00,2.48,4.94,2.43,3.34,0.55,2.66,10.76,23.10,1.47,1.75,1.65,3.16,0.85,0.58,0.90,0.38,0.49,0.26,0.58,0.39,0.67,0.67,0.67,0.67,0.67,0.67,1.15,1.96,1.45,2.11,3.94,-0.01,24.15,0.46,0.51,0.24,0.40,30.76,
frc5462,12.16,14.04,0.01,1.61,0.85,0.52,1.71,0.96,0.87,1.17,1.36,1.33,3.41,0.03,0.00,0.10,2.28,2.12,0.14,0.24,1.97,4.59,3.75,1.53,1.35,1.54,0.57,0.17,-0.29,0.20,0.00,-0.39,0.24,-0.34,0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.03,1.17,1.32,0.36,1.61,0.05,8.57,-0.14,0.13,-0.17,0.01,12.16,
frc5248,14.27,16.44,0.01,3.43,0.88,2.06,2.25,0.63,2.14,0.87,1.26,1.43,5.48,1.96,0.00,-0.15,2.03,-0.93,2.39,0.27,-0.17,3.53,3.81,1.57,1.45,1.74,1.97,-0.20,-0.28,-0.15,0.02,0.21,-0.11,0.34,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.06,1.49,1.24,0.43,3.43,0.06,10.99,-0.19,-0.07,0.07,0.14,14.27,
frc216,11.77,17.15,-0.01,5.47,0.98,1.10,1.13,0.79,-0.19,1.12,1.18,1.36,2.43,-0.80,0.00,-0.15,1.24,0.60,0.75,-0.23,-0.87,2.56,4.37,1.90,1.31,2.09,2.18,0.81,-0.05,0.52,0.25,0.33,-0.21,0.30,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.60,1.84,0.13,5.47,0.14,7.17,0.17,-0.05,-0.07,-0.09,11.77,
