MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019misou_qm1,blue,frc5436,frc5531,frc5619,55,60,0,12,5,5,5,5,5,5,2,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,43,0,0,0,0,55
2019misou_qm1,red,frc6742,frc33,frc5532,60,55,0,15,2,2,2,2,0,2,2,2,9,0,0,0,3,12,3,0,0,18,30,5,5,5,18,5,2,5,0,5,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,45,0,0,0,0,60
2019misou_qm10,blue,frc4737,frc5048,frc6545,17,22,0,6,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,3,8,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,0,3,0,6,0,11,0,0,0,0,17
2019misou_qm10,red,frc2673,frc5531,frc2224,22,17,0,9,0,2,2,2,0,5,0,0,3,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,13,0,0,0,0,22
2019misou_qm11,blue,frc6093,frc33,frc6567,41,11,0,12,0,2,2,2,0,2,2,0,0,0,0,0,3,12,0,0,0,15,30,5,5,0,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,3,12,0,29,2,0,2,0,41
2019misou_qm11,red,frc4854,frc4377,frc7692,11,41,0,9,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,2,0,0,0,0,11
2019misou_qm12,blue,frc3538,frc5436,frc6117,63,30,0,15,5,5,5,5,0,5,5,5,24,0,0,0,12,3,3,0,0,18,30,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,48,0,0,0,0,63
2019misou_qm12,red,frc123,frc7191,frc201,30,63,0,15,2,2,5,0,0,0,0,0,3,0,0,0,6,3,3,0,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,15,0,0,0,0,30
2019misou_qm13,blue,frc1188,frc4680,frc5478,41,34,0,12,2,5,2,2,2,2,0,0,3,0,0,0,3,12,3,0,0,18,30,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,1,29,0,0,0,0,41
2019misou_qm13,red,frc3414,frc6013,frc5619,34,41,0,9,2,2,2,0,0,5,5,2,6,0,0,0,3,3,3,0,10,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,15,0,0,0,0,34
2019misou_qm14,blue,frc5531,frc4851,frc2834,29,29,0,9,5,5,5,0,0,0,0,0,9,0,0,0,0,3,6,0,0,9,0,3,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,20,0,0,0,0,29
2019misou_qm14,red,frc94,frc4854,frc5756,29,29,0,12,2,2,2,2,0,5,2,2,3,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,17,0,0,0,0,29
2019misou_qm15,blue,frc4377,frc7716,frc2673,6,52,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,3,0,0,0,0,6
2019misou_qm15,red,frc7232,frc33,frc573,52,6,0,12,0,2,0,5,5,0,2,0,6,0,0,0,3,12,3,0,0,18,30,3,5,5,16,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,3,12,0,40,0,2,0,2,52
2019misou_qm16,blue,frc2048,frc3414,frc5467,46,48,0,12,5,5,5,2,5,5,5,5,21,0,0,0,6,3,0,1,0,9,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,34,0,0,0,0,46
2019misou_qm16,red,frc7218,frc201,frc5436,48,46,0,6,0,0,0,5,0,2,5,2,18,0,0,0,3,3,3,0,3,9,0,3,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,3,2,6,0,39,0,0,2,0,48
2019misou_qm17,blue,frc5532,frc123,frc6013,24,40,0,9,0,0,0,0,0,5,5,2,6,0,0,0,0,6,3,5,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,15,0,0,0,0,24
2019misou_qm17,red,frc2224,frc6616,frc94,40,24,0,12,5,2,0,0,2,2,2,2,3,0,0,0,0,3,3,0,15,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,13,0,0,0,0,40
2019misou_qm18,blue,frc7692,frc6742,frc4737,33,42,0,9,0,2,0,5,2,0,0,0,3,0,0,0,3,3,3,2,0,9,0,3,5,5,12,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,24,0,0,0,0,33
2019misou_qm18,red,frc4680,frc6545,frc7073,42,33,0,12,2,5,5,0,0,0,0,0,6,0,0,0,12,3,3,0,6,18,30,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,12,0,24,0,0,0,0,42
2019misou_qm19,blue,frc5478,frc7191,frc6117,26,34,0,15,2,5,2,0,2,0,0,0,3,0,0,0,3,0,0,0,3,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,8,0,0,0,0,26
2019misou_qm19,red,frc4851,frc1188,frc6567,34,26,0,15,0,2,2,2,0,5,2,2,3,0,0,0,3,0,3,1,0,6,0,5,5,5,10,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,19,0,0,0,0,34
2019misou_qm2,blue,frc6567,frc7073,frc7692,11,8,0,3,0,0,2,0,0,5,0,0,3,0,0,0,0,3,0,1,0,3,0,0,5,0,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,3,0,8,0,0,0,0,11
2019misou_qm2,red,frc94,frc5048,frc5467,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,3,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,0,0,5,0,0,0,0,8
2019misou_qm20,blue,frc3538,frc835,frc6093,48,14,0,15,2,2,2,0,2,5,5,5,9,0,0,0,12,3,3,0,0,18,30,5,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,33,0,0,0,0,48
2019misou_qm20,red,frc5048,frc5619,frc7857,14,48,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,3,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,8,0,0,0,0,14
2019misou_qm21,blue,frc7073,frc7218,frc4854,12,49,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,0,3,0,0,6,0,5,0,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,0,3,0,6,1,6,0,0,0,0,12
2019misou_qm21,red,frc573,frc5756,frc2673,49,12,0,12,0,5,2,5,0,0,2,2,6,0,0,0,3,3,3,0,10,9,0,5,5,5,12,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,27,0,0,0,0,49
2019misou_qm22,blue,frc201,frc94,frc4851,32,24,0,12,2,2,5,2,2,0,0,0,3,0,0,0,3,3,3,0,0,9,0,5,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,2,12,0,20,0,0,0,0,32
2019misou_qm22,red,frc4737,frc2224,frc6567,24,32,0,9,0,0,0,0,0,5,5,5,9,0,0,0,3,3,3,0,0,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,15,0,0,0,0,24
2019misou_qm23,blue,frc6013,frc7857,frc6742,37,48,0,12,2,2,0,2,2,0,0,0,0,0,0,0,3,3,3,1,6,9,0,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,19,0,0,0,0,37
2019misou_qm23,red,frc5478,frc33,frc5048,48,37,0,15,0,2,2,0,0,0,2,0,0,0,0,0,3,12,3,2,3,18,30,5,5,5,12,2,2,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,30,0,0,2,2,48
2019misou_qm24,blue,frc2048,frc3538,frc6616,56,27,0,15,5,5,5,0,5,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,41,0,0,0,0,56
2019misou_qm24,red,frc5467,frc6117,frc835,27,56,0,15,2,2,0,0,0,0,5,5,6,0,0,0,3,0,3,0,0,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,12,0,0,0,0,27
2019misou_qm25,blue,frc5619,frc7716,frc123,48,39,0,15,5,2,5,0,0,0,0,0,6,0,0,0,3,3,6,2,15,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,18,0,0,0,0,48
2019misou_qm25,red,frc7232,frc5531,frc7191,39,48,0,12,5,2,5,0,0,5,5,5,15,0,0,0,0,3,3,5,6,6,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,21,0,0,0,0,39
2019misou_qm26,blue,frc4377,frc5436,frc2834,68,60,0,15,0,0,0,5,2,2,2,2,21,30,0,30,3,3,6,0,0,12,0,5,5,5,20,2,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,53,0,5,0,5,68
2019misou_qm26,red,frc7692,frc3414,frc4680,60,68,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,3,12,0,0,15,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,45,0,0,0,0,60
2019misou_qm27,blue,frc6093,frc1188,frc7073,39,22,0,15,5,0,0,5,0,2,2,0,6,0,0,0,3,3,3,0,3,9,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,21,0,0,0,0,39
2019misou_qm27,red,frc835,frc5532,frc6545,22,39,0,6,0,0,0,2,5,0,0,0,3,0,0,0,3,3,3,1,0,9,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,16,0,0,0,0,22
2019misou_qm28,blue,frc6567,frc3538,frc2673,60,74,0,15,5,5,5,5,5,5,5,2,21,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,1,45,0,0,0,0,60
2019misou_qm28,red,frc33,frc2048,frc123,74,60,0,15,2,2,2,5,0,5,5,2,15,0,0,0,12,6,6,0,10,24,30,5,5,5,10,0,5,0,5,0,2,0,2,2,2,2,2,2,2,6,3,6,3,15,0,49,0,0,0,0,74
2019misou_qm29,blue,frc573,frc4680,frc201,53,31,0,15,5,5,5,0,5,2,2,0,12,0,0,0,3,12,3,0,0,18,30,5,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,38,0,0,0,0,53
