Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5436,34.12,19.52,0.00,5.24,1.31,1.09,1.39,3.80,1.15,1.15,0.93,0.98,12.19,5.13,0.00,0.00,3.63,1.25,1.34,-0.32,1.87,6.50,3.36,1.64,2.23,2.04,8.31,0.61,2.04,0.92,1.82,0.56,0.73,1.09,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.85,1.48,1.12,1.06,5.24,-0.05,27.00,-0.07,1.10,0.38,1.12,34.12,
frc5531,12.16,22.52,0.00,3.09,2.92,3.21,3.71,-0.15,0.35,3.08,1.06,2.20,9.73,-1.33,0.00,0.00,-0.28,1.24,1.03,0.75,-1.34,1.99,0.71,1.50,2.13,1.77,-1.31,-0.05,-0.27,-0.57,-0.19,0.01,-0.11,-0.35,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,0.64,1.36,0.70,-0.22,3.09,-0.05,10.41,0.01,-0.25,-0.11,-0.32,12.16,
frc5619,7.03,18.22,0.00,3.93,0.59,0.19,0.07,0.33,0.48,0.97,1.30,1.03,0.33,-2.66,0.00,0.00,1.74,0.44,0.26,0.71,1.44,2.37,-0.82,1.74,1.69,1.42,-1.03,-0.14,-0.95,-0.52,-0.67,-0.20,-0.54,0.11,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,2.32,0.58,1.47,-0.14,3.93,0.00,1.67,0.01,-0.33,-0.08,-0.38,7.03,
frc6742,21.16,17.84,0.00,6.24,0.77,0.98,0.39,3.09,1.11,-0.57,0.10,1.02,2.35,4.55,0.00,0.00,0.56,1.57,0.24,0.22,0.98,2.40,-2.03,1.58,1.67,2.23,9.19,0.92,0.96,1.45,0.36,0.46,0.26,0.31,0.13,0.67,0.67,0.67,0.67,0.67,0.67,2.03,1.49,2.32,0.65,6.24,0.03,13.94,-0.05,-0.15,-0.09,0.08,21.16,
frc33,35.07,11.05,0.00,7.25,0.50,0.76,0.77,2.16,1.35,1.02,1.04,-0.19,2.84,-2.11,0.00,0.00,3.14,6.86,4.27,-0.44,1.37,14.35,32.05,2.02,2.22,1.26,9.27,1.27,1.44,0.96,1.59,1.25,0.47,0.74,0.60,0.67,0.67,0.67,0.67,0.67,0.67,2.56,1.35,1.29,2.26,7.25,-0.02,26.46,0.81,0.18,0.54,0.33,35.07,
frc5532,3.87,16.67,0.00,1.40,-0.23,1.02,0.95,-0.09,0.24,0.38,0.59,0.61,2.12,-0.80,0.00,0.00,-0.16,1.72,0.59,1.00,-2.15,2.22,1.39,1.51,1.37,1.24,0.28,0.75,-0.43,0.15,-0.13,0.71,-0.30,0.04,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.42,0.95,-0.36,1.40,-0.02,4.62,-0.13,-0.01,-0.09,-0.04,3.87,
frc4737,6.71,14.65,0.00,2.37,0.92,0.56,0.26,-0.38,0.14,2.02,1.37,1.53,3.20,-1.44,0.00,0.00,1.42,-0.54,1.42,0.19,-0.51,1.86,3.11,0.93,0.48,1.04,-0.20,0.71,0.41,0.08,0.57,0.17,-0.21,-0.23,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,2.14,0.48,2.21,-0.40,2.37,0.13,4.85,0.11,-0.01,-0.11,-0.20,6.71,
frc5048,6.39,14.52,0.00,1.68,-1.24,-0.37,0.11,0.79,-0.99,0.02,0.54,0.17,-0.52,0.08,0.00,0.00,0.39,0.67,0.02,-0.20,-0.50,1.29,-2.08,1.36,1.12,1.16,4.44,0.25,1.14,0.14,0.36,0.20,0.96,0.30,0.57,0.67,0.67,0.67,0.67,0.67,0.67,2.24,0.38,0.90,0.01,1.68,-0.01,5.20,-0.18,0.10,0.32,0.69,6.39,
frc6545,6.73,18.82,0.00,2.05,0.34,0.78,0.49,0.43,0.27,-0.61,-0.81,0.10,-0.01,1.65,0.00,0.00,1.65,0.25,-0.06,0.60,0.51,2.02,1.17,1.54,0.23,1.79,2.16,-0.31,0.49,0.19,0.52,-0.25,0.62,0.19,0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.04,1.69,0.84,0.09,2.05,0.07,4.17,-0.00,0.11,-0.05,0.10,6.73,
frc2673,9.23,13.56,0.00,2.69,-0.41,0.52,0.28,1.41,0.64,-0.37,0.64,-0.22,0.30,-1.44,0.00,0.00,2.05,2.33,-0.54,-0.25,-0.22,4.00,2.10,1.89,1.09,1.80,2.46,-0.09,-0.47,0.06,0.41,0.07,-0.32,0.22,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.18,0.55,0.27,2.69,0.21,6.76,-0.06,0.03,0.08,0.07,9.23,
