MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mitry_qm1,blue,frc7597,frc2612,frc6958,43,25,0,15,5,5,5,5,5,2,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,28,0,0,0,0,43
2019mitry_qm1,red,frc7168,frc7791,frc3096,25,43,0,9,2,5,0,2,0,2,0,0,3,0,0,0,3,3,3,0,0,9,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,16,0,0,0,0,25
2019mitry_qm10,blue,frc3096,frc2612,frc1,38,61,0,15,5,5,5,0,5,5,5,2,18,0,0,0,0,3,0,0,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,23,0,0,0,0,38
2019mitry_qm10,red,frc6566,frc308,frc6117,61,38,0,15,2,5,5,5,2,5,5,5,24,0,0,0,3,6,3,0,0,12,0,5,5,5,10,5,2,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,46,0,0,0,0,61
2019mitry_qm11,blue,frc7791,frc5478,frc5215,35,53,0,9,5,2,5,2,0,5,2,2,9,0,0,0,3,3,3,0,6,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,20,0,0,0,0,35
2019mitry_qm11,red,frc4768,frc5436,frc6958,53,35,0,12,5,5,5,5,5,5,0,5,21,0,0,0,3,6,3,2,0,12,0,5,5,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,41,0,0,0,0,53
2019mitry_qm12,blue,frc7178,frc1718,frc469,53,69,0,12,5,2,2,2,5,5,5,5,15,0,0,0,6,12,0,1,0,18,30,5,5,5,8,0,0,0,2,0,2,0,0,2,2,2,2,2,2,3,6,3,1,12,0,41,0,0,0,0,53
2019mitry_qm12,red,frc68,frc910,frc4810,69,53,0,15,2,5,5,0,0,5,5,2,21,30,0,0,12,3,3,0,3,18,30,5,5,5,12,0,2,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,4,15,0,51,0,2,0,2,69
2019mitry_qm13,blue,frc245,frc6862,frc7218,50,33,0,9,5,5,5,5,5,2,5,5,21,0,0,0,12,0,0,0,0,12,0,5,5,3,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,41,0,0,0,0,50
2019mitry_qm13,red,frc7224,frc3632,frc3302,33,50,0,9,2,5,5,0,0,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,24,0,0,0,0,33
