Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7597,14.12,18.15,0.00,5.36,0.89,0.52,1.39,0.90,-0.02,0.63,1.19,1.03,2.64,-1.15,-0.42,0.17,1.73,-0.06,0.26,0.62,1.26,1.92,-0.85,1.58,1.80,1.75,2.94,-0.00,1.23,0.12,1.17,-0.15,0.26,-0.04,0.34,0.67,0.67,0.67,0.67,0.67,0.67,0.76,2.36,2.10,0.16,5.36,0.00,7.50,-0.05,0.03,-0.20,0.02,14.12,
frc2612,15.92,15.60,0.00,5.67,1.42,1.39,0.66,0.78,1.93,1.06,1.00,-0.16,2.90,-0.68,0.45,-0.00,0.79,1.61,1.59,0.26,1.01,3.99,2.44,1.70,1.78,1.80,2.35,0.96,-0.65,0.70,-0.25,0.15,0.18,0.30,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.58,2.31,1.26,0.50,5.67,-0.05,9.24,0.10,0.05,0.06,-0.15,15.92,
frc6958,17.50,14.53,0.00,5.04,1.94,1.72,2.03,1.58,0.84,1.90,1.65,1.94,6.97,-2.41,-0.93,-1.40,0.64,1.75,2.24,0.35,1.44,4.63,3.12,1.40,1.77,1.76,-0.58,0.36,-0.71,0.35,-0.75,-0.29,-0.42,-0.54,-0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.66,1.65,1.87,0.53,5.04,-0.12,11.03,-0.22,-0.21,-0.23,-0.28,17.50,
frc7168,12.04,22.82,0.00,5.11,0.40,0.42,0.82,1.27,1.28,0.97,1.45,0.62,3.52,-0.87,-0.44,-0.14,0.80,0.02,1.02,-0.04,-0.84,1.84,-1.08,1.77,1.60,1.83,2.42,-0.75,1.07,-0.73,0.56,-0.30,0.48,-0.26,0.31,0.67,0.67,0.67,0.67,0.67,0.67,0.95,1.99,1.67,-0.23,5.11,0.22,7.77,-0.13,0.15,-0.10,0.46,12.04,
frc7791,11.85,16.26,0.00,2.97,1.84,1.89,1.46,1.04,0.08,0.82,0.10,0.57,4.05,2.95,4.44,-0.92,1.66,1.77,0.71,0.14,-0.27,4.14,3.87,1.39,1.34,1.69,0.96,0.31,-1.18,0.45,-0.63,1.03,-0.45,0.96,-0.44,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.45,1.25,0.58,2.97,0.14,9.15,0.64,-0.30,0.69,-0.27,11.85,
frc3096,10.51,17.05,0.00,5.14,1.58,1.52,1.84,0.55,0.48,1.37,0.91,0.61,2.84,-1.46,-0.34,-0.39,0.44,2.07,0.99,0.09,-1.67,3.50,4.12,1.82,1.53,1.64,0.70,0.01,-0.07,-0.41,-0.41,-0.27,-0.20,-0.17,-0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.82,2.02,1.29,0.04,5.14,-0.00,7.04,-0.04,-0.20,-0.14,-0.20,10.51,
frc1,18.64,16.94,0.00,3.09,1.15,1.47,1.86,0.79,0.07,1.45,1.37,1.21,5.18,-0.49,-0.39,-0.29,0.53,2.82,2.15,-0.14,3.21,5.50,10.01,1.44,1.55,1.69,1.67,-0.55,1.27,-0.05,0.66,0.16,-0.10,0.32,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.36,1.27,1.39,0.59,3.09,0.02,12.34,-0.03,-0.10,0.06,-0.04,18.64,
frc6566,17.21,17.96,0.00,5.37,1.52,2.18,1.90,0.76,1.25,1.93,1.91,2.24,8.09,-2.41,-0.49,-0.96,1.04,1.19,0.93,0.06,-0.50,3.16,1.64,1.78,1.58,1.80,1.09,0.23,0.37,0.46,0.35,-0.47,-0.04,-0.18,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.72,2.05,1.36,0.32,5.37,0.19,12.34,-0.11,-0.29,-0.18,-0.10,17.21,
frc308,30.21,15.17,0.00,4.86,0.81,0.89,1.09,1.20,-0.86,1.26,1.12,1.37,12.92,8.88,5.13,2.20,2.53,2.38,0.55,-0.44,-0.48,5.45,7.94,1.77,1.72,1.72,7.46,2.05,1.71,2.19,1.72,1.89,1.47,1.68,1.53,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.12,1.75,1.43,4.86,0.12,25.83,0.95,0.69,1.25,0.75,30.21,
frc6117,14.58,21.36,0.00,4.00,1.16,0.91,0.89,0.56,0.25,2.00,2.27,2.00,5.69,2.40,-1.07,1.94,-1.60,0.99,2.66,0.94,0.96,2.05,2.29,1.42,1.54,1.80,1.88,-0.19,0.91,-0.00,0.30,-0.51,0.45,-0.25,0.38,0.67,0.67,0.67,0.67,0.67,0.67,2.42,1.30,1.00,0.14,4.00,-0.12,9.61,-0.16,0.31,-0.25,0.27,14.58,
frc5478,11.23,16.78,0.00,3.80,0.34,0.42,1.02,0.05,0.79,1.60,1.51,2.04,2.41,-2.58,-0.40,-0.41,1.53,0.94,2.54,0.59,0.12,5.01,3.86,1.43,1.62,1.22,-0.12,-0.12,-0.33,0.18,-0.89,-0.01,-0.30,-0.02,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,1.93,1.32,1.74,0.12,3.80,0.04,7.31,-0.14,0.21,-0.20,-0.11,11.23,
frc5215,24.26,17.24,0.00,4.13,1.80,1.52,1.57,1.29,-0.11,1.56,1.31,1.22,7.13,1.58,-0.77,2.90,0.82,3.97,1.60,-0.36,4.45,6.39,6.75,1.55,1.78,1.64,2.16,-0.53,0.93,-0.03,1.14,0.08,0.12,0.03,0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.92,1.46,0.58,0.78,4.13,-0.11,15.68,0.30,0.24,-0.14,0.26,24.26,
frc4768,13.32,21.11,0.00,5.21,0.83,1.39,1.52,1.34,1.33,1.88,1.21,1.63,5.87,-0.12,-0.12,-0.56,1.17,1.05,1.19,0.40,-2.06,3.40,0.28,1.76,1.53,1.70,0.90,-0.65,-0.46,0.29,-0.04,0.28,-0.24,0.20,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.96,0.93,2.05,0.03,5.21,0.15,10.17,-0.09,-0.22,0.03,-0.19,13.32,
frc5436,19.95,21.79,0.00,3.54,1.66,1.37,1.15,1.08,2.52,0.71,0.69,1.18,7.56,0.81,-0.98,2.16,2.39,0.06,1.84,0.28,0.22,4.30,3.82,1.75,1.48,1.72,4.34,0.06,1.32,0.25,0.92,0.07,0.54,0.09,0.49,0.67,0.67,0.67,0.67,0.67,0.67,1.14,1.68,0.93,0.38,3.54,0.15,16.20,-0.25,0.67,-0.22,0.77,19.95,
frc7178,23.69,21.71,0.00,3.34,1.35,1.32,2.01,2.91,0.89,1.84,1.81,1.94,9.63,1.41,-0.73,-0.59,3.98,1.41,1.87,1.13,-0.09,7.27,11.79,1.63,1.72,1.81,3.54,1.39,0.55,1.16,0.53,0.11,-0.22,-0.02,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.43,0.77,0.76,0.97,3.34,-0.04,20.44,-0.00,-0.32,0.26,-0.30,23.69,
frc1718,25.79,11.97,0.00,4.77,1.22,0.49,0.44,0.80,0.25,1.85,1.24,0.22,7.96,1.70,4.19,-0.91,0.50,4.37,1.69,0.12,0.22,6.55,15.63,1.72,1.51,1.75,6.29,0.87,1.01,1.19,0.21,1.59,1.19,1.83,0.77,0.67,0.67,0.67,0.67,0.67,0.67,1.40,2.38,1.13,1.10,4.77,-0.03,20.79,1.09,1.17,0.61,0.91,25.79,
frc469,13.32,20.01,0.00,2.56,1.75,1.51,0.71,0.67,2.36,1.51,1.49,1.79,4.51,-1.52,-0.42,-0.05,3.05,1.07,0.09,0.18,-1.17,4.20,5.29,1.62,1.52,1.44,3.22,-0.00,0.03,-0.25,1.03,-0.20,-0.02,-0.04,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.17,0.86,1.70,0.42,2.56,0.06,11.93,-0.17,-0.08,-0.11,-0.07,13.32,
