MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mitvc_qm1,blue,frc3688,frc6121,frc3767,68,52,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,6,3,1,0,15,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,53,0,0,0,0,68
2019mitvc_qm1,red,frc1684,frc5110,frc4376,52,68,0,12,5,2,2,0,5,5,2,5,18,0,0,0,3,3,3,0,3,9,0,5,5,5,10,5,0,5,2,0,0,0,2,2,2,2,2,2,2,3,6,3,0,12,0,37,0,0,0,0,52
2019mitvc_qm10,blue,frc3302,frc6097,frc5525,46,33,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,34,0,0,0,0,46
2019mitvc_qm10,red,frc4376,frc6074,frc6599,33,46,0,12,2,2,2,2,2,2,2,2,0,0,0,0,12,0,3,0,0,15,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,21,0,0,0,0,33
2019mitvc_qm11,blue,frc5213,frc6087,frc5086,45,49,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,1,36,0,0,0,0,45
2019mitvc_qm11,red,frc6075,frc5560,frc6552,49,45,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,10,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,27,0,0,0,0,49
2019mitvc_qm12,blue,frc2246,frc6122,frc3618,61,22,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,1,0,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,46,0,0,0,0,61
2019mitvc_qm12,red,frc6112,frc7808,frc7155,22,61,0,6,2,2,2,0,0,2,5,2,3,0,0,0,3,0,3,0,3,6,0,5,5,3,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,0,6,0,13,0,0,0,0,22
2019mitvc_qm13,blue,frc3767,frc7861,frc5183,46,41,0,12,2,2,5,5,2,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,34,0,0,0,0,46
2019mitvc_qm13,red,frc7208,frc4398,frc7160,41,46,0,15,2,5,5,0,5,5,5,5,18,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,26,0,0,0,0,41
