Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc3688,24.80,11.18,0.00,6.17,2.11,2.11,1.65,1.59,0.86,2.21,2.38,2.52,11.67,-0.29,-0.09,0.00,0.29,3.25,1.01,0.26,0.23,4.52,3.17,1.37,1.67,1.74,2.22,-0.11,0.97,-0.14,0.83,0.02,0.11,-0.04,0.34,0.67,0.67,0.67,0.67,0.67,0.67,2.19,2.06,0.85,6.17,0.05,18.41,-0.06,0.12,-0.08,0.38,24.80,
frc6121,21.92,21.30,0.00,4.75,2.19,1.91,1.99,1.78,1.73,1.52,2.25,1.73,10.01,-0.47,-0.33,0.00,2.72,0.36,2.45,0.50,-0.87,5.58,5.10,1.82,1.75,1.71,2.44,0.14,0.44,0.39,0.73,0.12,-0.04,-0.00,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.26,1.89,0.65,4.75,0.13,18.04,-0.08,-0.05,0.08,-0.07,21.92,
frc3767,22.47,15.24,0.00,3.19,1.20,1.47,1.70,2.71,1.19,1.39,1.37,1.34,9.87,5.04,2.60,0.00,1.03,1.90,1.31,0.20,0.74,4.28,6.42,1.42,1.76,1.58,4.39,1.13,0.74,0.79,1.20,0.41,-0.02,1.13,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.43,1.15,0.88,3.19,-0.05,18.54,0.40,-0.03,0.36,-0.07,22.47,
frc1684,31.04,15.18,0.00,2.88,1.90,1.62,0.84,1.51,2.02,1.24,1.37,1.41,12.60,2.45,2.54,0.00,1.25,5.15,1.84,0.15,1.01,8.26,17.93,1.35,1.71,1.78,6.29,2.44,1.17,2.71,1.07,0.28,0.31,0.26,0.72,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.54,1.56,2.88,-0.02,27.15,0.44,0.32,0.56,0.58,31.04,
frc5110,16.19,18.19,0.00,4.68,0.86,1.83,1.07,1.27,0.61,2.12,1.43,1.77,5.66,-0.27,-0.42,0.00,2.01,-0.00,2.04,0.63,0.25,4.03,-0.38,1.60,1.50,1.58,1.56,0.32,-0.30,-0.30,0.48,0.12,0.15,-0.27,0.18,0.67,0.67,0.67,0.67,0.67,0.67,2.30,1.69,0.42,4.68,-0.02,11.25,-0.04,0.00,-0.10,0.04,16.19,
frc4376,18.88,11.96,0.00,3.67,0.92,1.15,1.38,1.22,1.43,0.68,0.84,0.95,3.01,-0.48,-0.22,0.00,3.39,3.09,1.88,-0.13,0.04,8.44,13.91,1.79,1.62,1.62,3.72,0.69,0.82,0.29,0.41,0.02,-0.10,-0.15,0.27,0.67,0.67,0.67,0.67,0.67,0.67,1.33,0.77,0.86,3.67,-0.02,15.17,0.13,-0.02,-0.07,-0.03,18.88,
frc3302,22.05,14.66,0.00,5.51,1.08,1.29,1.97,1.42,0.63,1.86,1.82,1.50,6.85,0.07,0.23,0.00,2.11,3.09,2.32,-0.08,0.42,7.51,13.54,1.78,1.70,1.70,1.76,0.31,0.03,-0.06,0.22,0.10,0.05,-0.07,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.33,1.35,1.20,5.51,-0.03,16.12,0.21,0.13,0.01,0.11,22.05,
frc6097,17.49,10.58,0.00,5.31,0.61,1.34,1.06,2.55,2.23,0.47,1.00,0.66,4.98,-0.49,-0.23,0.00,0.93,1.72,1.28,-0.34,-0.04,3.96,-1.47,1.55,1.67,1.78,3.29,0.51,0.76,0.91,0.18,0.11,-0.04,0.19,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.60,1.85,0.58,5.31,0.06,12.23,-0.07,-0.01,-0.07,-0.01,17.49,
frc5525,15.08,20.54,0.00,2.77,1.94,2.02,1.77,0.98,1.21,1.65,1.67,1.94,8.47,-0.12,0.04,0.00,1.20,0.10,-0.40,0.07,1.89,0.99,-1.74,1.57,1.65,1.76,0.97,0.26,-0.07,0.40,0.26,-0.20,-0.10,-0.03,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.36,0.89,-0.04,2.77,-0.02,10.42,-0.05,-0.01,-0.02,-0.06,15.08,
frc6074,5.32,17.97,0.00,3.21,0.46,0.25,0.08,0.54,0.15,0.55,0.67,0.45,-0.95,2.21,-0.27,0.00,1.88,-0.45,1.73,0.24,-0.70,3.20,1.91,1.59,1.33,1.76,0.56,-0.13,-0.11,0.20,-0.21,-0.08,-0.07,0.01,0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.58,0.01,3.21,0.09,2.81,-0.04,-0.01,-0.03,-0.01,5.32,
