MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019miwmi_qm1,blue,frc5227,frc107,frc6043,69,69,0,15,2,2,5,5,5,5,2,2,12,0,0,0,6,12,6,0,10,24,30,5,5,5,8,0,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,44,2,0,0,0,69
2019miwmi_qm1,red,frc5927,frc6094,frc3620,69,69,0,15,2,2,5,0,0,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,2,15,1,54,0,2,0,2,69
2019miwmi_qm10,blue,frc5710,frc3458,frc7203,36,62,0,15,2,2,0,2,0,5,5,5,9,0,0,0,6,0,0,0,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,21,0,0,0,0,36
2019miwmi_qm10,red,frc1243,frc7054,frc141,62,36,0,15,5,5,5,5,0,5,5,5,21,0,0,0,12,3,3,0,0,18,30,5,5,5,8,0,2,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,47,0,0,0,0,62
2019miwmi_qm11,blue,frc4003,frc5610,frc5470,46,38,0,6,5,5,5,0,2,5,5,2,15,30,0,0,12,3,0,0,6,15,30,5,5,3,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,4,6,0,34,0,0,0,0,46
2019miwmi_qm11,red,frc7248,frc74,frc5448,38,46,0,12,5,5,5,5,0,5,5,2,18,0,0,0,0,3,3,2,0,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,26,0,0,0,0,38
2019miwmi_qm12,blue,frc7234,frc4453,frc6428,20,57,0,15,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,0,3,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,5,0,0,0,0,20
2019miwmi_qm12,red,frc5227,frc2054,frc2474,57,20,0,15,2,2,2,5,5,2,5,2,9,0,0,0,3,12,0,0,0,15,30,5,5,5,18,2,2,2,0,2,2,2,0,2,2,2,2,2,2,6,6,3,3,15,0,42,0,2,0,0,57
2019miwmi_qm13,blue,frc6589,frc6043,frc5535,37,36,0,12,5,5,5,0,0,2,2,2,9,0,0,0,3,3,0,0,10,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,2,12,0,15,0,0,0,0,37
2019miwmi_qm13,red,frc6114,frc5173,frc85,36,37,0,9,5,5,5,0,2,2,5,2,12,0,0,0,6,3,6,0,0,9,0,0,5,5,6,2,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,1,27,0,0,0,0,36
2019miwmi_qm14,blue,frc7248,frc107,frc141,55,26,0,15,0,0,5,0,5,5,5,5,15,0,0,0,3,12,6,0,0,21,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,40,0,0,0,0,55
2019miwmi_qm14,red,frc7054,frc5610,frc6066,26,55,0,12,2,2,5,0,2,5,2,2,6,0,0,0,3,0,3,0,0,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,14,0,0,0,0,26
2019miwmi_qm15,blue,frc4453,frc5470,frc5622,12,44,0,0,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,6,0,3,3,3,6,2,0,2,0,2,0,0,0,2,2,2,2,2,2,6,3,3,0,0,0,12,0,0,0,0,12
2019miwmi_qm15,red,frc5227,frc1243,frc3458,44,12,0,9,0,0,0,2,5,5,2,0,6,0,0,0,0,12,3,0,0,15,30,3,5,5,14,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,35,0,0,0,0,44
