MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mndu2_qm1,blue,frc6624,frc5903,frc6574,34,43,0,9,2,2,5,0,5,5,5,5,15,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,25,0,0,0,0,34
2019mndu2_qm1,red,frc7019,frc4531,frc876,43,34,0,6,2,0,2,2,0,2,0,2,12,0,0,0,3,6,6,0,0,15,30,3,5,5,10,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,3,6,0,37,0,0,0,0,43
2019mndu2_qm10,blue,frc1732,frc6132,frc2861,47,17,0,9,2,2,5,5,5,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,20,2,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,2,9,0,38,0,2,0,2,47
2019mndu2_qm10,red,frc2509,frc3130,frc6819,17,47,0,3,2,2,2,0,2,0,5,5,6,0,0,0,0,3,3,0,0,6,0,0,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,14,0,0,0,0,17
2019mndu2_qm11,blue,frc3297,frc2826,frc2512,32,16,0,9,5,5,5,0,0,5,5,5,18,0,0,0,0,0,3,0,0,3,0,3,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,23,0,0,0,0,32
2019mndu2_qm11,red,frc4703,frc4531,frc7311,16,32,0,6,0,0,0,0,2,0,0,0,0,0,0,0,3,3,3,0,0,6,0,0,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,10,0,0,0,0,16
2019mndu2_qm12,blue,frc3267,frc2450,frc7028,48,40,0,12,5,5,5,0,0,2,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,12,2,5,2,5,2,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,36,0,0,0,0,48
2019mndu2_qm12,red,frc2501,frc6758,frc2470,40,48,0,9,2,2,2,2,2,2,2,5,9,0,0,0,3,3,0,0,0,6,0,5,5,5,16,0,5,2,5,0,2,0,2,2,2,2,2,2,2,3,3,3,0,9,0,31,0,2,0,0,40
2019mndu2_qm13,blue,frc3630,frc7019,frc525,66,20,0,9,2,2,5,0,5,5,5,5,27,0,0,0,3,3,12,0,0,18,30,5,3,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,3,9,0,57,0,0,0,2,66
2019mndu2_qm13,red,frc3054,frc4693,frc4859,20,66,0,3,2,2,5,5,0,5,2,2,9,0,0,0,3,3,3,0,0,6,0,3,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,3,0,17,0,0,0,0,20
