MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mndu_qm1,blue,frc5299,frc6146,frc2503,33,59,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,0,0,2,2,0,0,0,2,2,2,2,2,2,6,3,6,1,9,0,24,0,0,2,0,33
2019mndu_qm1,red,frc5464,frc2574,frc3102,59,33,0,15,0,5,5,0,0,0,0,2,18,0,0,0,3,3,12,0,0,18,30,5,5,5,8,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,3,15,0,44,0,0,0,0,59
2019mndu_qm10,blue,frc4238,frc5290,frc6453,12,12,0,6,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,1,6,0,6,0,0,0,0,12
2019mndu_qm10,red,frc5913,frc2977,frc93,12,12,0,6,2,2,5,0,0,2,2,2,3,0,0,0,0,3,0,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,6,0,6,0,0,0,0,12
2019mndu_qm11,blue,frc3134,frc3381,frc3276,36,56,0,9,5,5,5,0,0,2,2,2,9,0,0,0,12,3,3,0,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,27,0,0,0,0,36
2019mndu_qm11,red,frc5999,frc4539,frc5348,56,36,0,12,2,0,2,0,5,2,0,5,15,0,0,0,3,0,12,0,0,15,30,5,5,5,14,2,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,44,2,0,2,0,56
2019mndu_qm12,blue,frc3277,frc3294,frc2503,57,58,0,9,2,2,0,2,0,0,5,2,3,0,0,0,3,0,12,1,24,15,30,3,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,24,0,0,0,0,57
2019mndu_qm12,red,frc3275,frc2506,frc4009,58,57,0,6,5,5,5,0,5,5,5,5,21,0,0,0,3,3,12,8,3,18,30,3,5,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,3,3,3,6,0,49,0,0,0,0,58
2019mndu_qm13,blue,frc4728,frc5991,frc3102,64,25,0,12,2,5,5,5,2,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,16,0,2,2,2,0,0,0,2,2,2,2,2,2,2,3,3,6,3,12,0,52,0,0,0,2,64
2019mndu_qm13,red,frc4674,frc4845,frc5586,25,64,0,6,2,2,0,2,5,0,2,2,6,0,0,0,0,3,0,0,0,3,0,5,3,3,10,0,5,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,19,0,0,0,0,25
2019mndu_qm14,blue,frc7797,frc5638,frc6160,61,47,0,9,2,5,2,5,5,0,5,5,15,0,0,0,3,6,6,0,12,15,30,5,5,3,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,40,0,0,0,0,61
2019mndu_qm14,red,frc7893,frc7068,frc3740,47,61,0,15,5,5,5,0,2,5,5,5,18,0,0,0,0,3,3,4,0,6,0,5,5,5,8,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,32,0,0,2,0,47
2019mndu_qm15,blue,frc6453,frc3755,frc1816,38,73,0,9,2,2,5,0,5,0,5,2,9,0,0,0,3,3,12,5,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,29,0,0,0,0,38
2019mndu_qm15,red,frc5653,frc4741,frc167,73,38,0,9,5,5,5,5,5,2,2,2,24,0,0,0,3,3,3,0,15,9,0,5,5,5,16,5,0,5,0,2,0,2,0,2,2,2,2,2,2,3,3,3,2,9,0,49,2,0,5,0,73
2019mndu_qm16,blue,frc5464,frc6146,frc4166,26,31,0,9,2,2,2,0,0,5,5,5,9,0,0,0,3,3,0,3,0,6,0,5,5,3,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,17,0,0,0,0,26
2019mndu_qm16,red,frc6217,frc4238,frc3291,31,26,0,9,0,0,2,0,0,2,0,0,0,0,0,0,3,3,3,0,9,9,0,5,3,5,4,0,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,13,0,0,0,0,31
2019mndu_qm17,blue,frc7041,frc6045,frc3134,59,43,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,3,12,0,0,18,30,5,5,5,8,2,0,0,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,44,2,0,2,0,59
2019mndu_qm17,red,frc5290,frc2264,frc4207,43,59,0,15,0,5,0,5,0,0,5,0,9,0,0,0,3,12,0,0,0,15,30,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,28,0,0,0,0,43
2019mndu_qm18,blue,frc3750,frc93,frc4217,39,28,0,6,2,2,2,0,0,2,2,2,15,0,0,0,0,3,3,0,0,6,0,5,5,3,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,2,6,0,33,2,0,5,0,39
2019mndu_qm18,red,frc4511,frc3276,frc7864,28,39,0,6,2,5,5,0,0,5,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,3,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,22,0,0,2,0,28
2019mndu_qm19,blue,frc4539,frc5690,frc6047,43,35,0,9,2,5,5,0,0,5,2,2,15,0,0,0,12,3,0,0,0,15,30,5,5,3,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,34,0,0,0,0,43
2019mndu_qm19,red,frc4480,frc5253,frc7235,35,43,0,15,5,5,0,0,0,2,5,5,12,0,0,0,3,0,3,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,20,0,0,0,0,35
2019mndu_qm2,blue,frc4845,frc5638,frc167,61,51,0,15,2,5,5,0,0,5,5,2,21,0,0,0,3,0,0,2,10,3,0,5,5,5,12,0,5,0,5,0,5,0,2,2,2,2,2,2,2,6,6,3,2,15,0,36,0,2,0,2,61
2019mndu_qm2,red,frc6217,frc6628,frc3381,51,61,0,15,5,5,5,2,0,5,5,5,21,0,0,0,3,0,0,0,6,3,0,5,5,5,6,0,5,0,0,0,2,0,0,2,2,2,2,2,2,6,6,3,0,15,1,30,0,0,0,0,51
2019mndu_qm20,blue,frc2977,frc5542,frc6022,37,37,0,12,0,0,5,5,5,5,0,0,12,0,0,0,3,3,3,1,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,25,0,0,0,0,37
2019mndu_qm20,red,frc2574,frc6628,frc2531,37,37,0,12,2,5,2,0,0,5,5,5,15,0,0,0,0,0,3,0,3,3,0,5,5,3,4,0,5,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,12,0,22,0,0,0,0,37
2019mndu_qm21,blue,frc3008,frc5913,frc5299,18,22,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,0,3,0,6,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,3,0,0,0,0,18
2019mndu_qm21,red,frc6318,frc4230,frc2526,22,18,0,9,2,2,0,0,0,0,2,2,0,0,0,0,3,3,3,2,0,9,0,5,5,3,4,0,0,2,0,0,2,0,0,2,2,2,2,2,2,6,3,6,2,9,0,13,0,0,0,0,22
2019mndu_qm22,blue,frc7797,frc7041,frc2264,47,26,0,12,5,5,5,5,0,2,2,2,12,0,0,0,3,3,12,0,3,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,32,0,0,0,0,47
2019mndu_qm22,red,frc4845,frc3275,frc3755,26,47,0,15,2,5,5,0,2,5,2,2,9,0,0,0,0,0,0,1,0,0,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,11,0,0,0,0,26
2019mndu_qm23,blue,frc4674,frc4207,frc5999,28,26,0,15,5,0,5,0,0,2,0,2,6,0,0,0,0,0,3,0,0,3,0,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,13,0,0,0,0,28
2019mndu_qm23,red,frc6146,frc3291,frc4511,26,28,0,12,2,0,5,0,0,5,0,2,6,0,0,0,0,3,3,0,0,6,0,5,5,5,2,0,0,0,0,0,2,0,0,2,2,2,2,2,2,3,6,3,0,12,0,14,0,0,0,0,26
2019mndu_qm24,blue,frc6160,frc4480,frc5690,43,50,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,4,0,9,0,3,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,31,0,0,0,0,43
2019mndu_qm24,red,frc2503,frc4166,frc6217,50,43,0,12,0,0,0,0,0,0,0,0,0,30,0,0,12,3,3,0,12,18,30,5,3,5,8,0,2,2,2,0,0,2,0,2,2,2,2,2,2,6,3,6,4,12,0,26,0,0,0,0,50
2019mndu_qm25,blue,frc5542,frc1816,frc4238,41,66,0,9,2,2,2,5,5,2,2,2,6,0,0,0,3,12,3,1,0,18,30,5,5,3,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,9,0,32,0,0,0,0,41
