Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5299,12.60,13.07,0.00,5.42,0.71,0.67,1.21,0.21,0.60,1.54,1.28,1.13,2.67,-0.57,0.00,0.00,1.60,0.48,3.41,-0.54,-0.56,5.58,11.55,1.68,1.57,2.05,-0.50,-0.35,0.62,-0.33,0.12,0.03,-0.29,-0.35,0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.30,2.40,0.44,5.42,0.04,7.75,-0.10,-0.07,0.19,-0.05,12.60,
frc6146,7.74,15.63,0.00,2.61,1.25,0.51,0.95,0.69,0.31,1.93,0.91,1.54,2.43,-0.62,0.00,0.00,0.31,3.35,-1.01,0.55,-0.67,2.64,-0.78,1.34,2.05,1.27,0.74,-0.01,-0.08,-0.44,0.14,0.23,0.07,0.04,-0.34,0.67,0.67,0.67,0.67,0.67,0.67,1.55,1.44,0.75,-0.18,2.61,-0.10,5.81,0.03,-0.01,0.29,-0.10,7.74,
frc2503,21.18,16.77,0.00,4.07,-0.15,-0.40,-0.25,-0.13,1.05,-0.30,0.70,-0.23,-0.14,2.86,0.00,0.00,4.34,0.87,3.53,0.37,3.97,8.74,17.96,1.25,0.78,2.24,4.54,0.61,0.39,0.68,0.92,0.29,-0.19,0.26,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.89,0.64,2.44,1.51,4.07,0.18,13.14,0.04,0.02,0.31,0.03,21.18,
frc5464,9.02,8.31,0.00,4.40,-0.31,0.57,0.35,0.14,0.17,0.73,0.48,0.24,0.39,-0.47,0.00,0.00,1.70,-0.37,3.59,0.03,-2.10,4.57,4.01,1.34,1.74,1.07,1.75,0.67,0.11,0.46,0.01,0.45,0.23,0.56,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.65,1.44,2.20,0.65,4.40,-0.03,6.72,-0.03,0.00,-0.02,-0.02,9.02,
frc2574,23.59,15.90,0.00,5.77,1.71,2.77,2.26,-0.21,1.00,1.44,1.39,2.19,12.20,0.07,0.00,0.00,1.51,1.75,0.66,-0.10,-1.14,3.83,6.00,1.66,1.63,1.79,2.94,1.66,1.11,1.87,0.51,1.20,-0.22,0.62,-0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.32,2.24,1.45,1.10,5.77,0.07,18.97,-0.10,-0.02,-0.05,-0.08,23.59,
frc3102,19.74,6.25,0.00,2.68,0.77,2.31,2.13,-0.02,-1.00,1.48,1.70,1.88,8.26,-0.02,0.00,0.00,2.28,3.42,0.78,-0.03,0.37,6.56,12.81,1.66,1.05,1.57,1.86,1.59,0.59,1.30,1.31,0.08,-0.12,0.21,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.17,0.87,2.15,0.98,2.68,-0.10,16.68,-0.11,-0.06,-0.24,0.23,19.74,
frc4238,5.88,9.35,0.00,1.35,0.45,0.69,1.25,0.23,0.78,1.46,1.14,1.18,1.81,-0.60,0.00,0.00,0.05,2.23,0.21,0.28,0.47,2.25,1.84,0.29,1.34,1.34,-0.01,-1.03,0.32,-0.71,0.50,0.01,-0.18,-0.04,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,2.40,0.99,1.23,0.41,1.35,-0.02,4.05,-0.07,-0.06,-0.04,-0.02,5.88,
frc5290,10.83,4.58,0.00,3.36,-0.12,0.55,-0.60,0.92,-0.01,-0.77,1.08,0.54,0.15,-0.05,0.00,0.00,1.43,2.39,-0.33,-0.26,0.72,3.64,6.54,1.42,2.01,1.62,2.95,1.30,0.83,0.86,0.80,-0.44,0.64,-0.40,0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.71,0.83,1.35,0.67,3.36,-0.08,6.74,-0.12,0.13,-0.35,-0.11,10.83,
frc6453,9.26,22.65,0.00,2.97,1.42,0.66,1.24,0.98,0.70,1.64,1.78,0.92,3.71,-0.37,0.00,0.00,0.24,-0.17,1.15,0.47,0.46,0.98,-4.49,0.58,1.69,2.07,1.14,-0.12,-0.77,0.30,-0.30,0.31,-0.31,0.32,0.26,0.67,0.67,0.67,0.67,0.67,0.67,1.43,1.35,1.67,-0.09,2.97,-0.01,5.83,0.30,-0.10,0.11,0.08,9.26,
frc5913,11.57,11.67,0.00,3.89,1.36,1.31,1.71,-0.32,0.77,2.07,1.23,0.42,4.15,0.25,0.00,0.00,1.61,1.53,-0.34,-0.23,-0.91,2.85,-1.69,1.87,1.75,1.14,1.59,0.18,0.59,0.16,0.57,-0.14,-0.20,0.30,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.95,0.94,1.62,-0.10,3.89,-0.07,8.59,-0.17,0.04,-0.10,-0.13,11.57,
