MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mnmi2_qm1,blue,frc2574,frc4778,frc7858,49,38,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,0,3,3,0,3,5,5,10,2,0,0,0,2,0,0,2,2,2,2,2,2,2,6,3,6,2,9,0,37,0,0,0,0,49
2019mnmi2_qm1,red,frc3206,frc3082,frc2491,38,49,0,9,2,5,5,0,5,5,5,2,15,0,0,0,3,0,3,1,0,6,0,5,5,5,8,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,29,0,0,0,0,38
2019mnmi2_qm10,blue,frc1816,frc5626,frc6749,47,54,0,9,0,0,0,0,0,5,5,5,12,0,0,0,12,3,3,0,0,18,30,5,5,5,8,5,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,38,0,0,0,0,47
2019mnmi2_qm10,red,frc3926,frc3277,frc7273,54,47,0,15,0,0,2,2,2,0,0,2,0,0,0,0,12,6,3,0,0,21,30,5,5,5,18,2,2,2,2,0,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,39,0,0,2,0,54
2019mnmi2_qm11,blue,frc2549,frc2207,frc2883,58,37,0,9,5,5,5,5,5,5,5,5,30,0,0,0,6,0,3,0,0,9,0,5,3,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,2,9,0,49,0,0,0,0,58
2019mnmi2_qm11,red,frc5275,frc7892,frc4778,37,58,0,9,0,0,0,0,0,5,5,0,6,0,0,0,12,3,3,0,0,18,30,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,9,0,28,0,0,0,0,37
2019mnmi2_qm12,blue,frc5826,frc3276,frc4648,41,45,0,12,2,5,5,0,0,5,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,8,2,0,5,0,2,0,2,0,2,2,2,2,2,2,3,6,3,0,12,0,29,0,0,0,0,41
2019mnmi2_qm12,red,frc2450,frc2225,frc3082,45,41,0,9,2,5,5,0,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,5,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,36,0,0,0,0,45
2019mnmi2_qm13,blue,frc2491,frc4632,frc2239,47,53,0,15,2,2,5,5,5,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,8,0,0,0,2,0,2,0,0,2,2,2,2,2,2,6,3,6,0,15,0,32,0,0,0,0,47
2019mnmi2_qm13,red,frc4174,frc2143,frc3633,53,47,0,15,2,5,5,0,0,5,5,5,15,0,0,0,6,3,6,0,0,15,30,5,5,5,8,2,0,0,2,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,38,0,0,0,0,53
