Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2574,22.14,22.83,0.00,5.62,1.13,1.40,2.16,1.87,0.20,2.11,2.42,1.93,11.36,0.00,0.00,0.00,2.22,-0.57,-0.65,0.81,0.86,1.03,2.58,1.76,1.77,1.96,3.27,1.50,-0.19,1.44,0.09,0.76,0.03,1.06,0.29,0.67,0.67,0.67,0.67,0.67,0.67,2.07,1.27,2.13,0.78,5.62,0.12,15.66,-0.09,0.54,-0.21,0.23,22.14,
frc4778,20.25,18.04,0.00,3.91,1.80,2.13,2.05,1.07,2.10,1.64,2.28,1.74,9.40,0.00,0.00,0.00,0.37,1.09,3.35,0.01,-0.78,5.07,6.32,1.02,1.39,1.97,2.64,0.33,0.99,0.29,0.56,-0.18,-0.16,-0.23,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,2.48,0.68,2.19,0.37,3.91,-0.03,17.12,-0.13,-0.15,-0.02,-0.21,20.25,
frc7858,17.92,13.79,0.00,4.70,2.24,2.38,2.35,1.11,1.10,2.19,2.06,1.94,11.15,0.00,0.00,0.00,1.32,-0.58,0.28,-0.00,-1.01,0.95,-0.32,1.19,1.73,1.61,2.13,0.43,-0.54,-0.10,-0.08,0.58,-0.09,0.50,0.45,0.67,0.67,0.67,0.67,0.67,0.67,1.41,2.45,1.66,0.19,4.70,-0.03,14.23,0.46,-0.08,0.46,-0.03,17.92,
frc3206,22.09,11.40,0.00,3.58,1.89,2.17,1.70,1.92,2.56,2.18,2.19,1.62,8.86,0.00,0.00,0.00,1.52,1.28,3.18,-0.10,-0.52,6.04,12.97,1.85,1.69,1.12,4.13,1.30,-0.24,1.27,-0.66,-0.24,-0.13,-0.24,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.44,1.24,1.04,0.85,3.58,0.19,19.03,-0.00,0.21,0.00,0.19,22.09,
frc3082,11.68,19.21,0.00,2.81,1.22,1.38,2.27,1.11,0.95,2.40,1.49,1.43,8.31,0.00,0.00,0.00,0.20,0.49,0.04,0.02,-1.04,0.76,-4.97,1.68,1.79,1.39,0.86,0.55,0.73,0.84,1.37,0.12,-0.22,-0.21,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.46,1.54,0.91,0.01,2.81,-0.10,9.92,-0.14,-0.10,-0.05,-0.07,11.68,
frc2491,13.97,16.44,0.00,4.91,0.80,1.07,2.15,0.53,1.56,1.71,0.29,0.55,3.81,0.00,0.00,0.00,1.08,1.78,1.08,0.88,-0.68,4.09,0.13,1.29,1.82,1.65,1.84,-0.81,-0.15,0.60,0.17,0.00,0.18,-0.12,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.49,1.81,0.83,-0.21,4.91,-0.05,9.73,0.00,-0.16,-0.04,-0.11,13.97,
frc1816,31.16,14.96,0.00,4.15,0.40,0.76,1.77,1.61,0.64,2.17,2.42,2.08,10.33,0.00,0.00,0.00,3.55,4.00,2.92,-0.29,0.43,10.48,16.82,1.88,1.74,1.73,5.78,1.99,1.24,1.57,1.44,-0.34,0.02,-0.24,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.95,1.21,0.45,1.24,4.15,-0.09,26.58,-0.01,-0.16,-0.13,-0.12,31.16,
frc5626,17.29,19.93,0.00,3.46,0.84,1.41,0.86,0.21,0.66,1.57,1.46,0.67,3.98,0.00,0.00,0.00,3.58,3.13,2.20,0.01,0.75,8.90,14.23,1.48,1.72,1.84,0.20,0.26,0.02,0.99,-0.54,-0.31,-0.26,0.11,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,0.94,1.52,0.91,0.53,3.46,-0.01,13.08,-0.29,0.03,0.10,-0.17,17.29,
frc6749,13.97,14.41,0.00,1.90,-0.16,0.01,-0.67,1.65,2.00,0.68,1.95,1.78,3.89,0.00,0.00,0.00,3.23,0.68,2.22,0.42,-0.20,6.10,16.42,1.27,1.71,1.44,2.28,0.77,-0.55,-0.19,0.06,-0.13,0.00,0.11,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.20,0.46,1.02,0.78,1.90,0.05,12.27,-0.20,0.26,-0.30,0.09,13.97,
frc3926,25.18,11.19,0.00,4.85,-0.15,0.29,-0.43,0.22,0.66,-0.07,-0.12,0.99,-0.53,0.00,0.00,0.00,2.74,3.32,3.79,-0.21,1.02,9.79,20.23,1.47,1.62,1.44,10.05,1.53,0.50,1.60,0.94,-0.38,0.70,0.17,0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.59,1.14,2.96,1.53,4.85,-0.09,19.30,0.03,0.23,0.24,-0.14,25.18,
frc3277,12.27,11.29,0.00,4.67,1.29,0.85,1.37,0.32,1.22,0.54,1.46,1.25,2.49,0.00,0.00,0.00,2.75,1.37,-0.45,-0.04,-0.52,3.75,-3.38,1.92,1.67,1.80,1.87,0.37,0.20,-0.09,-0.52,0.12,-0.12,0.13,-0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.16,1.40,1.37,0.25,4.67,-0.08,8.11,0.23,0.38,0.27,0.19,12.27,
frc7273,13.50,19.48,0.00,4.60,0.29,0.52,1.27,0.75,-0.15,1.39,-0.51,0.19,0.69,0.00,0.00,0.00,1.63,0.60,1.57,0.27,-0.09,3.80,2.19,1.75,1.70,1.47,4.50,0.96,0.07,0.88,0.41,0.04,0.39,-0.06,0.70,0.67,0.67,0.67,0.67,0.67,0.67,1.94,1.90,1.19,0.49,4.60,-0.03,8.99,-0.07,0.08,0.08,-0.05,13.50,
frc2549,33.45,22.00,0.00,5.92,1.69,2.57,1.87,3.16,1.46,2.24,1.75,2.13,14.34,0.00,0.00,0.00,2.85,1.07,3.80,-0.11,-1.08,7.78,9.00,1.95,1.53,1.90,6.49,2.60,0.71,1.22,1.22,0.36,0.74,0.39,0.78,0.67,0.67,0.67,0.67,0.67,0.67,0.51,2.92,2.44,1.23,5.92,0.18,28.61,-0.19,0.32,-0.05,0.01,33.45,
frc2207,6.64,20.82,0.00,5.85,0.54,0.97,0.79,0.39,0.61,0.93,0.36,0.99,0.16,0.00,0.00,0.00,0.78,-0.50,-1.73,0.29,-0.07,-1.48,-8.41,1.92,1.60,1.93,2.18,-0.47,0.86,-0.74,0.58,0.27,-0.26,0.23,-0.30,0.67,0.67,0.67,0.67,0.67,0.67,2.18,0.93,2.35,-0.54,5.85,0.05,0.86,0.65,-0.24,0.13,-0.05,6.64,
frc2883,27.30,17.19,0.00,2.26,2.69,2.02,2.20,-0.13,2.84,2.15,1.81,1.91,12.04,0.00,0.00,0.00,2.55,4.06,1.59,0.40,2.44,8.21,12.53,1.47,0.98,1.27,2.35,1.00,1.04,0.52,1.15,-0.31,-0.16,-0.09,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.27,2.19,1.41,2.26,0.03,22.60,-0.12,-0.10,-0.21,-0.06,27.30,
frc5275,11.92,21.00,0.00,4.02,-0.10,-0.65,0.59,-0.39,-0.65,0.34,0.35,-0.04,-0.26,0.00,0.00,0.00,4.17,0.74,0.97,-0.12,0.98,5.86,4.20,1.94,1.40,2.02,1.32,-0.21,0.37,-0.15,0.23,-0.04,0.30,0.46,0.21,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.41,1.47,0.38,4.02,-0.05,6.91,-0.06,0.29,0.05,0.58,11.92,
