MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mnmi_qm1,blue,frc2855,frc3058,frc2513,40,57,0,12,0,5,0,5,2,0,5,0,9,0,0,0,3,6,3,1,3,12,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,25,0,0,0,0,40
2019mnmi_qm1,red,frc7038,frc2052,frc5232,57,40,0,9,5,5,5,5,5,5,5,2,21,0,0,0,3,12,3,1,3,18,30,5,5,3,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,45,0,0,0,0,57
2019mnmi_qm10,blue,frc2823,frc2987,frc5434,71,39,0,15,5,5,5,0,0,5,5,5,27,0,0,0,3,12,0,0,0,15,30,5,5,5,14,5,0,5,2,0,0,0,5,2,2,2,2,2,2,6,6,3,3,15,0,56,0,2,0,2,71
2019mnmi_qm10,red,frc3184,frc3038,frc3023,39,71,0,9,5,5,5,0,5,5,5,5,21,0,0,0,0,3,0,0,0,3,0,5,5,3,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,30,0,0,0,0,39
2019mnmi_qm11,blue,frc3751,frc2518,frc2532,48,42,0,15,0,2,5,0,0,5,2,0,6,0,0,0,12,6,3,0,6,21,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,27,0,0,0,0,48
2019mnmi_qm11,red,frc2513,frc2509,frc2879,42,48,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,12,0,2,0,15,30,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,9,0,33,0,0,0,0,42
2019mnmi_qm12,blue,frc3745,frc5232,frc2825,40,38,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,4,0,6,0,5,5,5,4,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,28,0,0,0,0,40
2019mnmi_qm12,red,frc2515,frc2480,frc3007,38,40,0,6,0,0,0,0,0,2,2,2,0,0,0,0,0,0,12,0,12,12,0,5,3,5,8,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,20,0,0,0,0,38
2019mnmi_qm13,blue,frc5913,frc5464,frc3058,60,39,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,0,3,0,0,15,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,45,0,0,0,0,60
2019mnmi_qm13,red,frc3102,frc2846,frc2498,39,60,0,12,5,5,5,0,0,5,5,2,15,0,0,0,12,0,0,0,0,12,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,27,0,0,0,0,39
2019mnmi_qm14,blue,frc4198,frc5541,frc2181,56,68,0,15,2,5,5,0,5,5,5,5,18,0,0,0,12,6,3,0,0,21,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,41,0,0,0,0,56
2019mnmi_qm14,red,frc5996,frc5172,frc3298,68,56,0,15,5,0,2,5,5,5,5,2,21,0,0,0,3,12,3,0,0,18,30,5,5,5,14,0,2,0,0,0,5,2,5,2,2,2,2,2,2,6,6,3,3,15,0,53,0,2,0,0,68
2019mnmi_qm15,blue,frc3299,frc4229,frc3407,41,47,0,12,2,2,2,5,0,5,2,2,9,0,0,0,3,0,3,2,0,6,0,5,5,5,14,5,0,2,2,2,0,2,0,2,2,2,2,2,2,3,3,6,0,12,0,29,0,0,0,0,41
2019mnmi_qm15,red,frc4536,frc2530,frc4549,47,41,0,12,2,5,5,2,5,5,2,5,15,0,0,0,3,3,0,0,6,6,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,29,0,0,0,0,47
