MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mokc3_qm1,blue,frc2333,frc1094,frc2451,79,68,0,15,5,5,5,0,5,5,5,5,30,0,0,0,3,6,12,0,3,21,30,5,5,5,10,5,0,0,0,5,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,61,2,0,5,0,79
2019mokc3_qm1,red,frc3593,frc2359,frc1756,68,79,0,15,5,5,5,5,2,5,5,5,27,0,0,0,3,3,12,1,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,53,0,0,0,0,68
2019mokc3_qm10,blue,frc3284,frc5889,frc7662,58,36,0,9,5,5,5,0,5,5,5,5,21,0,0,0,6,3,3,0,10,12,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,39,0,0,0,0,58
2019mokc3_qm10,red,frc6886,frc3931,frc2359,36,58,0,15,2,5,5,0,0,2,2,2,6,0,0,0,12,3,0,0,0,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,1,21,0,0,0,0,36
2019mokc3_qm11,blue,frc5119,frc1785,frc3397,71,48,0,12,5,5,5,5,2,5,5,5,21,0,0,0,3,3,0,1,28,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,31,0,0,0,0,71
2019mokc3_qm11,red,frc4522,frc2164,frc4455,48,71,0,9,2,2,5,5,0,2,5,2,15,0,0,0,12,0,3,6,3,15,30,5,3,5,6,0,0,0,0,0,5,0,5,2,2,2,2,2,2,3,6,6,1,9,1,36,0,0,0,0,48
2019mokc3_qm12,blue,frc5041,frc31,frc6424,61,39,0,15,5,2,5,5,0,2,5,2,18,0,0,0,3,3,12,0,0,18,30,5,5,5,10,0,5,0,5,0,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,46,0,0,0,2,61
2019mokc3_qm12,red,frc5437,frc938,frc3593,39,61,0,12,5,2,5,5,0,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,27,0,0,0,0,39
2019mokc3_qm13,blue,frc1756,frc5006,frc4959,65,45,0,12,2,2,5,2,5,5,5,5,18,0,0,0,12,3,6,0,0,21,30,5,3,5,14,5,0,2,0,2,0,2,0,2,2,2,2,2,2,6,3,6,3,12,0,53,2,0,0,0,65
2019mokc3_qm13,red,frc5889,frc6843,frc7141,45,65,0,9,5,5,5,5,5,5,2,2,18,0,0,0,3,6,3,0,0,12,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,36,0,0,0,0,45
