Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2333,18.59,20.88,0.00,4.97,0.72,1.46,1.67,1.56,0.17,1.71,1.56,1.72,7.16,0.39,0.00,0.19,-0.25,0.39,2.10,0.02,0.94,2.24,-1.39,1.04,1.72,1.67,3.28,1.24,0.24,0.11,0.27,0.37,0.36,0.35,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.48,2.63,1.19,0.22,4.97,-0.04,12.68,0.09,0.14,0.52,0.03,18.59,
frc1094,23.46,20.42,0.00,5.59,2.37,2.19,1.80,1.06,1.54,1.85,1.86,1.82,10.55,-0.58,0.00,-0.24,1.42,1.76,2.04,0.02,-0.76,5.21,0.32,1.79,1.79,1.69,2.87,0.63,0.05,0.09,0.28,0.95,-0.03,0.32,-0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.60,1.98,1.61,0.42,5.59,-0.07,18.63,0.41,0.09,0.55,-0.09,23.46,
frc2451,24.69,19.78,0.00,5.27,1.68,1.31,1.46,0.86,1.83,1.43,1.69,1.55,8.08,-0.64,0.00,-0.23,2.47,3.32,2.09,0.12,0.32,7.88,13.41,1.59,1.75,1.68,3.15,0.25,0.78,0.13,0.76,0.17,0.23,-0.27,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.76,1.72,1.80,1.27,5.27,-0.03,19.11,0.03,0.47,0.33,0.49,24.69,
frc3593,15.77,21.22,0.00,4.65,1.83,1.70,1.86,0.56,1.35,1.55,1.30,1.29,7.29,-0.34,0.00,-0.31,1.26,1.06,0.52,0.34,-1.60,2.85,1.08,1.75,1.74,1.50,2.58,0.28,0.48,-0.20,-0.02,-0.01,0.21,0.47,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.71,1.31,0.16,4.65,-0.08,12.72,0.11,0.34,0.26,0.36,15.77,
frc2359,16.90,23.81,0.00,2.85,1.59,1.98,1.88,2.05,2.01,1.71,1.32,1.31,8.21,1.82,0.00,-0.48,-0.16,0.50,1.72,-0.12,2.36,2.06,-3.10,1.37,1.74,1.55,1.42,0.73,0.00,0.04,0.37,-0.11,-0.23,-0.21,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.09,1.00,0.73,-0.22,2.85,0.13,11.68,-0.06,-0.07,-0.05,-0.22,16.90,
frc1756,29.00,15.66,0.00,5.74,0.83,0.85,0.82,0.98,1.13,1.40,1.52,1.39,7.57,1.53,0.00,2.02,3.19,3.60,2.96,0.62,1.12,9.76,22.22,1.80,1.34,1.75,4.80,0.84,1.63,1.28,1.26,0.10,0.47,0.19,0.80,0.67,0.67,0.67,0.67,0.67,0.67,2.31,1.37,2.46,1.66,5.74,-0.01,22.13,0.06,0.49,-0.00,0.35,29.00,
frc3284,31.76,17.03,0.00,4.05,1.56,1.50,1.49,1.02,2.40,1.61,1.65,1.58,14.04,4.29,0.00,4.91,4.90,0.50,1.94,0.44,-0.27,7.34,13.94,1.60,1.80,1.69,6.60,0.68,1.90,0.57,2.40,-0.00,2.14,-0.25,1.99,0.67,0.67,0.67,0.67,0.67,0.67,1.36,1.23,1.50,1.70,4.05,-0.10,27.98,-0.08,1.25,0.04,1.23,31.76,
frc5889,22.91,13.89,0.00,3.24,1.95,2.11,1.88,2.06,1.97,1.79,1.89,1.34,10.09,-0.34,0.00,-0.32,0.01,1.08,1.08,-0.21,2.80,2.17,1.72,1.83,1.69,1.71,4.60,2.31,-0.10,2.05,0.24,-0.14,-0.05,-0.26,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.26,0.96,0.58,0.80,3.24,-0.03,16.87,-0.11,-0.18,-0.17,-0.15,22.91,
frc7662,11.03,8.81,0.00,3.47,1.51,1.65,1.45,0.29,0.74,1.57,1.18,1.30,4.79,-0.92,0.00,-0.33,1.12,1.27,0.87,-0.18,-0.34,3.26,-0.70,1.74,1.71,1.74,-0.15,0.20,-0.15,-0.48,0.26,-0.08,-0.36,0.19,-0.32,0.67,0.67,0.67,0.67,0.67,0.67,0.87,0.90,1.44,0.41,3.47,-0.02,7.90,0.01,-0.19,0.11,-0.22,11.03,
frc6886,18.56,17.61,0.00,4.15,0.42,1.34,1.75,1.00,0.47,1.31,1.63,1.63,5.45,-1.13,0.00,-0.30,1.86,0.75,4.14,-0.14,-0.23,6.74,16.26,1.26,1.52,1.71,2.44,0.59,0.28,0.82,0.19,0.06,0.42,-0.11,0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.52,2.64,1.32,0.84,4.15,0.15,14.64,-0.11,-0.19,-0.08,-0.15,18.56,
