MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mokc_qm1,blue,frc1730,frc5801,frc2335,77,22,0,9,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,0,12,18,30,5,5,3,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,56,0,0,0,0,77
2019mokc_qm1,red,frc2353,frc2357,frc1810,22,77,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,4,0,9,0,3,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,13,0,0,2,0,22
2019mokc_qm10,blue,frc2335,frc1764,frc7064,29,59,0,9,5,2,5,0,5,5,5,2,15,0,0,0,0,3,0,0,0,3,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,20,0,0,0,0,29
2019mokc_qm10,red,frc1723,frc3284,frc2723,59,29,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,6,6,0,0,15,30,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,47,0,0,0,0,59
2019mokc_qm11,blue,frc1777,frc1984,frc1769,40,6,0,6,5,5,5,5,5,5,5,5,24,0,0,0,0,3,0,0,3,3,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,6,0,31,0,0,0,0,40
2019mokc_qm11,red,frc5189,frc937,frc6805,6,40,0,0,2,2,5,0,0,2,5,2,6,0,0,0,0,0,0,1,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,6,0,0,0,0,6
2019mokc_qm12,blue,frc1775,frc4809,frc5098,45,30,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,0,6,0,0,9,0,5,5,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,2,12,0,33,0,0,0,2,45
2019mokc_qm12,red,frc1847,frc2352,frc5268,30,45,0,12,5,5,5,0,0,5,5,5,18,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,12,0,18,0,0,0,0,30
2019mokc_qm13,blue,frc1764,frc2723,frc2410,54,65,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,3,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,36,0,0,0,0,54
2019mokc_qm13,red,frc1723,frc1810,frc5801,65,54,0,15,5,5,5,5,5,2,2,5,24,0,0,0,3,3,12,1,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,50,0,0,0,0,65
2019mokc_qm14,blue,frc6542,frc5968,frc1108,41,32,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,26,0,0,0,0,41
2019mokc_qm14,red,frc6805,frc2335,frc1769,32,41,0,9,2,2,5,5,0,5,5,5,15,0,0,0,3,3,0,0,0,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,23,0,0,0,0,32
2019mokc_qm15,blue,frc3284,frc1847,frc5098,54,53,0,15,2,5,5,2,2,5,5,5,15,0,0,0,6,3,6,3,3,15,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,36,0,0,0,0,54
2019mokc_qm15,red,frc1775,frc1730,frc1806,53,54,0,9,5,5,5,0,2,2,5,5,15,0,0,0,3,12,3,1,9,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,35,0,0,0,0,53
2019mokc_qm16,blue,frc1785,frc1777,frc2353,26,47,0,6,2,5,2,0,2,5,5,5,12,0,0,0,3,0,0,0,3,3,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,17,0,0,0,0,26
2019mokc_qm16,red,frc5809,frc5082,frc1984,47,26,0,12,2,5,5,5,5,2,2,2,12,0,0,0,0,12,3,1,0,15,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,35,0,0,0,0,47
2019mokc_qm17,blue,frc4809,frc5268,frc1986,54,12,0,9,5,5,5,0,2,5,5,5,24,0,0,0,0,3,12,0,0,15,30,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,45,0,0,0,0,54
2019mokc_qm17,red,frc1982,frc5918,frc937,12,54,0,6,2,2,5,0,0,2,2,2,3,0,0,0,0,3,0,0,0,3,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,6,0,0,0,0,12
2019mokc_qm18,blue,frc1763,frc5189,frc2352,30,47,0,6,5,5,5,0,0,5,5,5,18,0,0,0,3,0,3,1,0,6,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,24,0,0,0,0,30
2019mokc_qm18,red,frc2357,frc1802,frc7064,47,30,0,12,5,5,5,5,0,5,2,5,18,0,0,0,3,6,3,0,3,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,32,0,0,0,0,47
2019mokc_qm19,blue,frc1806,frc1777,frc1723,18,50,0,3,2,5,5,0,0,5,5,2,12,0,0,0,0,0,3,0,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,3,0,15,0,0,0,0,18
2019mokc_qm19,red,frc1730,frc5098,frc1785,50,18,0,3,5,5,5,5,2,5,5,5,21,0,0,0,12,6,0,0,0,18,30,5,5,5,8,0,2,2,0,0,0,0,0,Unknown,Unknown,Unknown,2,2,2,Unknown,Unknown,3,3,3,0,47,0,0,0,0,50
2019mokc_qm2,blue,frc1785,frc1986,frc1764,56,28,0,12,5,2,5,0,0,5,5,5,15,0,0,0,0,12,0,0,13,12,0,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,31,0,0,0,0,56
2019mokc_qm2,red,frc6542,frc1984,frc1763,28,56,0,9,2,2,5,0,5,2,2,2,6,0,0,0,3,3,3,1,0,9,0,5,5,3,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,1,19,0,0,0,0,28
2019mokc_qm20,blue,frc5082,frc1810,frc1769,42,43,0,9,5,5,5,0,5,5,5,5,21,0,0,0,0,3,3,0,0,6,0,5,5,3,6,0,0,0,2,2,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,33,0,0,0,0,42
2019mokc_qm20,red,frc5268,frc1984,frc1982,43,42,0,12,5,5,5,0,5,0,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,31,0,0,0,0,43
2019mokc_qm21,blue,frc5918,frc6542,frc7064,18,54,0,9,0,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,9,0,9,0,0,0,0,18
2019mokc_qm21,red,frc5801,frc2723,frc5189,54,18,0,12,5,5,5,5,0,2,2,2,18,0,0,0,12,3,3,0,0,18,30,5,5,3,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,12,0,42,0,0,0,0,54
2019mokc_qm22,blue,frc937,frc2357,frc1847,24,47,0,6,0,5,5,0,0,5,2,0,9,0,0,0,0,3,3,0,3,6,0,0,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,6,0,6,0,15,0,0,0,0,24
2019mokc_qm22,red,frc1802,frc4809,frc3284,47,24,0,12,5,5,5,0,0,5,5,5,18,0,0,0,6,3,6,1,0,15,30,5,5,5,2,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,35,0,0,0,0,47
2019mokc_qm23,blue,frc5809,frc2352,frc2410,60,39,0,9,5,5,5,5,5,5,5,5,24,0,0,0,0,3,12,2,0,15,30,5,5,5,12,2,0,2,2,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,51,0,0,0,0,60
2019mokc_qm23,red,frc2335,frc1775,frc5968,39,60,0,9,5,2,5,0,0,5,5,5,15,0,0,0,3,3,3,0,6,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,24,0,0,0,0,39
2019mokc_qm24,blue,frc1764,frc1763,frc2353,27,45,0,9,2,2,5,0,0,5,5,5,12,0,0,0,3,0,0,0,3,3,0,5,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,15,0,0,0,0,27
2019mokc_qm24,red,frc1986,frc6805,frc1108,45,27,0,12,2,2,5,0,0,5,5,2,15,0,0,0,12,0,0,1,0,12,0,5,5,5,6,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,6,3,2,12,0,33,0,0,0,0,45
2019mokc_qm25,blue,frc1777,frc5082,frc1847,44,66,0,15,5,5,5,2,0,2,2,2,9,0,0,0,3,12,3,1,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,29,0,0,0,0,44
2019mokc_qm25,red,frc2723,frc1982,frc1810,66,44,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,3,18,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,48,0,0,0,0,66
2019mokc_qm26,blue,frc2352,frc1769,frc1723,46,49,0,15,2,5,5,0,0,5,5,5,21,0,0,0,3,0,3,0,0,6,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,46
2019mokc_qm26,red,frc5918,frc2410,frc1785,49,46,0,6,5,5,5,0,5,5,5,5,21,0,0,0,3,12,3,0,0,18,30,3,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,43,0,0,0,0,49
2019mokc_qm27,blue,frc1986,frc7064,frc937,64,57,0,6,5,5,5,0,0,5,5,5,24,0,0,0,12,3,3,0,12,18,30,5,5,3,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,6,0,46,0,0,0,0,64
