MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mosl_qm1,blue,frc7472,frc4500,frc2707,33,12,0,9,5,5,5,0,0,5,2,2,12,0,0,0,0,6,3,0,3,9,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,21,0,0,0,0,33
2019mosl_qm1,red,frc5060,frc2408,frc5583,12,33,0,9,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,3,0,0,0,0,12
2019mosl_qm10,blue,frc1288,frc7746,frc7117,18,9,0,3,2,2,5,0,0,5,5,5,12,0,0,0,0,3,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,0,2,3,0,15,0,0,0,0,18
2019mosl_qm10,red,frc7496,frc5836,frc4187,9,18,0,6,2,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,3,0,0,0,0,9
2019mosl_qm11,blue,frc5147,frc5326,frc1208,29,46,0,9,2,2,5,0,0,2,2,2,9,0,0,0,0,0,3,0,0,3,0,5,5,5,8,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,20,2,0,0,0,29
2019mosl_qm11,red,frc4329,frc1178,frc3330,46,29,0,12,2,2,2,0,0,5,5,5,12,0,0,0,12,3,3,0,0,18,30,5,5,5,4,0,5,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,34,0,0,0,0,46
2019mosl_qm12,blue,frc931,frc4213,frc706,58,46,0,12,2,2,5,2,5,5,2,2,12,0,0,0,12,6,0,2,0,18,30,5,5,5,16,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,3,3,3,12,1,46,0,2,0,5,58
2019mosl_qm12,red,frc2978,frc6817,frc7773,46,58,0,6,2,0,2,0,0,5,0,5,6,0,0,0,3,3,12,0,16,18,30,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,6,0,24,0,0,0,0,46
2019mosl_qm13,blue,frc1706,frc4500,frc4256,62,22,0,12,2,2,2,0,5,5,5,5,18,0,0,0,3,6,6,0,3,15,30,5,5,5,14,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,3,12,0,47,0,5,0,5,62
2019mosl_qm13,red,frc7472,frc1985,frc7452,22,62,0,9,2,2,5,0,2,2,2,2,3,0,0,0,0,6,0,1,0,6,0,5,3,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,13,0,0,0,0,22
2019mosl_qm14,blue,frc4330,frc7435,frc5583,15,55,0,9,2,2,2,0,0,2,5,5,6,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,6,0,9,0,6,0,0,0,0,15
2019mosl_qm14,red,frc1444,frc3397,frc6391,55,15,0,12,5,5,5,0,0,0,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,5,0,0,0,2,0,2,2,2,2,2,2,2,3,3,6,2,12,0,43,0,5,0,5,55
2019mosl_qm15,blue,frc3197,frc5060,frc2707,29,46,0,6,2,2,5,0,5,5,5,5,15,0,0,0,3,0,3,1,0,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,23,0,0,0,0,29
2019mosl_qm15,red,frc5176,frc4931,frc6744,46,29,0,9,2,0,0,5,5,5,2,2,9,0,0,0,0,12,3,0,3,15,30,5,5,5,10,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,34,0,0,0,0,46
2019mosl_qm16,blue,frc4356,frc7747,frc1501,64,57,0,15,5,5,5,0,5,5,5,5,24,0,0,0,12,3,6,0,0,21,30,5,5,5,4,5,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,49,0,0,0,0,64
2019mosl_qm16,red,frc1658,frc4143,frc4246,57,64,0,12,2,2,5,5,0,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,6,0,0,0,0,0,5,0,5,2,2,2,2,2,2,3,3,6,1,12,0,45,0,0,0,0,57
2019mosl_qm17,blue,frc7773,frc706,frc1288,45,14,0,12,2,5,5,0,5,5,5,2,18,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,33,0,0,0,0,45
2019mosl_qm17,red,frc2408,frc1178,frc1985,14,45,0,3,5,5,0,0,0,0,2,2,6,0,0,0,0,3,3,0,0,3,0,0,5,0,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,0,3,3,0,3,0,11,0,0,0,0,14
2019mosl_qm18,blue,frc4256,frc1444,frc3330,53,52,0,12,2,2,5,0,5,5,2,2,15,0,0,0,0,3,3,0,10,6,0,5,5,5,10,0,5,0,5,0,0,0,2,2,2,2,2,2,2,3,3,6,2,12,0,31,0,0,0,2,53
2019mosl_qm18,red,frc4213,frc6817,frc1329,52,53,0,9,2,5,5,5,5,5,5,5,27,0,0,0,3,3,0,0,0,6,0,5,3,5,10,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,1,43,0,0,0,0,52
2019mosl_qm19,blue,frc2010,frc2978,frc7472,25,36,0,6,0,0,0,2,5,2,0,0,3,0,0,0,3,3,0,0,0,6,0,5,3,5,10,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,19,0,0,0,0,25
2019mosl_qm19,red,frc3397,frc7117,frc6744,36,25,0,9,5,5,5,0,5,2,2,2,12,0,0,0,3,3,3,0,0,9,0,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,27,0,0,0,0,36
2019mosl_qm2,blue,frc3330,frc7496,frc7117,27,14,0,9,5,0,5,0,0,5,0,5,12,0,0,0,3,3,0,1,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,0,2,9,0,18,0,0,0,0,27
2019mosl_qm2,red,frc6660,frc4232,frc6391,14,27,0,9,2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,2,0,0,2,0,14
2019mosl_qm20,blue,frc1706,frc3197,frc6391,29,61,0,12,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,5,5,5,8,2,0,5,2,0,0,0,2,2,2,2,2,2,2,3,3,6,0,12,0,17,0,0,0,0,29
2019mosl_qm20,red,frc5176,frc931,frc4500,61,29,0,15,5,5,5,5,2,5,5,5,21,0,0,0,12,3,6,0,0,21,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,46,0,0,0,0,61
