Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7472,8.04,12.13,-0.02,2.29,0.80,0.98,0.78,0.35,0.03,0.63,0.00,-0.25,-0.66,0.07,-0.03,0.00,1.02,2.15,0.25,-0.18,-0.05,3.50,2.56,1.90,1.40,1.59,2.98,0.41,0.40,0.18,-0.03,0.20,0.20,0.21,0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.13,1.29,0.91,0.48,2.29,-0.04,5.82,0.20,0.23,0.56,0.11,8.04,
frc4500,26.94,8.20,-0.01,6.81,2.43,2.32,2.32,0.57,1.67,2.52,2.49,2.81,11.69,0.10,-0.11,0.00,2.41,1.41,2.93,-0.06,0.96,6.87,3.81,2.14,1.86,1.71,0.62,-0.31,-0.50,-0.49,0.63,-0.13,-0.25,-0.27,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.87,2.34,1.71,1.38,6.81,-0.05,19.18,-0.08,0.27,-0.17,0.37,26.94,
frc2707,9.77,18.30,0.00,3.24,1.64,1.58,1.34,-0.11,-0.02,1.70,0.81,0.45,1.24,-1.01,-0.55,0.00,0.40,0.64,1.27,0.82,1.22,2.33,-0.14,1.68,1.69,1.68,1.74,0.22,0.26,-0.04,0.05,0.02,-0.30,0.07,0.22,0.67,0.67,0.67,0.67,0.67,0.67,0.58,1.87,1.09,-0.15,3.24,-0.01,5.31,0.08,-0.20,0.11,0.01,9.77,
frc5060,8.18,15.01,-0.01,2.36,0.57,0.50,0.88,-0.20,-0.00,0.62,1.41,0.79,2.41,-2.06,-0.03,0.00,0.69,-0.03,1.70,-0.04,-0.32,2.44,2.30,1.50,1.46,1.32,1.29,0.70,0.18,0.23,0.39,0.13,-0.10,0.29,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.51,0.76,1.39,-0.28,2.36,-0.05,6.14,-0.16,0.45,-0.04,0.27,8.18,
frc2408,6.06,19.82,0.00,2.77,0.49,1.13,0.12,0.66,0.15,0.90,0.37,-0.32,-0.20,1.18,-0.04,0.00,-0.12,0.56,1.92,0.45,0.77,1.73,0.08,0.56,1.92,1.12,0.99,-0.09,0.38,-0.09,-0.10,-0.16,0.04,0.18,0.30,0.67,0.67,0.67,0.67,0.67,0.67,0.86,1.38,0.66,-0.08,2.77,-0.03,2.52,-0.03,-0.09,0.07,-0.26,6.06,
frc5583,7.99,14.17,-0.00,5.51,0.90,1.25,1.24,-0.37,-0.45,0.46,1.00,1.62,1.33,-1.46,-0.31,0.00,0.88,1.32,0.85,-0.05,0.43,2.90,1.64,0.95,1.64,2.10,-2.18,-0.54,-0.48,-0.36,-0.01,-0.10,-0.18,-0.13,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.75,2.35,0.08,5.51,-0.00,2.05,-0.20,0.03,-0.21,-0.05,7.99,
frc1288,10.29,12.47,-0.00,1.65,0.76,1.69,1.39,0.24,0.49,1.22,1.57,1.43,4.32,-0.14,-0.15,0.00,1.06,0.27,0.88,-0.08,1.03,2.35,0.34,1.73,1.33,1.20,0.94,0.32,0.47,0.76,0.67,0.06,-0.42,-0.10,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.47,0.52,1.28,0.61,1.65,-0.02,7.61,-0.34,0.11,-0.06,-0.16,10.29,
frc7746,5.99,7.66,0.00,0.59,0.47,0.84,1.36,0.61,-0.18,2.04,1.62,0.99,2.07,4.32,0.26,0.00,-1.40,2.69,0.51,-0.08,1.39,1.75,2.16,0.84,1.27,0.65,0.19,-0.56,0.06,-0.65,0.31,-0.01,-0.16,-0.14,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.79,2.25,0.17,0.30,0.59,-0.03,4.00,-0.18,0.14,0.10,-0.04,5.99,
frc7117,3.22,10.26,-0.01,2.66,0.41,0.23,1.28,0.68,0.19,-0.18,0.72,0.84,0.62,-1.28,0.25,0.00,0.33,-0.30,0.94,0.66,-1.06,1.04,-2.10,1.81,1.35,0.89,-0.04,-0.37,-0.40,0.04,-0.13,-0.07,0.22,0.05,0.01,0.67,0.67,0.67,0.67,0.67,0.67,0.64,1.55,0.75,0.18,2.66,-0.05,1.62,-0.03,-0.13,-0.01,-0.12,3.22,
frc7496,8.80,15.84,-0.00,3.04,1.86,0.87,0.63,0.67,1.27,1.41,0.21,1.06,4.53,0.73,0.25,0.00,0.57,1.22,-0.22,0.48,-1.06,1.27,-1.41,1.41,1.45,1.33,1.02,0.22,-0.25,-0.16,-0.19,-0.21,0.10,-0.03,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.77,1.06,1.50,-0.10,3.04,-0.02,6.82,-0.21,-0.05,-0.19,-0.02,8.80,
frc5836,1.34,13.33,-0.00,0.01,1.06,1.24,0.91,-0.46,-0.31,-0.12,0.85,0.23,-0.48,-0.60,-0.65,0.00,0.35,0.70,0.52,0.49,1.18,1.36,2.16,1.13,0.82,0.88,-0.73,-0.37,-0.54,-0.08,0.16,0.14,-0.61,0.48,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.30,0.73,0.78,0.11,0.01,-0.05,0.15,0.22,-0.25,0.28,-0.17,1.34,
frc4187,11.61,14.17,-0.01,4.99,-0.51,0.59,0.44,0.53,0.07,1.95,1.23,1.43,2.94,0.29,-0.05,0.00,-0.16,3.15,-0.26,-0.17,0.37,2.39,2.23,1.73,1.10,1.85,0.93,-0.20,0.84,-0.30,0.52,-0.03,0.18,0.02,0.34,0.67,0.67,0.67,0.67,0.67,0.67,2.04,1.95,1.57,0.34,4.99,0.05,6.26,0.10,-0.05,0.04,0.20,11.61,
frc5147,9.68,19.16,-0.01,5.82,0.58,0.69,1.52,-0.68,-0.43,1.12,0.84,0.95,0.87,-1.80,-0.18,0.00,0.59,-0.02,1.28,0.05,-0.46,1.98,-3.86,2.36,1.57,2.26,1.47,-0.14,0.91,0.68,0.17,0.64,-0.14,0.20,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.82,1.52,1.46,-0.29,5.82,-0.00,4.32,0.11,-0.04,-0.04,0.02,9.68,
frc5326,9.54,20.76,-0.01,2.91,0.78,0.49,1.94,-0.17,-0.04,0.93,-0.03,0.18,3.10,-1.20,-0.13,0.00,1.34,1.09,0.52,1.15,-0.64,2.99,3.42,1.39,1.85,1.43,1.21,0.84,0.06,0.96,-0.40,0.86,0.25,0.33,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.86,0.84,0.98,0.26,2.91,0.06,7.29,0.72,0.00,0.44,-0.04,9.54,
frc1208,13.74,15.62,0.01,2.12,2.53,1.39,1.82,-0.22,0.63,1.35,1.63,2.11,7.29,3.23,-0.30,0.00,-0.14,0.55,1.26,0.11,0.54,1.69,-0.17,1.54,1.71,1.43,2.09,0.52,-0.44,0.17,-0.15,0.91,0.40,0.66,0.00,0.67,0.67,0.67,0.67,0.67,0.67,0.36,0.96,1.80,0.31,2.12,0.07,11.07,0.23,-0.17,-0.35,-0.31,13.74,
