MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mrcmp_qm1,blue,frc5113,frc708,frc5181,64,53,0,12,5,5,5,5,5,5,5,5,24,0,0,0,6,3,6,0,3,15,30,5,5,5,10,0,0,0,2,0,0,2,0,2,2,2,2,2,2,3,3,6,3,12,0,49,0,0,2,0,64
2019mrcmp_qm1,red,frc1626,frc2590,frc1279,53,64,0,15,5,5,5,0,0,5,5,5,18,0,0,0,3,12,3,1,0,18,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,38,0,0,0,0,53
2019mrcmp_qm10,blue,frc747,frc4653,frc1218,72,30,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,6,1,0,21,30,5,5,5,12,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,6,3,3,15,0,57,0,0,0,0,72
2019mrcmp_qm10,red,frc6943,frc5420,frc3314,30,72,0,9,2,2,2,0,2,2,5,2,3,0,0,0,3,3,3,0,3,9,0,5,3,5,6,0,0,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,0,9,0,18,0,0,0,0,30
2019mrcmp_qm100,blue,frc433,frc1712,frc1807,93,72,0,12,5,2,5,5,5,5,5,5,39,0,0,0,6,6,12,0,0,24,30,5,5,5,18,5,5,5,5,0,5,0,5,2,2,2,2,2,2,6,3,3,3,12,0,81,0,0,0,2,93
2019mrcmp_qm100,red,frc1218,frc4573,frc7587,72,93,0,15,5,5,5,5,5,5,5,5,30,0,0,0,12,3,0,0,0,15,30,5,5,5,12,0,5,0,5,0,2,0,2,2,2,2,2,2,2,3,6,6,1,15,0,57,0,0,0,0,72
2019mrcmp_qm101,blue,frc834,frc5401,frc25,59,69,0,15,2,2,2,5,0,5,5,5,21,0,0,0,0,3,3,0,3,6,0,5,5,5,14,0,2,0,2,0,5,0,2,2,2,2,2,2,2,6,3,6,0,15,0,41,0,5,0,5,59
2019mrcmp_qm101,red,frc5684,frc3340,frc6945,69,59,0,15,2,5,5,0,5,5,5,2,21,0,0,0,3,6,12,1,0,21,30,5,5,5,12,0,5,0,2,0,5,0,0,2,2,2,2,2,2,6,6,3,3,15,0,54,0,2,0,2,69
2019mrcmp_qm102,blue,frc2729,frc4342,frc4653,73,83,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,12,3,0,0,21,30,5,5,5,10,0,2,0,5,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,1,58,0,0,0,0,73
2019mrcmp_qm102,red,frc1676,frc303,frc4285,83,73,0,15,2,5,5,5,0,5,5,2,27,0,0,0,3,6,6,0,10,15,30,5,5,5,16,2,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,3,15,0,58,0,2,0,2,83
2019mrcmp_qm103,blue,frc2607,frc222,frc5420,82,77,0,15,5,5,5,0,5,2,5,2,27,30,0,0,12,3,3,0,6,18,30,5,5,5,16,5,5,0,2,5,0,5,0,2,2,2,2,2,2,6,6,3,4,15,0,61,2,0,0,0,82
2019mrcmp_qm103,red,frc1626,frc56,frc6943,77,82,0,15,2,5,5,5,5,5,5,5,27,0,0,0,12,6,3,2,0,21,30,5,5,5,14,5,2,5,2,0,2,0,0,2,2,2,2,2,2,6,3,6,1,15,0,62,0,0,0,0,77
