MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mxmo_qm1,blue,frc5959,frc5874,frc6348,20,12,0,6,0,0,2,0,0,5,2,2,3,0,0,0,3,0,3,1,3,6,0,5,0,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,6,0,11,0,0,0,0,20
2019mxmo_qm1,red,frc7546,frc5948,frc7725,12,20,0,0,2,2,5,0,0,2,2,2,3,0,0,0,3,3,3,1,3,6,0,0,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,9,0,0,0,0,12
2019mxmo_qm10,blue,frc3510,frc4635,frc3526,30,18,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,3,3,0,0,9,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,21,0,0,0,0,30
2019mxmo_qm10,red,frc6200,frc7725,frc5874,18,30,0,6,2,5,5,0,0,2,2,2,6,0,0,0,0,3,3,0,0,6,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,12,0,0,0,0,18
2019mxmo_qm11,blue,frc6676,frc3158,frc6702,40,28,0,9,5,5,5,5,0,5,5,2,18,0,0,0,0,6,3,1,0,9,0,3,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,31,0,0,0,0,40
2019mxmo_qm11,red,frc6652,frc6106,frc6170,28,40,0,6,2,2,2,0,0,0,5,5,6,0,0,0,3,3,3,0,3,9,0,5,5,3,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,19,0,0,0,0,28
2019mxmo_qm12,blue,frc6218,frc6348,frc4782,14,21,0,6,2,2,2,0,2,0,0,0,0,0,0,0,3,3,0,0,0,6,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,6,0,8,0,0,0,0,14
2019mxmo_qm12,red,frc4584,frc6319,frc4403,21,14,0,9,2,2,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,6,0,5,3,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,12,0,0,0,0,21
2019mxmo_qm13,blue,frc5133,frc4735,frc3933,32,43,0,6,5,5,5,5,0,2,2,2,15,0,0,0,3,0,0,0,0,3,0,3,5,5,8,2,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,26,0,0,0,0,32
2019mxmo_qm13,red,frc6647,frc3480,frc6156,43,32,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,34,0,0,0,0,43
2019mxmo_qm14,blue,frc5312,frc5948,frc4355,27,32,0,3,5,5,5,0,0,5,5,5,18,0,0,0,0,3,3,5,0,6,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,24,0,0,0,0,27
2019mxmo_qm14,red,frc4010,frc6694,frc7740,32,27,0,0,5,5,5,0,0,2,2,2,9,0,0,0,0,3,3,0,15,6,0,0,3,3,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,0,0,17,0,0,0,0,32
2019mxmo_qm15,blue,frc4400,frc5874,frc6676,21,22,0,3,2,2,2,0,0,5,5,5,9,0,0,0,3,3,3,0,0,9,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,18,0,0,0,0,21
2019mxmo_qm15,red,frc7102,frc6319,frc7299,22,21,0,6,2,2,5,2,0,0,2,0,3,0,0,0,3,3,3,0,0,9,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,16,0,0,0,0,22
2019mxmo_qm16,blue,frc6200,frc3478,frc3510,35,27,0,9,2,2,5,0,5,5,5,5,15,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,26,0,0,0,0,35
2019mxmo_qm16,red,frc6666,frc4403,frc6647,27,35,0,6,2,5,2,0,5,5,2,2,9,0,0,0,0,3,3,0,0,6,0,0,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,21,0,0,0,0,27
2019mxmo_qm17,blue,frc7421,frc3933,frc4775,56,45,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,3,9,0,5,5,5,8,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,41,0,0,0,0,56
2019mxmo_qm17,red,frc6444,frc4635,frc5312,45,56,0,12,5,5,5,5,0,5,5,5,21,0,0,0,0,3,3,1,0,6,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,33,0,0,0,0,45
2019mxmo_qm18,blue,frc3526,frc6106,frc4010,31,6,0,9,2,2,2,2,2,2,2,2,0,0,0,0,3,3,0,0,6,6,0,5,5,0,10,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,0,2,9,0,16,0,0,0,0,31
2019mxmo_qm18,red,frc6896,frc7299,frc7546,6,31,0,6,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,0,0,0,0,0,6
