MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019mxto_qm1,blue,frc7725,frc4735,frc5526,28,19,0,15,2,2,2,0,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,6,3,2,15,0,13,0,0,0,0,28
2019mxto_qm1,red,frc4355,frc5887,frc7161,19,28,0,3,2,2,2,2,2,2,5,5,6,0,0,0,3,0,3,0,0,6,0,3,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,3,0,16,0,0,0,0,19
2019mxto_qm10,blue,frc4355,frc4400,frc4401,50,13,0,12,5,5,5,0,5,5,5,2,18,0,0,0,3,6,6,0,3,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,35,0,0,0,0,50
2019mxto_qm10,red,frc7040,frc7687,frc6199,13,50,0,0,2,2,5,5,5,2,2,2,9,0,0,0,0,0,0,1,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,3,0,0,0,13,0,0,0,0,13
2019mxto_qm11,blue,frc7653,frc5887,frc4775,51,37,0,15,5,5,5,2,2,5,2,2,12,0,0,0,3,3,12,0,0,18,30,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,36,0,0,0,0,51
2019mxto_qm11,red,frc7161,frc7037,frc4635,37,51,0,6,5,5,5,0,2,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,3,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,31,0,0,0,0,37
2019mxto_qm12,blue,frc6017,frc5526,frc3472,35,43,0,12,2,5,5,5,0,5,5,5,18,0,0,0,3,0,0,0,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,1,23,0,0,0,0,35
2019mxto_qm12,red,frc6896,frc7669,frc7706,43,35,0,12,5,5,5,0,5,2,2,2,12,0,0,0,3,0,0,0,10,3,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,21,0,0,0,0,43
2019mxto_qm13,blue,frc4400,frc4735,frc6483,45,36,0,9,2,5,5,0,2,5,5,5,15,0,0,0,3,0,3,0,13,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,23,0,0,0,0,45
2019mxto_qm13,red,frc7577,frc6170,frc3526,36,45,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,1,0,6,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,1,24,0,0,0,0,36
