Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7725,16.87,15.05,0.00,6.67,0.66,1.15,1.29,0.61,0.60,0.85,0.75,1.18,2.16,0.00,0.00,0.00,1.25,1.24,1.82,0.16,-0.86,4.43,1.43,1.51,2.27,1.81,4.46,0.31,0.87,0.60,0.10,0.29,0.47,0.42,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.44,1.69,2.61,0.45,6.67,-0.05,11.06,0.00,0.00,-0.02,-0.02,16.87,
frc4735,20.32,10.85,0.00,4.92,1.10,1.36,1.59,1.12,1.50,1.48,1.49,0.96,4.67,0.00,0.00,0.00,0.80,0.56,1.23,-0.30,4.18,2.62,-0.71,2.04,1.59,1.04,3.92,0.22,0.77,-0.28,0.76,0.08,0.32,0.03,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.79,1.90,1.37,1.28,4.92,-0.06,11.22,0.00,0.00,-0.02,-0.02,20.32,
frc5526,9.34,12.52,0.00,3.48,0.99,0.97,0.75,0.18,0.69,1.52,1.27,0.92,3.06,0.00,0.00,0.00,1.19,1.08,0.98,-0.06,0.27,3.27,0.87,1.75,1.75,1.81,-0.74,-0.12,0.05,-0.02,-0.56,-0.08,-0.09,-0.09,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.04,1.96,0.50,-0.27,3.48,0.12,5.59,0.00,0.00,0.01,0.01,9.34,
frc4355,16.30,16.07,0.00,2.46,1.63,1.64,1.87,1.33,1.47,1.29,1.35,1.54,6.50,0.00,0.00,0.00,1.13,1.29,2.38,-0.22,1.18,4.79,5.05,1.54,1.00,2.02,1.37,0.08,-0.12,-0.16,0.02,-0.05,0.12,0.08,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.00,1.12,1.30,0.18,2.46,0.04,12.66,0.00,0.00,0.00,0.00,16.30,
frc5887,6.26,16.53,0.00,1.95,1.12,1.51,1.09,-0.09,-0.37,1.41,1.38,1.09,2.90,0.00,0.00,0.00,1.42,0.41,0.69,-0.10,-0.58,2.63,-0.90,1.29,1.61,0.55,-0.63,-0.07,-0.32,-0.12,-0.18,0.07,-0.07,0.10,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.09,2.32,1.80,-0.27,1.95,0.03,4.90,0.00,0.00,0.00,0.00,6.26,
frc7161,13.55,13.93,0.00,2.96,1.93,2.08,2.10,0.28,1.24,1.48,1.91,2.50,8.41,0.00,0.00,0.00,0.39,0.64,0.46,0.49,-0.01,1.51,-1.46,1.75,1.50,2.02,0.67,-0.08,0.04,0.21,-0.04,-0.02,-0.17,0.02,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.88,1.60,1.04,0.11,2.96,-0.04,10.59,0.00,0.00,-0.02,-0.02,13.55,
frc4400,15.66,13.69,0.00,2.91,1.64,2.06,2.05,-0.68,0.11,2.15,2.17,1.67,8.22,0.00,0.00,0.00,1.10,0.13,1.63,-0.06,1.55,2.92,2.38,1.58,2.01,1.34,0.05,0.33,-0.01,0.70,0.30,-0.09,-0.08,-0.12,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.34,0.67,1.75,0.44,2.91,0.24,11.20,0.00,0.00,-0.02,-0.02,15.66,
frc4401,20.71,5.23,0.00,5.79,1.88,1.84,1.34,1.00,0.96,2.00,2.12,1.71,7.39,0.00,0.00,0.00,2.34,2.90,2.24,0.03,0.19,7.26,5.76,1.61,2.00,1.49,0.07,-0.19,-0.35,-0.34,-0.20,-0.09,-0.01,0.05,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,2.15,2.23,1.44,0.97,5.79,0.02,14.73,0.00,0.00,-0.03,-0.03,20.71,
frc7040,4.63,16.53,0.00,1.05,0.72,0.78,1.08,-0.40,0.29,1.36,0.54,0.45,1.25,0.00,0.00,0.00,0.67,0.35,0.05,0.17,-0.36,1.15,-1.39,0.60,0.98,1.18,1.54,0.55,-0.32,0.38,-0.41,0.41,0.15,0.88,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.44,1.13,0.74,-0.03,1.05,0.04,3.94,0.00,0.00,0.18,0.18,4.63,
frc7687,10.54,17.62,0.00,4.23,0.61,0.78,1.59,1.28,0.67,1.38,1.51,0.38,3.84,0.00,0.00,0.00,-0.02,0.39,0.40,0.13,-0.10,0.82,-2.34,1.16,1.29,1.70,1.76,-0.17,0.46,0.26,0.89,-0.10,-0.04,0.06,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.83,1.97,3.02,0.11,4.23,-0.06,6.41,0.00,0.00,-0.01,-0.01,10.54,
frc6199,2.34,12.77,0.00,0.02,0.18,-0.05,0.01,1.30,0.68,1.47,0.83,0.87,1.50,0.00,0.00,0.00,-0.86,0.34,0.06,0.14,0.55,-0.38,-2.43,0.53,1.58,0.80,0.66,0.63,0.05,0.39,0.40,-0.16,-0.13,-0.21,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.14,2.13,0.74,-0.04,0.02,-0.06,1.77,0.00,0.00,-0.03,-0.03,2.34,
frc7653,14.52,14.23,0.00,2.35,1.14,1.63,1.48,1.74,1.68,1.38,0.92,1.18,4.88,0.00,0.00,0.00,0.33,0.27,2.07,0.01,0.61,2.77,0.69,1.34,1.51,1.28,3.90,0.63,0.87,0.47,0.04,-0.10,0.04,-0.13,-0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.50,0.37,0.89,0.65,2.35,0.12,11.55,0.00,0.00,-0.03,-0.03,14.52,
frc4775,25.06,11.53,0.00,6.10,1.70,1.34,1.65,-0.67,1.45,2.26,1.92,1.57,7.78,0.00,0.00,0.00,2.97,3.19,3.57,0.11,0.16,9.19,22.91,1.78,1.37,1.66,1.83,0.04,0.60,-0.39,0.56,0.38,0.16,0.53,0.31,0.67,0.67,0.67,0.67,0.67,0.67,2.06,2.04,2.06,1.56,6.10,-0.07,18.81,0.00,0.00,0.18,0.18,25.06,
frc7037,5.87,16.54,0.00,0.18,0.66,0.75,1.08,-0.09,-0.07,1.20,1.18,1.34,2.01,0.00,0.00,0.00,1.06,0.60,1.39,0.48,-0.24,3.06,-0.06,1.20,0.77,0.80,0.86,0.12,-0.32,0.37,0.02,0.14,0.16,0.06,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.23,0.81,1.36,0.03,0.18,-0.04,5.93,0.00,0.00,-0.01,-0.01,5.87,
frc4635,18.97,15.98,0.00,3.78,1.05,1.30,0.86,1.71,2.03,1.49,1.72,1.51,7.31,0.00,0.00,0.00,1.05,0.59,0.80,0.04,-0.39,2.48,0.71,2.26,1.55,1.76,5.78,1.68,0.56,1.52,0.35,0.47,-0.05,0.57,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.13,0.80,0.26,3.78,0.08,15.57,0.00,0.00,0.18,0.18,18.97,
frc6017,14.46,13.25,0.00,6.63,1.58,1.78,1.65,0.48,-1.15,1.82,2.05,1.61,5.35,0.00,0.00,0.00,1.57,0.37,0.34,-0.11,0.86,2.07,-1.02,2.10,0.93,2.18,-0.45,-0.17,-0.51,-0.16,-0.04,0.08,-0.13,0.07,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.66,1.55,1.49,0.49,6.63,0.06,6.97,0.00,0.00,-0.01,-0.01,14.46,
frc3472,14.92,14.50,0.00,2.30,1.67,1.59,2.04,0.83,0.56,1.80,1.97,2.18,7.86,0.00,0.00,0.00,0.24,-0.48,2.02,0.22,1.06,1.89,0.15,1.74,1.55,1.72,1.82,0.01,0.78,-0.14,0.28,0.11,-0.00,-0.04,0.14,0.67,0.67,0.67,0.67,0.67,0.67,0.76,0.98,1.22,0.29,2.30,0.05,11.56,0.00,0.00,-0.02,-0.02,14.92,
frc6896,17.70,12.08,0.00,5.30,1.64,1.69,1.76,0.90,1.97,1.36,1.14,1.10,7.51,0.00,0.00,0.00,0.74,1.05,0.37,0.04,0.12,2.16,-1.26,1.89,1.25,1.92,2.60,0.28,0.21,0.13,0.48,0.17,0.10,-0.03,0.08,0.67,0.67,0.67,0.67,0.67,0.67,2.04,1.32,1.75,0.73,5.30,0.04,12.28,0.00,0.00,0.02,0.02,17.70,
frc7669,7.11,19.58,0.00,1.18,1.30,0.80,1.34,-0.85,0.02,1.08,0.68,1.27,2.42,0.00,0.00,0.00,0.38,1.60,-0.40,-0.24,1.54,1.68,0.13,0.86,1.28,0.97,0.28,0.48,0.04,0.49,-0.24,-0.07,-0.04,-0.06,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.77,0.97,0.96,-0.36,1.18,0.05,4.38,0.00,0.00,-0.02,-0.02,7.11,
frc7706,12.71,15.61,0.00,3.66,1.46,1.24,1.51,1.93,1.13,0.67,0.79,0.94,3.63,0.00,0.00,0.00,1.71,1.15,-0.31,-0.11,0.82,2.57,-0.86,2.06,1.63,1.23,2.04,-0.17,0.22,0.01,0.15,-0.11,0.03,0.07,0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.34,1.32,0.69,0.35,3.66,-0.03,8.24,0.00,0.00,-0.01,-0.01,12.71,
frc6483,8.96,12.43,0.00,1.99,0.40,1.10,0.90,0.05,1.53,1.51,1.37,1.43,2.76,0.00,0.00,0.00,0.75,0.85,1.09,-0.09,0.87,2.70,-0.02,0.98,1.06,1.06,0.64,-0.18,-0.28,-0.31,-0.12,0.22,0.02,0.05,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.88,1.49,1.49,0.30,1.99,-0.06,6.10,0.00,0.00,0.01,0.01,8.96,
frc7577,0.63,18.32,0.00,-0.96,1.02,1.14,1.01,-0.33,-0.76,0.50,0.24,0.67,-0.82,0.00,0.00,0.00,1.45,1.18,0.37,0.23,0.73,2.45,-0.25,0.65,0.59,0.44,-0.78,-0.09,-0.46,-0.02,-0.43,0.10,-0.03,-0.09,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.57,0.86,1.22,-0.47,-0.96,0.16,0.86,0.00,0.00,0.01,0.01,0.63,
frc6170,18.02,10.62,0.00,5.42,1.86,1.34,1.45,1.05,0.57,1.80,2.06,1.90,7.71,0.00,0.00,0.00,0.31,-0.02,1.73,-0.04,1.56,1.75,2.26,1.73,1.09,1.49,1.58,-0.05,-0.04,-0.02,0.32,0.19,-0.02,0.12,0.08,0.67,0.67,0.67,0.67,0.67,0.67,2.44,1.20,2.00,0.58,5.42,0.16,11.04,0.00,0.00,0.01,0.01,18.02,
frc3526,14.28,19.33,0.00,6.35,1.89,1.16,1.45,1.39,0.53,1.88,2.06,1.98,7.17,0.00,0.00,0.00,0.51,0.90,0.42,0.48,-0.59,1.65,-3.13,1.32,2.14,1.95,-0.30,-0.62,-0.01,-0.18,-0.04,-0.17,-0.04,-0.16,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.43,2.48,2.19,-0.09,6.35,0.04,8.52,0.00,0.00,-0.03,-0.03,14.28,
frc7699,4.79,21.26,0.00,0.68,1.02,1.30,1.80,0.53,0.35,0.57,0.39,0.66,2.56,0.00,0.00,0.00,1.16,0.23,0.07,0.22,0.24,1.51,-0.51,0.61,1.12,1.35,-0.20,0.31,-0.70,-0.22,-0.10,-0.16,-0.15,-0.12,0.04,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.18,1.38,-0.38,0.68,-0.03,3.88,0.00,0.00,-0.01,-0.01,4.79,
frc5344,12.62,5.33,0.00,3.71,0.73,1.26,1.80,1.37,1.35,1.04,1.09,1.17,4.10,0.00,0.00,0.00,-0.27,1.07,0.66,0.02,0.80,1.51,-1.24,0.89,1.90,1.61,2.50,0.44,0.44,0.13,0.04,0.10,-0.05,-0.08,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.94,0.90,1.64,0.72,3.71,-0.07,8.11,0.00,0.00,0.00,0.00,12.62,
frc6647,23.29,9.86,0.00,3.13,2.47,2.48,2.44,2.51,1.71,1.83,1.98,2.02,12.83,0.00,0.00,0.00,1.63,2.51,1.24,-0.02,-0.75,5.49,8.75,2.07,1.40,1.77,2.59,1.40,-0.12,0.75,0.06,-0.11,-0.04,0.00,0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.89,0.97,1.71,1.50,3.13,-0.06,20.91,0.00,0.00,-0.03,-0.03,23.29,
frc5312,24.66,6.21,0.00,3.13,1.82,2.01,2.02,1.02,1.17,2.13,1.92,2.26,11.47,0.00,0.00,0.00,1.65,2.00,2.43,-0.16,2.03,6.14,5.58,2.05,1.77,1.72,1.89,0.71,1.23,1.00,0.67,-0.18,-0.07,-0.18,0.13,0.67,0.67,0.67,0.67,0.67,0.67,0.71,1.26,1.08,0.98,3.13,-0.02,19.51,0.00,0.00,-0.02,-0.02,24.66,
frc5705,13.10,8.78,0.00,4.53,0.32,0.65,0.27,0.42,0.66,1.50,1.57,1.46,1.98,0.00,0.00,0.00,3.10,0.32,-0.39,-0.09,0.98,3.11,0.16,1.47,1.71,1.76,2.52,0.21,-0.03,0.19,-0.24,0.25,0.34,0.24,0.26,0.67,0.67,0.67,0.67,0.67,0.67,2.96,0.70,2.09,0.44,4.53,-0.01,7.60,0.00,0.00,-0.01,-0.01,13.10,
