MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ncash_qm1,blue,frc4290,frc5679,frc3661,33,26,0,12,0,5,5,0,0,5,5,0,12,0,0,0,3,3,0,0,3,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,2,12,0,18,0,0,0,0,33
2019ncash_qm1,red,frc2640,frc6332,frc1225,26,33,0,15,2,2,2,2,0,2,2,2,0,0,0,0,3,0,0,1,0,3,0,5,5,5,8,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,6,6,0,15,0,11,0,0,0,0,26
2019ncash_qm10,blue,frc587,frc6502,frc1225,46,31,0,15,5,5,5,5,5,5,5,5,24,0,0,0,0,0,3,0,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,31,0,0,0,0,46
2019ncash_qm10,red,frc3661,frc3680,frc6932,31,46,0,6,2,2,5,5,2,2,2,0,6,0,0,0,0,3,0,0,0,3,0,0,5,5,16,2,0,2,0,2,0,2,0,2,2,2,2,2,2,0,3,3,0,6,0,25,2,0,2,0,31
2019ncash_qm11,blue,frc7815,frc3229,frc6888,40,56,0,9,5,5,5,0,5,5,5,5,21,0,0,0,0,3,3,0,0,6,0,0,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,9,0,31,0,0,0,0,40
2019ncash_qm11,red,frc900,frc1533,frc2640,56,40,0,9,2,2,2,0,2,5,2,2,15,0,0,0,3,3,12,0,0,18,30,5,5,5,14,0,2,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,3,9,0,47,0,2,0,5,56
2019ncash_qm12,blue,frc2655,frc1225,frc5190,63,40,0,6,5,5,5,5,5,5,5,2,27,0,0,0,3,3,12,0,0,18,30,5,3,5,12,2,0,0,2,0,5,0,5,2,2,2,2,2,2,3,6,3,3,6,0,57,0,0,0,0,63
2019ncash_qm12,red,frc6908,frc6639,frc5518,40,63,0,15,5,5,2,2,2,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,10,0,0,2,0,0,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,25,0,0,2,0,40
2019ncash_qm13,blue,frc6932,frc3506,frc5854,35,44,0,9,5,5,5,0,0,2,2,2,9,0,0,0,0,0,3,0,0,3,0,5,0,5,14,2,0,2,2,2,0,2,0,2,2,2,2,2,2,3,6,6,0,9,0,26,2,0,2,0,35
2019ncash_qm13,red,frc587,frc4935,frc4290,44,35,0,15,0,0,0,5,0,5,5,5,18,0,0,0,0,3,0,0,0,3,0,5,5,5,8,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,6,6,2,15,0,29,0,0,0,0,44
2019ncash_qm14,blue,frc4828,frc900,frc4561,51,55,0,15,5,5,5,5,5,5,5,2,21,0,0,0,6,0,3,0,0,9,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,36,0,0,0,0,51
2019ncash_qm14,red,frc7443,frc3196,frc3229,55,51,0,12,5,5,5,0,0,5,5,5,21,0,0,0,3,12,3,0,0,18,30,5,5,5,4,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,43,0,0,0,0,55
2019ncash_qm15,blue,frc6332,frc5727,frc3661,33,39,0,9,2,2,2,2,5,5,5,5,12,0,0,0,3,3,0,0,0,6,0,5,5,0,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,0,0,9,0,24,0,0,0,0,33
2019ncash_qm15,red,frc7815,frc3680,frc6899,39,33,0,15,2,5,5,0,5,5,2,2,12,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,24,0,0,0,0,39
2019ncash_qm16,blue,frc6894,frc3459,frc7890,36,60,0,12,5,5,5,0,0,2,2,2,9,0,0,0,0,12,3,0,0,15,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,1,12,0,24,0,0,0,0,36
2019ncash_qm16,red,frc6502,frc1533,frc5679,60,36,0,12,5,5,5,0,5,5,2,5,30,0,0,0,3,3,0,0,0,6,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,6,2,12,0,48,0,0,0,2,60
2019ncash_qm17,blue,frc5727,frc6932,frc2640,56,60,0,9,5,5,5,2,2,2,2,2,9,0,0,0,3,3,12,0,0,18,30,5,5,5,20,2,2,2,2,2,2,0,2,2,2,2,2,2,2,3,3,3,1,9,0,47,2,0,0,0,56
2019ncash_qm17,red,frc3661,frc587,frc4828,60,56,0,12,5,5,5,0,2,5,5,5,24,0,0,0,3,3,12,0,0,18,30,3,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,12,0,48,0,0,0,0,60
2019ncash_qm18,blue,frc900,frc3680,frc3229,43,55,0,15,5,5,5,2,5,2,5,2,15,0,0,0,0,3,0,1,0,3,0,5,5,5,10,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,28,2,0,0,0,43
2019ncash_qm18,red,frc6639,frc3506,frc4935,55,43,0,15,5,2,5,0,5,5,5,5,18,0,0,0,3,12,0,0,3,15,30,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,37,0,0,0,0,55
2019ncash_qm19,blue,frc5854,frc5679,frc7815,21,60,0,15,2,2,2,0,0,5,2,2,3,0,0,0,0,0,3,1,0,3,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,6,0,0,0,0,21
2019ncash_qm19,red,frc5190,frc7443,frc6908,60,21,0,9,2,5,5,5,0,5,5,5,21,0,0,0,12,3,6,0,3,21,30,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,48,0,0,0,0,60
2019ncash_qm2,blue,frc3196,frc2655,frc900,67,62,0,9,0,5,0,5,5,5,5,5,27,0,0,0,6,3,3,0,3,12,0,5,5,5,16,0,5,0,5,0,2,0,5,2,2,2,2,2,2,3,3,3,2,9,0,55,0,2,0,2,67
2019ncash_qm2,red,frc5190,frc4935,frc6932,62,67,0,12,5,5,0,0,0,5,5,0,18,0,0,0,12,3,3,1,0,18,30,5,5,5,14,5,5,2,2,2,0,2,0,2,2,2,2,2,2,3,6,3,1,12,0,50,0,0,2,0,62
2019ncash_qm20,blue,frc6888,frc5518,frc7890,45,61,0,12,2,2,2,2,0,2,5,5,9,0,0,0,3,6,6,0,3,15,30,5,5,5,6,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,30,0,0,0,0,45
2019ncash_qm20,red,frc1533,frc4561,frc4290,61,45,0,15,5,5,5,5,5,5,5,2,21,0,0,0,3,3,3,1,0,9,0,5,5,5,16,0,2,0,2,0,2,0,2,2,2,2,2,2,2,3,6,6,2,15,0,46,0,2,0,2,61
2019ncash_qm21,blue,frc6502,frc2655,frc6894,67,39,0,9,5,5,5,5,5,2,5,2,21,0,0,0,3,6,3,0,9,12,0,5,5,5,16,2,0,5,2,2,0,0,2,2,2,2,2,2,2,3,3,3,2,9,0,49,2,0,0,0,67
