MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nccmp_qm1,blue,frc5511,frc4828,frc5607,64,55,0,15,5,5,5,5,5,2,5,5,21,0,0,0,12,6,3,0,3,21,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,46,0,0,0,0,64
2019nccmp_qm1,red,frc587,frc4935,frc6502,55,64,0,15,5,5,5,5,5,2,2,2,21,0,0,0,6,3,0,1,0,9,0,5,5,5,10,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,40,0,0,2,0,55
2019nccmp_qm10,blue,frc4534,frc3459,frc4935,58,51,0,12,5,5,5,5,5,5,5,5,24,0,0,0,6,3,3,0,0,12,0,5,5,5,10,2,0,2,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,46,0,0,0,0,58
2019nccmp_qm10,red,frc7890,frc7671,frc5762,51,58,0,12,2,5,0,0,0,5,5,5,21,0,0,0,6,3,3,0,0,12,0,5,5,5,6,5,5,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,39,0,0,0,0,51
2019nccmp_qm11,blue,frc5511,frc7763,frc2655,79,72,0,15,5,5,5,5,5,5,5,2,27,0,0,0,12,3,6,1,0,21,30,5,5,5,16,2,5,2,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,64,0,0,0,0,79
2019nccmp_qm11,red,frc2682,frc4291,frc5190,72,79,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,3,18,30,5,5,5,12,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,54,0,0,0,0,72
2019nccmp_qm12,blue,frc900,frc7443,frc587,33,57,0,12,5,5,5,0,0,5,5,5,18,0,0,0,0,3,0,1,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,21,0,0,0,0,33
2019nccmp_qm12,red,frc2640,frc7890,frc3459,57,33,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,6,12,0,3,21,30,5,5,5,6,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,3,3,9,0,45,0,2,0,0,57
2019nccmp_qm13,blue,frc2655,frc4795,frc6500,48,42,0,15,5,5,5,2,5,5,5,5,21,0,0,0,6,0,0,2,0,6,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,33,0,0,0,0,48
2019nccmp_qm13,red,frc5511,frc7265,frc4935,42,48,0,12,2,5,5,0,5,5,5,2,15,0,0,0,0,0,3,0,6,3,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,24,0,0,0,0,42
