Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc5511,24.65,21.24,0.00,4.08,1.22,1.49,2.04,1.81,2.51,1.77,1.73,1.06,9.93,-1.78,-0.47,-0.60,0.28,2.14,4.27,-0.28,-0.76,6.77,13.61,1.66,1.82,1.75,4.62,1.63,1.43,1.55,1.03,0.28,0.32,-0.26,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.21,1.03,1.48,0.94,4.08,-0.03,21.33,-0.08,0.08,-0.21,-0.36,24.65,
frc4828,29.07,24.99,0.00,5.76,1.69,1.75,1.84,2.58,1.91,1.60,1.38,1.91,8.81,-1.20,-0.51,-0.35,4.53,1.19,2.26,1.78,3.01,7.99,11.18,1.73,1.72,1.67,3.49,-0.56,1.25,-0.41,1.16,-0.15,0.08,-0.11,0.34,0.67,0.67,0.67,0.67,0.67,0.67,2.30,1.60,1.63,0.94,5.76,0.09,20.29,-0.27,0.16,-0.06,0.39,29.07,
frc5607,15.92,23.22,0.00,5.51,1.62,0.71,1.76,1.24,0.21,1.30,1.40,1.59,5.04,-1.25,0.03,-0.47,2.19,1.92,1.09,0.01,-0.08,5.26,3.27,1.77,1.83,1.76,0.19,0.31,-0.40,0.16,-0.49,-0.30,0.07,-0.13,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.26,2.26,-0.05,5.51,0.20,10.50,-0.12,0.10,-0.11,0.31,15.92,
frc587,21.78,11.83,0.00,5.33,1.21,1.36,0.95,1.39,0.27,1.60,0.99,0.81,7.22,5.78,2.62,2.21,1.19,1.62,1.30,-0.35,1.18,4.15,-0.10,1.37,1.77,1.76,3.90,0.39,0.24,0.57,0.60,0.57,0.74,0.99,0.54,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.25,2.00,1.20,5.33,-0.04,15.27,0.39,0.42,0.48,0.39,21.78,
frc4935,11.59,20.44,0.00,4.12,0.90,0.90,1.48,0.88,1.88,0.97,1.37,1.12,5.22,3.57,-0.73,2.23,0.11,0.50,-0.44,0.38,-1.40,-0.34,-6.06,1.30,0.86,1.70,4.00,0.62,1.00,0.82,0.73,-0.57,0.52,-0.46,0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.16,1.94,1.58,-0.24,4.12,-0.02,8.88,-0.20,0.37,-0.01,0.21,11.59,
frc6502,26.98,25.36,0.00,3.57,1.60,1.93,1.23,2.25,2.41,1.20,1.51,1.44,12.76,3.28,2.40,-0.57,0.10,0.21,1.35,0.24,1.45,1.67,-2.16,1.72,1.69,1.53,7.53,2.22,1.29,2.10,0.58,1.49,-0.15,1.03,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.56,1.31,1.06,0.53,3.57,0.03,21.96,0.46,0.56,0.61,0.34,26.98,
frc4534,26.83,22.30,0.00,2.83,1.80,1.73,1.86,2.13,2.09,1.62,1.92,1.66,11.95,-2.35,-1.04,-0.66,2.69,3.22,0.03,0.16,-0.45,6.04,9.42,1.66,1.48,1.79,6.46,0.63,1.25,1.12,1.70,0.43,0.47,0.41,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.93,1.43,0.94,0.99,2.83,-0.05,24.45,0.23,0.07,-0.04,0.49,26.83,
frc3459,22.57,21.66,0.00,2.65,1.95,1.99,2.08,0.98,1.11,1.27,1.24,1.42,6.39,4.07,2.80,-0.13,2.02,1.45,2.68,0.65,7.09,6.16,8.71,1.62,1.72,1.66,0.27,-0.11,-0.77,-0.17,-0.12,0.04,-0.14,0.13,-0.47,0.67,0.67,0.67,0.67,0.67,0.67,0.98,1.06,0.52,0.88,2.65,-0.02,12.82,0.38,-0.12,0.36,-0.37,22.57,
frc7890,20.85,15.46,0.00,5.19,1.08,0.91,0.26,0.93,0.41,2.18,1.66,1.48,6.96,0.02,-0.87,-0.23,1.55,2.15,3.33,-0.40,-1.76,7.11,10.41,1.81,1.78,1.77,3.35,1.42,1.29,1.08,0.37,0.15,0.51,0.10,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.13,1.54,0.61,5.19,-0.05,17.42,-0.16,0.22,-0.11,0.22,20.85,
frc7671,23.30,30.45,0.00,2.70,1.29,1.65,1.48,1.82,1.83,1.43,1.72,2.12,11.42,-0.58,-0.17,0.10,1.88,0.65,0.31,0.89,0.50,2.61,-1.88,1.58,1.29,1.73,6.08,1.55,2.10,1.81,1.43,0.10,-0.22,-0.11,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.50,1.25,1.50,-0.23,2.70,0.03,20.10,0.04,0.04,-0.03,-0.22,23.30,
frc5762,17.16,20.56,0.00,5.20,1.49,1.74,1.64,1.93,1.63,1.24,1.80,1.95,7.70,-2.46,-0.73,-0.74,2.52,1.67,0.78,-0.11,-1.74,4.98,6.32,1.67,1.73,1.25,1.02,0.10,0.19,-0.03,0.04,0.21,-0.16,-0.04,-0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.67,1.47,2.41,0.21,5.20,0.25,13.70,-0.08,-0.32,-0.06,-0.15,17.16,
frc7763,24.07,20.28,0.00,5.92,0.43,1.03,1.14,2.51,1.67,0.34,0.10,-0.09,1.94,3.14,-0.61,2.11,2.61,2.26,1.48,-0.40,0.85,6.36,8.27,1.81,1.55,1.81,9.00,0.24,0.27,-0.02,-0.01,-0.53,0.16,-0.04,0.09,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.94,2.00,0.78,5.92,0.06,17.30,-0.27,0.14,-0.18,0.14,24.07,
frc2655,24.14,23.55,0.00,3.86,1.31,2.06,1.33,1.67,2.22,2.08,2.04,1.83,10.45,4.97,2.70,-0.25,2.16,2.85,0.82,0.28,0.21,5.83,9.42,1.75,1.77,1.27,3.79,1.39,0.72,0.98,-0.04,0.68,-0.12,0.30,-0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.44,1.34,1.20,0.81,3.86,-0.04,20.08,0.47,-0.24,0.46,-0.32,24.14,
frc2682,25.54,29.15,0.00,4.99,1.63,1.73,1.56,1.93,1.87,1.72,1.60,1.85,9.70,5.52,-0.72,1.80,2.29,0.35,1.36,-0.07,1.77,4.01,3.63,1.39,1.73,1.69,5.08,0.88,1.04,0.69,0.94,0.21,0.94,-0.32,0.99,0.67,0.67,0.67,0.67,0.67,0.67,0.94,2.41,1.32,0.59,4.99,-0.08,18.79,-0.20,0.18,-0.27,0.13,25.54,
frc4291,17.65,21.74,0.00,5.22,1.60,1.38,1.35,1.21,1.04,1.75,1.76,1.90,5.98,-1.45,-0.38,-0.61,-0.36,1.01,2.43,0.47,1.72,3.15,-0.89,1.82,1.64,1.72,1.59,-0.28,1.29,-0.36,0.38,-0.35,-0.27,-0.39,0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.98,1.97,1.41,-0.06,5.22,0.11,10.71,-0.23,-0.19,-0.14,0.21,17.65,
