MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ncgui_qm1,blue,frc3822,frc6899,frc6004,11,56,0,3,2,2,5,0,0,2,2,2,3,0,0,0,0,0,3,1,0,3,0,5,3,3,2,0,0,0,0,2,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,8,0,0,0,0,11
2019ncgui_qm1,red,frc6565,frc5762,frc7763,56,11,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,0,3,0,3,6,0,5,5,5,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,38,0,0,0,0,56
2019ncgui_qm10,blue,frc3506,frc3680,frc6512,27,9,0,12,2,2,2,2,2,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,15,0,0,0,0,27
2019ncgui_qm10,red,frc3822,frc1225,frc6240,9,27,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,6,0,3,0,0,0,0,9
2019ncgui_qm11,blue,frc6214,frc3196,frc6565,45,38,0,15,5,5,5,0,0,2,5,2,12,0,0,0,3,12,3,1,0,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,1,30,0,0,0,0,45
2019ncgui_qm11,red,frc2640,frc5762,frc6888,38,45,0,9,2,2,2,0,0,5,5,2,6,0,0,0,3,3,3,0,13,6,0,5,5,0,4,0,0,0,2,0,2,0,0,2,2,2,2,2,2,3,6,3,0,9,0,16,0,0,0,0,38
2019ncgui_qm12,blue,frc5727,frc2059,frc3215,26,47,0,3,2,5,2,2,2,2,5,2,6,0,0,0,3,0,0,1,6,3,0,3,5,0,8,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,0,0,3,0,17,0,0,0,0,26
2019ncgui_qm12,red,frc4935,frc4795,frc5854,47,26,0,15,5,2,2,0,0,5,5,5,12,0,0,0,3,12,0,2,3,15,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,29,0,0,0,0,47
2019ncgui_qm13,blue,frc5679,frc6894,frc6932,26,26,0,3,2,2,0,0,0,0,2,2,0,0,0,0,0,0,3,1,10,3,0,3,0,5,10,2,2,0,2,0,0,0,2,2,2,2,2,2,2,6,0,3,1,3,0,13,0,0,0,2,26
2019ncgui_qm13,red,frc7270,frc4290,frc3680,26,26,0,0,0,2,5,5,0,5,2,0,9,0,0,0,0,0,12,0,3,12,0,0,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,6,6,1,0,1,23,0,0,0,0,26
