MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ncpem_qm1,blue,frc3822,frc5160,frc4534,53,45,0,12,5,5,5,5,2,5,5,2,21,0,0,0,3,3,6,0,0,12,0,5,5,5,8,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,41,0,0,0,0,53
2019ncpem_qm1,red,frc7029,frc7671,frc6215,45,53,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,36,0,0,0,0,45
2019ncpem_qm10,blue,frc7715,frc4795,frc4534,61,46,0,12,5,5,5,5,2,5,5,5,21,0,0,0,0,12,6,0,0,18,30,5,5,5,10,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,6,3,3,12,0,49,0,0,0,0,61
2019ncpem_qm10,red,frc6500,frc435,frc3215,46,61,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,37,0,0,0,0,46
2019ncpem_qm11,blue,frc5160,frc4291,frc6214,52,50,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,37,0,0,0,0,52
2019ncpem_qm11,red,frc4816,frc5511,frc7265,50,52,0,15,2,2,5,5,0,5,5,5,15,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,35,0,0,0,0,50
2019ncpem_qm12,blue,frc6639,frc7270,frc7890,42,20,0,15,5,5,5,0,0,5,5,2,15,0,0,0,3,0,6,0,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,24,0,0,0,0,42
2019ncpem_qm12,red,frc6215,frc3796,frc6004,20,42,0,12,2,2,2,0,2,2,2,2,0,0,0,0,3,0,3,1,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,8,0,0,0,0,20
2019ncpem_qm13,blue,frc5544,frc4795,frc6500,74,35,0,9,5,5,5,5,5,5,5,5,24,0,0,0,3,12,3,0,15,18,30,5,5,3,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,50,0,0,0,0,74
2019ncpem_qm13,red,frc3661,frc7715,frc7671,35,74,0,9,2,5,5,0,5,5,5,5,18,0,0,0,3,3,3,5,0,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,26,0,0,0,0,35
2019ncpem_qm14,blue,frc5607,frc2682,frc4816,46,55,0,15,5,5,5,0,0,2,5,5,21,0,0,0,0,3,3,3,0,6,0,5,5,5,4,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,31,0,0,0,0,46
2019ncpem_qm14,red,frc3822,frc5511,frc6512,55,46,0,12,2,2,5,2,0,5,2,5,9,0,0,0,3,12,0,0,9,15,30,5,5,5,10,0,2,2,0,0,2,0,0,2,2,2,2,2,2,3,3,6,3,12,0,34,0,2,0,0,55
2019ncpem_qm15,blue,frc3737,frc7463,frc3215,32,26,0,9,2,2,5,0,5,5,5,5,15,0,0,0,3,3,0,0,0,6,0,5,3,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,9,0,23,0,0,0,0,32
2019ncpem_qm15,red,frc3796,frc6729,frc7890,26,32,0,9,0,5,2,2,2,2,2,0,3,0,0,0,0,3,3,0,0,6,0,0,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,0,3,6,0,9,0,17,0,0,0,0,26
2019ncpem_qm16,blue,frc6215,frc7270,frc7443,34,51,0,12,5,5,5,5,0,2,2,2,12,0,0,0,0,6,0,0,0,6,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,22,0,0,0,0,34
2019ncpem_qm16,red,frc3336,frc6214,frc435,51,34,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,0,0,0,6,0,5,5,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,36,0,0,0,0,51
2019ncpem_qm17,blue,frc4291,frc2642,frc4829,59,41,0,15,2,2,2,5,0,5,2,5,21,0,0,0,3,3,3,1,0,9,0,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,6,2,15,0,44,0,2,0,2,59
2019ncpem_qm17,red,frc6004,frc6639,frc5160,41,59,0,15,2,5,5,0,5,5,2,5,15,0,0,0,0,3,3,0,3,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,23,0,0,0,0,41
2019ncpem_qm18,blue,frc7029,frc4534,frc6426,46,18,0,12,5,5,5,5,0,5,5,5,21,0,0,0,0,6,3,0,0,9,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,34,0,0,0,0,46
2019ncpem_qm18,red,frc7675,frc7265,frc7739,18,46,0,9,2,5,5,0,0,2,2,2,6,0,0,0,0,0,3,0,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,9,0,0,0,0,18
2019ncpem_qm19,blue,frc7890,frc5607,frc3822,47,44,0,15,2,5,5,5,0,5,5,5,18,0,0,0,6,3,3,0,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,32,0,0,0,0,47
2019ncpem_qm19,red,frc5544,frc6215,frc6214,44,47,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,32,0,0,0,0,44
2019ncpem_qm2,blue,frc3336,frc7265,frc3737,49,53,0,15,2,2,5,5,5,5,5,2,15,0,0,0,3,3,3,1,0,9,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,34,0,0,0,0,49
2019ncpem_qm2,red,frc6639,frc6500,frc6426,53,49,0,15,2,5,5,5,5,5,5,5,21,0,0,0,3,0,3,0,3,6,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,35,0,0,0,0,53
2019ncpem_qm20,blue,frc5511,frc6500,frc4291,47,31,0,15,5,5,5,2,0,5,2,5,15,0,0,0,12,3,0,1,0,15,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,32,0,0,0,0,47
2019ncpem_qm20,red,frc4829,frc3215,frc7443,31,47,0,12,0,2,2,5,0,5,2,0,6,0,0,0,3,0,3,0,3,6,0,5,0,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,0,6,0,12,0,16,0,0,0,0,31
2019ncpem_qm21,blue,frc6004,frc6512,frc3737,39,41,0,15,2,5,5,5,0,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,0,15,0,24,0,0,0,0,39
2019ncpem_qm21,red,frc4795,frc7270,frc7029,41,39,0,3,5,5,5,5,0,5,5,2,18,0,0,0,12,3,3,0,0,18,30,5,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,3,0,38,0,0,0,0,41
2019ncpem_qm22,blue,frc4534,frc2682,frc3336,64,23,0,15,5,5,5,5,5,5,5,5,27,0,0,0,6,3,3,0,0,12,0,5,5,5,10,2,5,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,49,0,0,0,0,64
2019ncpem_qm22,red,frc7671,frc5160,frc4816,23,64,0,9,2,2,5,0,5,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,0,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,14,0,0,0,0,23
2019ncpem_qm23,blue,frc435,frc6639,frc7463,45,24,0,12,2,5,5,5,5,5,5,5,21,0,0,0,0,3,3,0,0,6,0,5,5,5,6,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,12,0,33,0,0,0,0,45
2019ncpem_qm23,red,frc6426,frc7739,frc3661,24,45,0,12,2,5,2,0,0,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,12,0,12,0,0,0,0,24
2019ncpem_qm24,blue,frc7675,frc3796,frc2642,37,47,0,9,5,5,5,5,5,5,2,2,18,0,0,0,3,0,3,5,0,6,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,28,0,0,0,0,37
2019ncpem_qm24,red,frc6729,frc7265,frc7715,47,37,0,15,2,2,5,0,0,5,5,2,9,0,0,0,0,3,3,0,15,6,0,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,17,0,0,0,0,47
2019ncpem_qm25,blue,frc6512,frc3336,frc7671,51,18,0,15,5,5,5,0,2,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,6,5,0,0,2,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,36,0,0,0,0,51
