Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc7029,4.18,11.50,0.00,1.72,1.16,0.77,1.19,-0.33,-0.32,1.01,1.48,0.87,2.10,-0.49,0.00,0.00,-0.46,2.60,-0.32,-0.18,0.09,1.43,1.95,0.76,1.22,1.41,-1.16,-0.50,-0.28,-0.15,0.03,-0.04,-0.05,0.12,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.51,0.96,1.09,0.25,1.72,-0.07,2.37,-0.05,0.17,-0.02,0.01,4.18,
frc4828,4.85,18.29,0.00,0.24,0.50,1.24,0.15,1.08,-0.23,-0.04,0.89,0.01,-0.49,0.05,0.00,0.00,1.29,1.37,1.96,1.46,0.13,4.68,8.64,0.51,1.24,1.38,0.28,-0.33,0.01,-0.29,0.21,-0.03,0.01,-0.31,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.13,0.96,1.27,-0.21,0.24,0.04,4.47,0.14,-0.03,-0.13,-0.04,4.85,
frc2642,19.53,16.53,0.00,4.06,1.79,2.16,1.96,0.63,1.11,1.53,1.64,1.77,10.74,-0.19,0.00,0.00,0.54,-0.43,0.97,2.21,0.19,1.20,-2.17,1.82,0.78,1.85,3.35,2.31,0.27,1.91,0.49,0.15,-0.04,-0.15,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,2.39,1.48,1.78,0.24,4.06,-0.04,15.28,-0.06,-0.01,0.09,-0.07,19.53,
frc6565,11.40,6.94,0.00,6.13,0.84,0.81,1.47,-0.36,-0.28,0.64,0.85,0.82,1.47,0.12,0.00,0.00,1.80,0.69,1.33,0.34,0.33,3.72,0.50,1.80,1.79,2.34,-0.26,0.07,-0.10,-0.10,-0.02,0.02,-0.06,-0.30,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.14,1.65,1.49,0.53,6.13,0.02,4.94,-0.08,-0.03,-0.19,-0.04,11.40,
frc5607,12.12,9.98,0.00,4.31,1.76,1.52,1.28,0.57,-0.41,1.15,1.14,1.35,3.61,-0.21,0.00,0.00,0.77,0.09,1.28,-0.22,0.70,1.95,-0.82,1.11,1.68,2.00,1.55,0.38,0.10,0.23,0.04,0.04,-0.05,0.30,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,2.29,1.91,1.56,0.46,4.31,-0.03,7.11,-0.08,-0.03,-0.01,-0.06,12.12,
frc5190,17.75,13.97,0.00,1.97,1.67,2.57,2.22,1.56,0.88,2.08,1.65,1.90,10.83,-0.00,0.00,0.00,0.32,0.29,0.06,0.13,0.66,0.81,-2.37,1.63,2.12,1.33,3.49,0.89,-0.16,1.15,0.15,-0.07,0.01,0.56,0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.96,1.02,0.79,0.48,1.97,-0.06,15.13,0.44,-0.01,1.32,0.50,17.75,
frc6502,6.71,5.94,0.00,2.70,1.09,0.89,0.92,1.56,1.74,0.79,0.78,1.18,2.52,-0.06,0.00,0.00,0.06,-0.10,0.25,0.61,-1.84,0.41,-2.10,1.81,1.49,1.98,2.92,0.23,0.09,-0.07,0.11,0.42,0.17,-0.22,0.17,0.67,0.67,0.67,0.67,0.67,0.67,0.64,1.07,1.56,0.18,2.70,-0.04,5.84,-0.07,-0.03,0.02,-0.04,6.71,
frc7463,8.84,9.33,0.00,0.60,0.74,0.37,0.20,-0.60,0.04,0.94,1.07,0.37,-0.71,-0.14,0.00,0.00,0.33,-0.37,0.03,-0.54,10.17,0.08,0.26,1.26,0.96,0.08,-1.29,-0.00,-0.18,-0.27,-0.23,-0.17,-0.03,-0.21,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.84,1.12,0.40,0.44,0.60,-0.04,-1.92,-0.09,0.00,-0.15,-0.05,8.84,
frc7739,1.32,9.57,0.00,0.64,0.62,0.41,1.15,-0.02,0.19,0.51,0.46,0.33,-0.83,-0.21,0.00,0.00,-0.23,1.91,0.50,0.08,-0.18,1.99,3.15,0.71,0.88,0.99,-0.30,-0.12,-0.11,-0.23,0.15,-0.19,0.12,-0.14,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.70,1.33,1.02,-0.33,0.64,-0.02,0.86,-0.04,0.01,-0.02,0.11,1.32,
frc900,14.47,9.49,0.00,2.63,0.63,0.16,0.68,0.89,0.46,0.18,0.30,-0.13,-1.49,-0.36,0.00,0.00,1.27,1.85,1.47,-0.34,4.08,4.71,5.52,1.55,1.78,1.12,4.54,0.49,0.07,0.54,0.22,-0.17,0.34,0.47,0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.52,0.95,1.20,0.76,2.63,0.19,7.76,0.03,-0.02,0.15,0.17,14.47,
frc5919,4.49,10.16,0.00,2.67,0.97,0.84,0.84,-0.32,0.26,0.59,0.76,0.58,0.82,-0.08,0.00,0.00,1.19,0.03,-0.03,-0.01,-0.84,1.35,0.54,1.53,1.63,1.39,0.49,-0.50,0.64,-0.27,0.59,-0.04,0.13,-0.17,0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.85,2.18,0.25,0.04,2.67,0.02,2.66,-0.07,-0.01,-0.15,0.09,4.49,
frc3459,4.90,11.34,0.00,1.77,0.59,0.57,0.28,0.20,0.73,0.97,0.60,1.08,0.70,2.48,0.00,0.00,0.55,1.09,0.59,-0.12,-0.46,2.16,0.30,2.01,1.49,0.91,0.73,0.05,0.22,-0.17,0.08,-0.09,0.12,-0.15,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.37,0.10,1.44,0.33,1.77,-0.07,3.59,0.04,-0.03,-0.03,-0.01,4.90,
frc2682,15.03,12.60,0.00,5.18,1.34,1.58,1.82,0.41,0.76,1.50,1.64,1.19,6.28,-0.40,0.00,0.00,0.36,0.45,1.12,-0.49,-0.52,2.07,-2.52,2.00,1.19,1.53,2.02,0.14,0.08,-0.02,0.53,0.61,0.10,0.47,0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.38,1.57,2.15,0.44,5.18,0.03,10.36,-0.04,0.03,0.07,0.16,15.03,
frc4561,24.34,12.85,0.00,6.84,1.79,2.27,2.32,1.46,1.25,2.63,1.90,2.31,10.41,2.50,0.00,0.00,1.16,0.15,1.79,0.31,2.48,3.21,0.59,1.85,1.44,2.18,1.40,0.52,0.02,-0.03,-0.11,0.16,-0.06,0.07,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.55,1.89,1.96,1.04,6.84,0.06,15.02,-0.08,0.01,-0.17,-0.02,24.34,
frc6908,14.23,11.46,0.00,3.46,1.56,1.65,1.43,0.37,-0.52,1.24,0.89,0.89,4.25,-0.05,0.00,0.00,1.48,0.19,1.71,0.28,1.86,3.02,3.22,2.27,1.24,1.26,1.64,-0.08,0.24,-0.28,0.24,0.03,-0.00,0.18,0.11,0.67,0.67,0.67,0.67,0.67,0.67,1.52,1.21,0.94,0.77,3.46,0.10,8.92,0.43,-0.03,0.26,-0.03,14.23,
frc4816,3.47,13.09,0.00,0.72,0.97,1.53,0.85,-0.29,-0.76,1.41,1.55,1.46,3.17,-0.09,0.00,0.00,-0.70,0.77,0.81,0.39,0.00,0.20,-2.38,0.28,0.51,0.44,-0.62,0.20,-0.20,0.12,-0.11,-0.15,-0.01,-0.27,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.68,1.32,0.97,-0.38,0.72,-0.03,2.75,-0.08,0.01,0.04,-0.08,3.47,
frc6215,1.17,12.44,0.00,1.95,0.69,0.51,0.29,-0.64,-0.61,1.10,1.10,1.34,-0.47,-0.27,0.00,0.00,0.11,0.77,0.14,1.14,-0.88,1.19,-0.74,1.97,1.40,0.61,-0.62,-0.25,0.09,-0.09,-0.04,-0.14,0.14,0.07,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.54,0.57,0.70,-0.04,1.95,0.00,0.10,0.02,-0.02,-0.01,0.01,1.17,
frc4291,10.82,16.84,0.00,2.52,0.89,0.92,0.97,0.11,1.21,0.72,1.30,1.04,2.31,2.52,0.00,0.00,-0.78,0.68,0.01,0.78,5.99,-0.20,-1.67,1.57,1.95,0.68,0.21,-0.07,-0.08,-0.06,0.05,-0.16,0.13,-0.13,0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.92,2.06,0.05,0.24,2.52,0.03,2.31,0.00,-0.01,-0.09,-0.04,10.82,
frc5160,12.40,10.35,0.00,2.84,0.12,0.57,0.94,2.28,1.64,0.51,-0.73,-1.12,1.83,-0.47,0.00,0.00,1.38,1.56,0.71,0.02,-1.47,3.74,3.64,1.16,2.21,1.39,5.46,-0.35,0.09,0.72,0.18,0.81,-0.04,1.08,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.07,1.57,1.12,0.48,2.84,0.02,11.03,-0.03,-0.01,0.25,-0.07,12.40,
frc3229,21.83,10.33,0.00,5.73,1.60,1.93,1.71,3.07,1.47,2.12,1.46,1.82,9.40,0.09,0.00,0.00,0.50,0.88,0.99,0.11,0.95,2.48,0.26,2.33,0.99,1.92,3.27,0.05,0.16,0.39,0.05,0.29,-0.05,0.32,0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.13,2.21,2.14,0.88,5.73,0.12,15.15,-0.04,-0.03,-0.17,0.09,21.83,
frc6240,-0.67,7.53,0.00,0.20,0.36,0.14,0.35,-0.07,-0.14,0.66,0.56,0.50,-1.31,-0.21,0.00,0.00,1.84,-0.61,0.09,-0.60,-0.53,1.40,-4.01,0.98,-0.46,0.83,-0.43,-0.35,-0.06,-0.09,0.06,-0.13,-0.06,-0.20,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.97,0.12,0.37,-0.31,0.20,-0.02,-0.35,-0.10,0.01,-0.12,0.12,-0.67,
frc5518,7.00,13.65,0.00,3.71,0.30,0.35,0.50,-0.30,0.40,0.98,0.76,0.70,-1.13,-0.21,0.00,0.00,0.18,1.66,-0.52,0.55,-0.22,1.07,-0.29,1.37,2.23,1.02,3.56,0.65,-0.20,0.61,0.21,0.57,0.14,0.48,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.39,0.72,1.22,0.07,3.71,-0.03,3.51,0.35,0.02,0.10,-0.03,7.00,
frc7671,13.66,4.26,0.00,2.72,1.73,1.44,1.88,0.48,0.36,1.91,1.79,1.90,8.10,-0.09,0.00,0.00,2.04,0.83,1.18,0.07,-1.11,4.13,2.25,1.87,1.88,1.67,-0.19,-0.03,-0.04,0.19,-0.08,0.21,-0.06,0.18,0.14,0.67,0.67,0.67,0.67,0.67,0.67,0.90,1.57,0.73,1.11,2.72,-0.08,12.05,-0.04,0.01,-0.02,-0.01,13.66,
frc7675,17.48,10.31,0.00,3.41,0.15,0.63,1.26,0.76,0.04,1.48,1.05,0.52,2.08,-0.50,0.00,0.00,0.59,2.20,0.63,-0.41,9.24,3.23,2.32,0.83,1.99,1.45,-0.48,0.14,-0.09,-0.12,0.03,-0.06,-0.08,-0.03,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.98,0.58,1.79,0.73,3.41,0.16,4.84,-0.09,0.01,-0.12,-0.05,17.48,
frc3737,15.63,10.60,0.00,3.95,0.45,0.94,1.41,1.03,2.71,0.85,0.73,0.77,3.88,-0.24,0.00,0.00,0.02,1.17,-0.37,0.04,1.55,0.89,-1.46,1.60,1.68,2.06,5.36,1.17,1.02,1.02,0.41,0.07,-0.05,0.46,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,0.90,0.68,1.23,0.33,3.95,0.23,10.13,-0.10,0.17,0.50,-0.06,15.63,
frc5762,15.54,7.99,0.00,1.46,2.21,2.14,1.97,-0.37,-0.53,2.35,1.74,1.57,7.56,0.12,0.00,0.00,0.31,0.73,2.55,0.24,4.09,3.43,3.18,0.75,1.30,1.67,-0.99,0.37,-0.24,0.14,-0.17,-0.06,-0.04,-0.17,0.00,0.67,0.67,0.67,0.67,0.67,0.67,0.75,1.37,1.31,0.66,1.46,0.13,10.00,-0.04,0.17,-0.16,-0.06,15.54,
frc3336,10.31,11.06,0.00,1.18,1.77,1.97,2.41,0.79,1.12,1.52,1.50,1.28,8.27,-0.27,0.00,0.00,0.16,1.94,0.61,-0.10,-1.55,2.36,-1.99,0.61,0.98,1.07,0.05,0.31,-0.28,-0.10,-0.06,-0.10,-0.03,-0.03,0.00,0.67,0.67,0.67,0.67,0.67,0.67,1.25,1.65,2.23,-0.00,1.18,-0.07,10.68,-0.01,-0.02,0.27,-0.01,10.31,
frc3796,7.00,3.56,0.00,2.58,0.54,0.49,0.72,0.29,0.26,0.83,0.42,0.14,0.45,-0.20,0.00,0.00,2.39,-0.36,0.28,0.51,1.14,2.12,1.74,1.10,1.36,1.65,0.70,0.02,0.21,0.62,-0.07,-0.05,0.08,0.07,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.65,0.95,1.30,0.65,2.58,-0.03,3.28,-0.03,-0.02,-0.16,0.09,7.00,
frc7715,6.09,10.72,0.00,0.62,0.77,0.87,0.95,-0.14,-0.39,0.85,0.79,1.18,1.27,-0.10,0.00,0.00,1.67,-0.04,0.97,1.52,1.66,2.19,2.76,1.38,0.46,1.20,0.35,0.12,0.07,0.37,-0.13,-0.02,-0.04,-0.30,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.55,0.88,0.49,0.17,0.62,0.07,3.82,-0.10,0.01,0.03,-0.05,6.09,
frc2059,16.32,9.50,0.00,3.61,1.60,1.77,1.68,0.23,0.66,1.53,1.22,0.65,4.76,-0.46,0.00,0.00,2.94,2.81,1.71,-0.65,0.29,7.29,14.75,1.24,1.76,2.01,0.36,-0.36,0.20,-0.15,-0.27,0.02,-0.07,0.16,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.02,0.53,1.09,1.05,3.61,0.08,12.42,-0.08,0.01,0.25,-0.05,16.32,
frc6426,15.88,14.73,0.00,4.82,0.83,0.88,0.79,-0.19,0.75,0.39,1.21,0.83,2.90,-0.17,0.00,0.00,0.90,1.57,1.53,1.06,3.14,4.10,4.36,1.77,0.60,1.88,0.93,0.61,0.14,0.13,-0.21,0.39,-0.05,0.59,-0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.06,1.08,2.05,0.56,4.82,0.15,7.93,0.13,-0.01,-0.09,-0.01,15.88,
frc7763,13.43,9.33,0.00,2.52,0.32,0.34,0.47,0.51,1.06,1.33,1.11,0.57,2.34,0.12,0.00,0.00,0.45,0.77,0.71,0.31,4.20,2.02,-0.66,1.74,1.10,1.34,2.34,-0.31,0.16,-0.25,0.29,-0.13,0.13,-0.05,0.12,0.67,0.67,0.67,0.67,0.67,0.67,2.25,0.76,0.83,0.56,2.52,0.05,6.70,-0.02,-0.03,-0.09,0.28,13.43,
frc5511,23.92,13.01,0.00,2.55,0.67,0.59,0.40,3.05,2.38,1.37,1.44,1.47,4.70,-0.14,0.00,0.00,2.93,3.04,3.95,-0.43,1.19,10.09,22.78,1.71,1.62,1.97,5.39,0.79,0.68,0.50,0.97,-0.04,-0.02,0.22,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.45,0.61,0.36,1.55,2.55,-0.08,20.17,-0.02,-0.03,0.15,-0.00,23.92,
frc6332,4.41,12.94,0.00,0.57,1.00,1.28,1.23,0.17,-0.72,0.55,0.12,0.13,0.37,-0.39,0.00,0.00,1.68,0.36,0.72,1.02,0.42,2.41,-0.53,0.16,1.71,1.35,0.65,0.02,0.35,0.28,0.25,0.12,-0.05,-0.04,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,0.73,1.53,0.68,-0.04,0.57,0.07,3.43,0.14,-0.03,-0.07,-0.01,4.41,
frc435,8.77,18.12,0.00,2.74,0.94,1.37,1.72,0.84,0.18,1.81,1.46,1.03,4.60,0.40,0.00,0.00,0.84,0.12,0.45,1.92,-1.13,1.52,-0.09,1.56,1.29,1.75,1.05,0.31,-0.00,0.02,0.58,0.02,-0.02,-0.34,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.94,1.13,1.25,-0.22,2.74,-0.06,7.16,0.12,-0.03,-0.17,-0.07,8.77,
frc6500,12.51,10.85,0.00,3.16,1.45,2.35,2.17,-0.04,0.92,1.81,1.93,2.18,8.94,0.08,0.00,0.00,-0.63,2.10,0.40,0.65,-1.30,1.78,-1.41,1.23,2.24,1.78,-0.06,-0.51,-0.05,-0.13,-0.07,-0.10,0.01,0.50,0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.35,1.22,1.17,0.55,3.16,-0.04,10.66,0.36,-0.00,0.31,-0.01,12.51,
