MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019ndgf_qm1,blue,frc2239,frc4239,frc4506,42,31,0,12,2,5,5,2,2,5,2,0,9,0,0,0,3,0,12,6,0,15,30,5,5,5,6,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,1,30,0,0,0,0,42
2019ndgf_qm1,red,frc3839,frc4646,frc2169,31,42,0,0,2,2,0,0,0,2,2,2,0,0,0,0,0,0,3,0,28,3,0,0,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,0,0,3,0,0,0,0,31
2019ndgf_qm10,blue,frc4239,frc6175,frc2077,60,52,0,15,2,2,2,0,0,5,5,5,18,0,0,0,3,12,0,0,0,15,30,5,5,5,12,0,5,0,2,0,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,45,0,2,0,2,60
2019ndgf_qm10,red,frc2883,frc3292,frc3036,52,60,0,15,5,5,5,5,0,5,2,5,18,0,0,0,12,3,0,0,0,15,30,5,5,5,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,37,0,0,0,0,52
2019ndgf_qm11,blue,frc2500,frc3750,frc141,58,67,0,12,2,5,5,0,2,5,5,5,18,0,0,0,3,12,3,0,0,18,30,5,5,5,10,2,0,2,0,5,0,2,0,2,2,2,2,2,2,6,3,3,1,12,0,46,0,0,0,0,58
2019ndgf_qm11,red,frc7532,frc2512,frc876,67,58,0,15,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,0,18,30,5,5,5,10,0,2,2,0,0,2,0,0,2,2,2,2,2,2,3,6,6,3,15,0,52,0,0,0,0,67
2019ndgf_qm12,blue,frc3300,frc3278,frc4009,46,40,0,6,5,5,5,5,0,5,5,5,21,0,0,0,3,0,12,0,0,15,30,5,3,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,6,0,40,0,0,0,0,46
2019ndgf_qm12,red,frc3026,frc3313,frc6709,40,46,0,12,5,5,5,0,0,5,5,2,15,0,0,0,3,6,0,0,0,9,0,5,5,5,4,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,28,0,2,0,0,40
2019ndgf_qm13,blue,frc3293,frc7529,frc5658,59,35,0,12,5,5,5,0,5,5,5,5,21,0,0,0,12,0,6,1,0,18,30,5,5,5,8,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,47,0,0,0,0,59
2019ndgf_qm13,red,frc2239,frc7048,frc4229,35,59,0,12,2,2,2,2,2,5,2,2,3,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,0,2,0,0,2,0,0,2,2,2,2,2,2,3,6,3,0,12,0,20,0,0,0,0,35
