Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc2239,7.35,18.13,0.00,3.80,1.10,0.46,0.69,0.78,1.48,1.04,0.39,0.54,0.78,-1.59,-0.61,-0.56,-0.12,-0.90,1.95,0.87,-1.41,1.27,-4.27,2.04,1.57,1.80,2.92,0.23,-0.08,-0.18,0.02,-0.33,0.33,-0.34,0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.45,0.93,0.88,-0.35,3.80,0.07,4.97,-0.05,-0.00,-0.16,-0.04,7.35,
frc4239,19.64,22.29,0.00,6.44,1.15,2.08,1.76,1.09,0.22,1.16,1.09,0.83,6.20,-0.22,0.09,-0.24,1.05,3.56,-0.03,0.98,0.50,4.49,9.03,1.71,1.67,1.73,1.99,-0.67,1.24,0.79,1.23,-0.21,0.24,-0.17,0.22,0.67,0.67,0.67,0.67,0.67,0.67,2.60,1.81,1.59,0.53,6.44,0.21,12.69,-0.11,0.05,-0.10,0.10,19.64,
frc4506,19.24,17.85,0.00,2.68,0.81,1.44,0.77,1.06,0.88,1.58,1.73,1.16,3.64,-1.11,-0.31,-0.34,2.83,3.34,3.81,0.43,1.92,10.11,21.29,1.66,1.84,1.44,0.90,0.75,-0.59,0.32,-0.44,0.24,-0.31,-0.00,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.33,1.44,2.68,0.09,14.65,0.04,-0.20,-0.07,-0.18,19.24,
frc3839,14.91,21.83,0.00,4.60,1.45,0.86,0.97,-0.51,0.44,1.51,0.99,1.46,5.27,-0.65,-0.35,0.16,1.22,0.33,1.12,-0.03,1.94,2.87,1.90,1.48,1.80,1.20,0.22,0.58,0.34,0.16,0.42,0.08,-0.06,-0.12,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.97,2.12,1.70,0.16,4.60,-0.03,8.36,0.09,-0.09,0.12,-0.07,14.91,
frc4646,4.56,11.61,0.00,2.68,0.83,1.05,0.43,-0.68,-1.19,0.22,1.01,0.65,-1.80,-0.84,0.40,-0.82,0.74,1.58,-0.46,-0.44,2.54,1.83,0.70,0.42,1.06,1.54,-0.69,0.19,-0.37,-0.06,0.30,-0.16,-0.26,-0.02,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.96,1.19,-0.06,2.68,-0.02,-0.66,0.06,-0.31,0.09,-0.29,4.56,
frc2169,9.28,7.78,0.00,1.90,0.95,1.81,1.37,0.91,0.36,0.37,0.29,0.34,1.31,-0.30,-0.14,-0.33,1.06,1.14,2.20,-0.08,2.73,3.13,2.96,0.71,1.27,1.56,0.21,-0.24,-0.50,-0.18,-0.48,-0.14,-0.23,-0.05,-0.56,0.67,0.67,0.67,0.67,0.67,0.67,0.11,1.37,1.82,0.34,1.90,0.08,4.65,-0.16,0.30,-0.01,0.32,9.28,
frc6175,16.05,20.05,0.00,4.48,0.32,1.15,0.62,-1.78,-0.80,1.51,1.76,1.21,3.94,2.59,0.15,2.52,3.49,3.18,-1.91,-0.33,1.49,4.79,10.95,1.68,1.52,1.79,1.36,0.29,0.83,-0.07,1.41,-0.15,0.68,-0.20,1.30,0.67,0.67,0.67,0.67,0.67,0.67,0.82,1.93,1.57,0.86,4.48,-0.05,10.09,-0.03,0.56,-0.04,0.81,16.05,
frc2077,16.46,13.86,0.00,3.84,1.34,-0.22,0.79,-0.11,0.79,1.38,1.31,1.67,6.71,-1.19,-0.06,-0.47,1.34,0.07,-0.57,0.18,0.39,1.12,-1.91,1.87,1.58,1.54,4.39,0.07,1.12,0.00,0.72,0.42,1.50,0.44,1.87,0.67,0.67,0.67,0.67,0.67,0.67,1.99,1.74,0.86,0.18,3.84,-0.05,12.22,-0.08,0.87,0.04,0.41,16.46,
frc2883,29.26,28.55,0.00,6.08,2.23,1.95,2.09,0.69,1.19,1.94,1.59,2.00,9.20,-0.71,-0.79,0.51,1.47,2.28,4.64,1.44,0.77,8.65,15.89,2.08,1.92,1.81,4.56,0.11,0.83,0.77,0.83,0.35,0.10,0.20,0.63,0.67,0.67,0.67,0.67,0.67,0.67,2.15,1.10,1.96,0.97,6.08,0.07,22.41,0.15,0.12,-0.04,0.04,29.26,
frc3292,9.67,13.12,0.00,3.39,1.24,1.56,1.74,1.23,0.14,1.11,0.59,0.96,3.80,1.66,2.98,-0.88,2.10,0.37,-0.84,-0.25,0.74,1.65,4.33,1.76,1.11,1.58,0.10,0.20,0.07,0.12,-0.46,-0.07,-0.54,0.09,-0.55,0.67,0.67,0.67,0.67,0.67,0.67,0.95,0.38,2.20,0.42,3.39,0.08,5.55,0.38,-0.32,0.21,-0.28,9.67,
frc3036,8.83,18.13,0.00,4.92,0.87,0.34,1.42,-0.20,-0.75,1.67,1.26,1.47,2.29,-0.40,-0.03,-0.01,2.54,-0.18,-1.13,0.33,-0.11,1.10,-3.08,1.58,1.95,1.55,0.63,0.11,-0.14,0.45,0.20,0.06,0.03,-0.04,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.38,2.11,1.84,-0.40,4.92,-0.04,4.01,0.01,0.07,0.11,0.03,8.83,
frc2500,25.87,21.83,0.00,5.90,0.66,1.51,1.67,1.48,1.81,1.38,1.57,1.52,6.57,-0.27,-0.12,-0.02,2.38,0.27,1.59,-0.16,2.37,4.60,4.78,1.89,1.76,1.78,6.43,1.29,0.89,1.91,0.81,0.39,-0.26,0.13,0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.86,2.20,1.59,0.33,5.90,0.04,17.60,-0.06,-0.16,-0.02,-0.24,25.87,
frc3750,28.64,8.31,0.00,4.00,1.17,1.04,1.51,1.02,2.29,1.84,1.76,1.54,10.46,2.29,-0.56,2.83,3.46,2.97,3.03,0.22,-1.18,9.52,15.02,1.70,1.40,1.75,5.85,0.92,0.88,0.14,0.47,0.68,1.48,0.52,1.17,0.67,0.67,0.67,0.67,0.67,0.67,1.69,0.32,1.59,1.27,4.00,0.05,25.83,0.05,1.15,0.36,0.94,28.64,
frc141,6.52,20.22,0.00,1.24,0.60,1.84,1.01,0.94,-0.73,0.87,1.51,0.81,1.48,-1.75,-0.38,-0.98,-0.20,0.94,1.01,-0.09,2.24,1.58,1.21,0.87,1.59,1.27,-0.03,-0.02,-0.12,-0.12,-0.11,0.55,-0.29,0.09,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.88,0.95,0.63,-0.06,1.24,-0.03,3.03,0.33,-0.27,0.04,-0.18,6.52,
