MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019necmp_qm1,blue,frc4761,frc88,frc2523,71,90,0,9,5,2,2,5,5,5,5,5,27,0,0,0,3,12,3,0,3,18,30,3,5,5,14,0,5,0,5,0,0,0,5,2,2,2,2,2,2,6,3,6,1,9,0,59,0,2,0,2,71
2019necmp_qm1,red,frc3236,frc2370,frc558,90,71,0,15,5,5,5,5,5,0,5,5,33,0,0,0,3,12,3,1,0,18,30,5,5,5,24,2,5,2,5,2,5,2,5,2,2,2,2,2,2,6,3,6,3,15,0,75,0,0,2,2,90
2019necmp_qm10,blue,frc4041,frc1153,frc2067,79,91,0,15,5,5,5,5,5,5,5,5,30,0,0,0,0,6,12,1,0,18,30,5,5,5,16,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,64,2,0,0,0,79
2019necmp_qm10,red,frc3555,frc1058,frc3467,91,79,0,15,2,5,5,5,5,5,0,5,33,0,0,0,6,6,12,0,3,24,30,5,5,5,16,5,5,5,5,2,0,5,0,2,2,2,2,2,2,6,3,6,3,15,0,73,0,0,0,0,91
2019necmp_qm100,blue,frc558,frc4311,frc7416,64,71,0,15,2,5,5,2,5,5,5,5,18,30,0,0,3,6,3,1,3,12,0,5,5,5,16,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,46,0,0,0,0,64
2019necmp_qm100,red,frc178,frc58,frc4909,71,64,0,15,5,5,5,5,0,5,5,5,24,0,0,0,12,6,3,1,3,21,30,5,5,5,8,2,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,53,0,0,0,0,71
2019necmp_qm101,blue,frc166,frc2168,frc7438,110,78,0,15,5,5,5,5,0,0,5,2,42,30,0,30,3,12,6,0,12,21,30,5,5,5,20,5,5,5,5,0,5,5,5,2,2,2,2,2,2,6,6,3,4,15,0,83,0,5,0,5,110
2019necmp_qm101,red,frc238,frc6691,frc3654,78,110,0,12,5,5,5,5,5,5,5,5,39,0,0,0,3,0,6,4,0,9,0,5,5,5,18,5,5,5,2,0,5,2,5,2,2,2,2,2,2,3,3,6,0,12,0,66,0,0,0,0,78
2019necmp_qm102,blue,frc1071,frc6329,frc2877,65,58,0,12,2,5,5,5,0,5,2,2,27,0,0,0,3,3,0,1,0,6,0,5,5,5,20,5,5,5,5,5,2,2,0,2,2,2,2,2,2,6,3,3,2,12,0,53,2,2,0,0,65
2019necmp_qm102,red,frc319,frc1721,frc1922,58,65,0,12,5,5,5,0,0,0,5,5,15,0,0,0,12,0,6,0,3,18,30,5,5,5,10,0,2,2,2,0,2,2,0,2,2,2,2,2,2,3,3,6,1,12,0,43,0,0,0,0,58
2019necmp_qm103,blue,frc237,frc1073,frc7869,75,106,0,15,5,5,5,5,0,5,5,5,27,0,0,0,6,12,3,0,0,21,30,5,5,5,12,5,0,5,0,0,0,2,0,2,2,2,2,2,2,3,6,6,1,15,0,60,2,0,2,0,75
2019necmp_qm103,red,frc195,frc509,frc88,106,75,0,15,5,5,5,5,2,5,5,5,51,30,0,30,3,3,6,0,0,12,0,5,5,5,28,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,6,6,3,15,0,91,2,5,2,5,106
2019necmp_qm104,blue,frc2523,frc4041,frc3236,53,78,0,12,2,5,0,5,0,2,5,2,9,0,0,0,6,12,6,0,0,24,30,5,5,5,8,2,0,0,0,0,0,2,0,2,2,2,2,2,2,3,3,6,1,12,0,41,0,0,0,2,53
2019necmp_qm104,red,frc69,frc7127,frc78,78,53,0,12,5,5,5,0,5,5,5,5,33,0,0,0,6,3,12,0,0,21,30,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,3,12,0,66,0,2,0,0,78
2019necmp_qm105,blue,frc1474,frc1519,frc3146,79,89,0,15,5,5,5,5,5,5,0,2,24,0,0,0,6,12,3,0,3,21,30,5,5,5,16,2,5,0,5,2,0,0,2,2,2,2,2,2,2,3,6,6,1,15,0,61,0,0,0,0,79
2019necmp_qm105,red,frc125,frc5962,frc1153,89,79,0,15,2,5,2,0,5,5,5,5,30,0,0,0,12,6,12,1,0,30,30,5,5,5,14,0,2,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,3,15,0,74,0,5,0,5,89
2019necmp_qm106,blue,frc133,frc501,frc176,71,70,0,15,2,2,2,5,0,5,2,2,21,0,0,0,12,3,0,0,0,15,30,5,5,5,20,5,2,5,2,5,0,5,0,2,2,2,2,2,2,6,6,3,3,15,0,56,2,0,5,0,71
2019necmp_qm106,red,frc7407,frc1277,frc4905,70,71,0,12,2,5,5,5,5,5,5,5,27,0,0,0,6,3,12,0,0,21,30,5,5,5,10,2,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,58,0,0,0,0,70
