MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019new_qm1,blue,frc6429,frc6068,frc3598,57,72,0,15,5,5,5,5,5,2,2,2,15,0,0,0,3,6,6,1,0,15,30,5,5,5,12,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,6,6,1,15,0,42,0,0,0,0,57
2019new_qm1,red,frc6348,frc253,frc973,72,57,0,15,5,5,5,5,5,5,5,2,24,0,0,0,3,3,12,0,3,18,30,5,5,5,12,5,0,2,2,2,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,54,0,0,0,0,72
2019new_qm10,blue,frc846,frc7042,frc4504,93,86,0,12,5,5,5,5,5,5,2,5,33,0,0,0,12,6,3,1,13,21,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,6,3,12,0,68,0,0,0,0,93
2019new_qm10,red,frc2073,frc1983,frc3374,86,93,0,12,2,2,5,0,5,5,2,2,30,0,0,0,0,12,3,1,3,15,30,5,5,5,26,5,5,5,5,2,5,2,5,2,2,2,2,2,2,3,6,3,1,12,1,71,2,5,2,2,86
2019new_qm100,blue,frc2659,frc5109,frc7521,68,66,0,15,5,5,5,5,0,5,2,5,24,0,0,0,3,12,6,0,0,21,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,53,0,0,0,0,68
2019new_qm100,red,frc604,frc5499,frc6652,66,68,0,12,5,5,5,5,2,5,5,5,27,0,0,0,12,0,3,0,0,15,30,5,5,5,12,0,5,0,2,0,0,5,0,2,2,2,2,2,2,6,3,3,1,12,0,54,0,0,0,0,66
2019new_qm101,blue,frc2910,frc5052,frc180,102,33,0,15,5,5,0,5,5,5,5,5,30,0,0,0,12,6,6,0,15,24,30,5,5,5,18,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,72,0,0,0,5,102
2019new_qm101,red,frc1706,frc7583,frc1983,33,102,0,9,2,2,2,0,2,2,2,2,0,0,0,0,3,3,12,5,0,18,30,5,5,3,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,9,0,24,0,0,0,0,33
2019new_qm102,blue,frc3245,frc1806,frc7667,73,65,0,15,5,5,5,5,5,5,5,5,30,0,0,0,6,3,6,0,3,15,30,5,5,5,10,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,55,0,0,0,0,73
2019new_qm102,red,frc6068,frc233,frc7514,65,73,0,15,5,5,5,0,5,5,5,5,27,0,0,0,3,6,6,1,0,15,30,5,5,5,8,0,5,2,5,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,50,0,0,0,0,65
