MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nhdur_qm1,blue,frc4958,frc319,frc6691,45,49,0,12,2,5,5,0,0,5,2,2,18,0,0,0,0,3,0,0,0,3,0,5,5,0,12,5,0,5,0,2,0,5,0,2,2,2,2,2,2,6,6,3,0,12,0,33,2,0,2,0,45
2019nhdur_qm1,red,frc7133,frc1058,frc6367,49,45,0,9,5,5,5,0,0,2,2,5,12,0,0,0,3,12,3,0,0,18,30,5,5,5,10,2,0,2,0,2,0,2,0,2,2,2,2,2,2,3,3,3,3,9,0,40,0,0,2,0,49
2019nhdur_qm10,blue,frc7314,frc5962,frc151,38,48,0,15,2,0,0,2,2,2,5,2,3,0,0,0,0,6,6,0,0,12,0,5,5,5,8,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,23,0,0,0,0,38
2019nhdur_qm10,red,frc4958,frc1757,frc7674,48,38,0,9,5,5,5,5,5,5,2,2,21,0,0,0,6,3,3,0,0,12,0,5,5,3,6,0,5,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,39,0,0,0,0,48
2019nhdur_qm11,blue,frc166,frc3451,frc69,56,38,0,15,2,0,2,5,2,2,2,2,3,0,0,0,3,3,12,0,0,18,30,5,5,5,20,0,0,2,2,2,0,2,2,2,2,2,2,2,2,6,3,6,3,15,0,41,2,0,2,0,56
2019nhdur_qm11,red,frc1831,frc6691,frc1058,38,56,0,9,2,2,2,2,2,5,2,2,6,0,0,0,0,3,6,0,0,9,0,5,5,5,14,5,2,2,2,0,2,0,0,2,2,2,2,2,2,3,3,3,0,9,0,29,0,0,0,0,38
2019nhdur_qm12,blue,frc501,frc6895,frc4546,34,67,0,15,2,0,0,0,0,2,2,2,0,0,0,0,12,3,0,0,0,15,30,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,19,0,0,2,0,34
2019nhdur_qm12,red,frc1922,frc885,frc509,67,34,0,15,2,5,2,5,5,5,5,5,18,0,0,0,12,3,3,0,0,18,30,5,5,5,16,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,52,0,0,0,0,67
2019nhdur_qm13,blue,frc238,frc7126,frc6367,50,20,0,6,5,5,5,5,5,5,2,5,27,0,0,0,6,0,3,0,0,9,0,5,3,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,3,2,6,0,44,0,0,0,0,50
2019nhdur_qm13,red,frc811,frc6172,frc1740,20,50,0,6,5,5,5,0,0,0,0,0,9,0,0,0,3,0,6,0,0,3,0,5,5,0,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,14,0,0,0,0,20
2019nhdur_qm14,blue,frc1350,frc7314,frc3597,24,36,0,9,2,2,5,0,0,5,5,5,12,0,0,0,3,0,0,0,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,15,0,0,0,0,24
2019nhdur_qm14,red,frc5902,frc7133,frc2342,36,24,0,12,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,0,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,24,0,0,0,0,36
2019nhdur_qm15,blue,frc1058,frc6895,frc7907,29,51,0,6,0,0,0,0,0,5,5,2,6,0,0,0,6,0,3,0,0,9,0,5,0,5,8,2,0,2,2,2,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,23,0,0,0,0,29
2019nhdur_qm15,red,frc1922,frc6691,frc5962,51,29,0,15,2,2,2,2,2,5,5,2,6,0,0,0,3,3,6,0,0,12,0,5,5,5,18,0,2,2,2,0,2,0,0,2,2,2,2,2,2,6,3,6,2,15,0,36,0,0,0,0,51
2019nhdur_qm16,blue,frc166,frc1512,frc4034,55,19,0,9,0,0,2,2,5,2,2,2,3,0,0,0,3,0,3,0,15,6,0,5,0,5,22,2,2,2,2,2,0,2,0,2,2,2,2,2,2,6,6,3,2,9,0,31,2,0,2,0,55
2019nhdur_qm16,red,frc4546,frc7212,frc7416,19,55,0,12,2,2,2,0,2,2,2,2,0,0,0,0,3,0,0,5,0,3,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,7,0,0,0,0,19
2019nhdur_qm17,blue,frc509,frc4958,frc3451,56,72,0,15,2,2,2,0,5,0,5,2,12,0,0,0,12,6,3,0,0,21,30,5,5,5,8,5,0,5,2,0,0,0,0,2,2,2,2,2,2,6,6,3,1,15,0,41,0,0,0,0,56
2019nhdur_qm17,red,frc1073,frc1517,frc69,72,56,0,15,2,2,5,5,2,5,2,2,12,0,0,0,6,3,12,0,0,21,30,5,5,5,24,2,2,2,5,2,0,2,0,2,2,2,2,2,2,6,3,6,3,15,0,57,0,0,0,0,72
2019nhdur_qm18,blue,frc6933,frc6324,frc1740,49,55,0,15,2,2,5,5,5,5,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,10,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,34,0,0,0,0,49
2019nhdur_qm18,red,frc7126,frc1350,frc501,55,49,0,15,0,0,0,0,0,5,5,5,15,0,0,0,3,6,12,0,0,21,30,5,5,5,4,5,5,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,0,40,0,0,0,0,55
2019nhdur_qm19,blue,frc885,frc1831,frc151,45,92,0,15,0,0,5,5,5,2,2,2,9,0,0,0,3,0,6,6,0,9,0,5,5,5,12,2,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,30,0,0,0,0,45
2019nhdur_qm19,red,frc238,frc319,frc6172,92,45,0,9,2,5,2,5,0,5,5,5,33,30,0,30,3,12,3,0,18,18,30,5,5,5,14,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,3,3,4,9,0,65,0,5,0,5,92
2019nhdur_qm2,blue,frc3597,frc1517,frc509,59,44,0,12,2,2,5,0,2,5,5,5,18,0,0,0,3,12,6,0,0,21,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,47,0,0,0,0,59
2019nhdur_qm2,red,frc7674,frc6933,frc238,44,59,0,6,2,2,5,2,5,5,5,5,21,0,0,0,3,0,6,0,0,9,0,3,5,3,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,0,6,0,38,0,0,0,0,44
2019nhdur_qm20,blue,frc6367,frc1757,frc811,14,63,0,9,0,0,2,0,0,2,2,2,0,0,0,0,0,3,0,1,0,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,5,0,0,0,0,14
2019nhdur_qm20,red,frc7674,frc2370,frc5902,63,14,0,15,5,5,5,0,5,5,5,2,18,0,0,0,3,12,6,0,3,21,30,5,5,5,6,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,45,0,0,0,0,63
2019nhdur_qm21,blue,frc6933,frc4034,frc6895,22,63,0,15,0,0,2,2,0,2,2,2,0,0,0,0,0,3,0,0,0,3,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,7,0,0,0,0,22
2019nhdur_qm21,red,frc69,frc1740,frc4958,63,22,0,15,2,2,0,5,0,0,5,5,15,0,0,0,12,3,6,0,0,21,30,5,5,5,12,5,2,5,2,0,2,0,0,2,2,2,2,2,2,6,6,3,3,15,0,48,0,0,0,0,63
2019nhdur_qm22,blue,frc2342,frc885,frc1512,36,58,0,9,5,5,5,2,0,2,2,5,12,0,0,0,3,3,3,0,0,9,0,5,5,3,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,27,0,0,0,0,36
2019nhdur_qm22,red,frc238,frc1831,frc1922,58,36,0,12,2,5,5,2,2,2,0,0,12,0,0,0,3,3,12,0,0,18,30,5,5,5,16,0,2,2,2,0,5,0,5,2,2,2,2,2,2,3,3,6,3,12,0,46,0,0,0,0,58
2019nhdur_qm23,blue,frc4546,frc5962,frc319,64,53,0,12,5,5,5,2,0,5,2,2,18,0,0,0,0,6,12,0,10,18,30,5,5,5,6,0,5,0,5,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,42,0,0,0,0,64
2019nhdur_qm23,red,frc2370,frc7314,frc7126,53,64,0,12,5,5,5,5,0,5,5,5,21,0,0,0,12,3,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,1,41,0,0,0,0,53
2019nhdur_qm24,blue,frc7907,frc6172,frc166,38,52,0,15,0,0,2,2,5,0,2,0,3,0,0,0,3,3,3,0,3,9,0,5,5,5,8,2,0,0,0,2,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,20,0,0,0,0,38
2019nhdur_qm24,red,frc3451,frc7416,frc1757,52,38,0,9,5,5,5,5,2,2,2,2,12,0,0,0,6,12,3,1,0,21,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,43,0,0,0,0,52
2019nhdur_qm25,blue,frc151,frc1517,frc811,49,36,0,12,2,2,2,5,5,2,2,0,6,0,0,0,6,0,3,0,0,9,0,5,5,5,22,2,2,0,0,0,2,0,0,2,2,2,2,2,2,6,3,3,2,12,0,37,0,2,0,0,49
2019nhdur_qm25,red,frc1073,frc1350,frc1058,36,49,0,12,2,0,2,5,0,5,5,5,12,0,0,0,6,0,0,0,0,6,0,5,5,0,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,0,0,12,0,24,0,0,0,0,36
2019nhdur_qm26,blue,frc3597,frc6691,frc501,61,33,0,12,5,5,5,5,5,5,5,5,27,0,0,0,3,3,3,0,3,9,0,5,5,5,10,2,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,46,0,0,0,0,61
2019nhdur_qm26,red,frc7674,frc6367,frc7212,33,61,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,0,1,0,6,0,5,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,24,0,0,0,0,33
2019nhdur_qm27,blue,frc7133,frc509,frc1831,50,22,0,12,2,5,5,0,5,5,5,5,18,0,0,0,3,12,3,0,0,18,30,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,38,0,0,0,0,50
2019nhdur_qm27,red,frc5902,frc3451,frc6324,22,50,0,6,2,5,5,2,2,2,2,2,6,0,0,0,0,0,6,0,0,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,6,0,16,0,0,0,0,22
2019nhdur_qm28,blue,frc6895,frc1512,frc238,52,35,0,15,5,5,5,5,5,0,2,2,21,0,0,0,0,3,3,0,0,6,0,5,5,5,10,0,0,0,2,0,5,0,5,2,2,2,2,2,2,6,6,3,2,15,0,37,0,0,0,0,52
2019nhdur_qm28,red,frc151,frc7907,frc1740,35,52,0,15,0,0,0,5,5,2,2,2,6,0,0,0,3,0,3,0,0,6,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,20,0,0,0,0,35
2019nhdur_qm29,blue,frc7212,frc4958,frc166,44,58,0,15,5,5,5,0,5,5,2,2,15,0,0,0,3,3,3,4,3,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,26,0,0,0,0,44
2019nhdur_qm29,red,frc6367,frc2342,frc1922,58,44,0,12,5,5,5,0,5,0,0,0,12,0,0,0,3,3,12,1,12,18,30,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,34,0,0,0,0,58
2019nhdur_qm3,blue,frc3451,frc811,frc2342,36,59,0,9,2,2,5,0,0,5,5,2,9,0,0,0,6,3,3,0,0,12,0,5,5,5,6,2,0,2,0,2,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019nhdur_qm3,red,frc151,frc501,frc6324,59,36,0,15,2,5,0,5,5,2,2,2,15,0,0,0,6,12,3,0,0,21,30,5,5,5,8,0,5,0,5,0,0,0,0,2,2,2,2,2,2,6,6,3,3,15,0,44,0,0,0,0,59
2019nhdur_qm30,blue,frc501,frc69,frc5962,67,48,0,12,5,5,0,5,5,5,5,5,21,0,0,0,6,12,6,1,0,24,30,5,5,5,10,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,3,12,0,55,0,0,0,0,67
2019nhdur_qm30,red,frc6324,frc1073,frc4546,48,67,0,12,2,2,5,5,2,5,2,2,9,0,0,0,3,12,3,0,3,18,30,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,1,12,0,33,0,0,0,0,48
2019nhdur_qm31,blue,frc1058,frc7314,frc6933,49,61,0,15,5,5,0,0,0,2,2,2,12,0,0,0,12,3,3,0,0,18,30,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,0,34,0,0,0,0,49
2019nhdur_qm31,red,frc509,frc4034,frc2370,61,49,0,12,5,5,0,5,5,5,5,5,21,0,0,0,6,0,12,0,0,18,30,5,5,5,10,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,49,0,0,0,0,61
2019nhdur_qm32,blue,frc1350,frc7416,frc5902,55,36,0,15,2,5,5,5,5,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,10,2,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,40,0,0,0,0,55
2019nhdur_qm32,red,frc1757,frc7126,frc6691,36,55,0,9,2,2,0,5,5,2,2,2,6,0,0,0,3,3,3,0,0,9,0,5,5,5,12,0,2,2,2,0,0,2,0,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019nhdur_qm33,blue,frc811,frc7674,frc7133,42,63,0,12,5,5,5,0,5,5,5,5,21,0,0,0,0,3,0,0,0,3,0,5,5,5,6,2,0,0,0,2,0,0,0,2,2,2,2,2,2,3,6,3,0,12,1,30,0,0,0,0,42
2019nhdur_qm33,red,frc885,frc3597,frc6172,63,42,0,12,2,5,2,5,5,5,5,5,18,0,0,0,3,3,3,0,10,9,0,5,5,5,14,0,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,41,0,0,0,0,63
2019nhdur_qm34,blue,frc1517,frc2370,frc6367,59,74,0,9,5,2,5,5,5,5,5,2,24,0,0,0,3,12,3,0,0,18,30,5,5,5,8,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,1,9,0,50,0,0,0,0,59
2019nhdur_qm34,red,frc319,frc7314,frc69,74,59,0,15,2,2,2,0,5,2,2,2,21,30,0,30,3,3,12,0,0,18,30,5,5,5,20,0,5,2,5,2,5,2,5,2,2,2,2,2,2,3,6,6,4,15,0,59,0,5,0,5,74
2019nhdur_qm35,blue,frc6691,frc151,frc1073,69,23,0,15,2,2,2,5,5,2,2,0,6,0,0,0,3,6,12,0,3,21,30,5,5,5,24,2,2,0,2,2,0,2,0,2,2,2,2,2,2,3,6,6,3,15,0,51,0,0,0,0,69
2019nhdur_qm35,red,frc7126,frc4546,frc2342,23,69,0,9,2,2,2,0,2,5,2,2,3,0,0,0,3,3,3,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,14,0,0,0,0,23
