Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc4958,21.39,16.69,0.00,4.99,1.96,1.81,1.44,1.75,1.76,1.83,2.10,1.19,9.34,-0.55,-0.16,-0.40,1.77,0.55,1.46,0.32,0.68,3.86,-0.89,1.60,1.85,1.25,2.53,1.69,-0.01,1.42,-0.22,0.02,-0.08,0.23,-0.39,0.67,0.67,0.67,0.67,0.67,0.67,2.39,2.07,1.74,0.03,4.99,0.00,15.72,0.05,0.01,0.04,-0.12,21.39,
frc319,33.27,15.88,0.00,3.81,1.42,2.28,1.89,1.12,0.90,1.54,1.41,1.40,15.91,7.41,2.42,4.98,-0.93,2.36,2.68,-0.13,2.75,4.23,7.32,1.67,1.86,1.52,6.57,0.91,2.21,0.94,2.39,0.86,1.73,1.11,2.27,0.67,0.67,0.67,0.67,0.67,0.67,0.65,1.99,1.09,1.24,3.81,-0.05,26.71,0.62,1.29,0.62,1.17,33.27,
frc6691,14.60,14.03,0.00,3.33,0.51,0.70,0.90,1.49,2.14,1.38,0.70,0.76,4.40,-0.84,-0.22,-0.62,-0.03,0.13,0.68,0.09,-0.35,0.75,-2.65,1.77,1.55,1.27,6.47,1.19,1.11,1.49,0.34,0.31,0.13,0.61,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.06,1.17,1.43,0.07,3.33,-0.01,11.61,0.11,-0.18,0.13,-0.14,14.60,
frc7133,16.81,14.63,0.00,3.36,2.01,2.40,1.86,0.81,1.50,1.78,1.49,1.94,8.01,0.07,-0.03,0.10,0.02,1.92,-0.24,-0.24,2.52,1.79,-2.44,1.74,1.73,1.52,1.14,0.08,-0.34,-0.23,-0.04,0.42,-0.21,0.19,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,1.10,1.51,0.53,0.16,3.36,0.06,10.93,-0.02,-0.01,0.13,-0.02,16.81,
frc1058,15.86,16.43,0.00,2.18,0.65,0.41,-0.18,-0.00,-0.91,1.11,1.27,1.40,2.82,-0.71,-0.12,-0.59,2.58,2.15,1.18,-0.00,-0.57,5.91,5.77,1.41,1.36,1.45,5.52,1.86,0.60,1.36,0.83,1.17,0.81,0.45,0.46,0.67,0.67,0.67,0.67,0.67,0.67,0.99,0.95,0.27,0.47,2.18,0.08,14.25,0.24,0.04,0.22,0.06,15.86,
frc6367,17.15,16.68,0.00,2.89,2.09,1.64,2.40,0.32,0.92,1.58,1.08,1.47,8.92,-0.07,-0.14,0.07,0.46,2.53,1.54,0.26,0.51,4.56,6.74,1.87,1.59,1.53,0.26,0.56,0.58,1.13,0.55,-0.19,-0.24,-0.05,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.78,0.62,1.84,0.71,2.89,-0.05,13.75,-0.08,-0.06,0.11,-0.01,17.15,
frc7314,9.07,23.21,0.00,5.93,0.48,0.63,0.33,0.17,0.20,0.37,0.92,0.94,1.79,2.04,-0.45,2.48,1.77,-0.77,0.00,-0.06,-0.92,1.00,0.50,1.80,1.38,1.57,1.27,0.14,-0.04,0.78,0.25,-0.07,0.17,-0.02,0.18,0.67,0.67,0.67,0.67,0.67,0.67,1.81,1.60,2.35,-0.39,5.93,0.09,4.06,-0.16,0.34,-0.15,0.37,9.07,
frc5962,14.87,21.65,0.00,4.58,1.97,1.62,1.55,0.15,-0.23,1.71,2.30,1.37,4.40,-0.69,-0.12,-0.56,1.21,1.57,2.30,0.32,-0.27,5.10,-0.33,1.56,1.71,1.94,1.07,-0.14,0.11,-0.16,0.03,-0.35,0.42,-0.09,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.39,1.64,1.76,0.18,4.58,0.00,10.56,-0.08,0.03,-0.11,-0.10,14.87,
frc151,19.57,18.90,0.00,5.81,-0.22,-0.08,-0.44,2.62,2.32,-0.00,0.87,0.18,1.54,-0.65,-0.06,-0.59,2.55,0.64,2.20,0.61,0.27,5.45,2.54,1.72,1.68,1.83,6.50,0.27,1.06,-0.21,0.41,-0.00,-0.13,0.07,-0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.74,1.66,2.20,0.55,5.81,-0.05,13.49,-0.08,-0.01,-0.09,-0.15,19.57,
frc1757,8.26,14.09,0.00,2.29,0.21,0.26,0.07,0.61,0.71,1.09,0.43,0.74,0.48,-0.10,0.09,-0.19,1.10,2.71,1.55,-0.14,-0.53,5.40,8.85,1.82,1.76,1.31,0.63,-0.65,0.64,-0.47,0.01,0.27,-0.24,0.49,-0.08,0.67,0.67,0.67,0.67,0.67,0.67,0.97,0.39,1.15,0.57,2.29,-0.05,6.51,-0.00,-0.07,-0.01,-0.02,8.26,
frc7674,17.38,17.59,0.00,4.66,2.12,1.72,1.83,0.67,1.34,0.33,0.66,0.92,6.10,0.07,0.02,0.05,2.17,1.01,1.69,-0.10,0.35,4.94,3.14,1.68,1.81,1.12,1.32,0.80,0.14,0.48,-0.27,0.11,-0.08,-0.15,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,2.34,1.76,1.82,0.44,4.66,0.07,12.37,0.15,-0.05,0.13,-0.03,17.38,
frc166,22.50,11.41,0.00,6.21,1.01,0.81,1.28,1.83,2.14,1.13,0.65,0.60,5.02,-0.68,-0.15,-0.53,1.34,0.85,1.86,0.61,1.41,4.09,5.41,1.85,1.46,1.93,5.78,0.48,0.76,0.74,0.58,0.82,0.17,0.96,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,1.98,2.22,2.11,0.87,6.21,-0.02,14.89,0.42,-0.03,0.43,-0.13,22.50,
frc3451,11.58,19.39,0.00,2.84,0.21,0.13,1.04,1.57,0.21,-0.56,-0.00,0.40,0.67,1.91,2.41,-0.51,1.31,1.51,1.67,-0.26,-0.81,4.46,3.39,1.57,1.53,1.70,4.42,1.37,-0.57,1.83,-0.27,0.47,-0.27,0.24,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.81,0.82,0.58,-0.05,2.84,-0.00,9.55,0.53,-0.14,0.52,-0.13,11.58,
frc69,27.37,12.45,0.00,5.17,1.20,0.93,0.26,1.46,1.04,1.20,0.54,0.91,3.99,2.03,-0.19,2.21,3.55,2.45,4.33,-0.15,-0.32,10.32,18.33,1.42,1.85,1.42,8.21,0.97,1.36,0.68,1.45,0.55,0.77,0.33,0.84,0.67,0.67,0.67,0.67,0.67,0.67,2.30,0.98,1.85,1.86,5.17,-0.02,22.52,0.05,0.27,0.03,0.33,27.37,
frc1831,9.81,19.69,0.00,3.84,0.21,1.08,1.93,0.59,0.31,1.90,0.89,1.02,1.73,0.11,-0.14,0.25,-1.06,0.84,2.56,0.42,0.88,2.40,3.38,1.96,1.70,1.65,0.97,-0.13,-0.34,-0.42,0.23,-0.45,0.35,-0.06,0.38,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.35,1.89,0.17,3.84,-0.04,5.09,-0.10,0.00,-0.10,0.20,9.81,
frc501,24.98,10.71,0.00,5.50,1.47,1.71,0.50,0.54,0.62,1.67,1.20,1.66,8.38,-0.47,-0.15,-0.32,3.46,4.09,2.01,0.03,-0.52,9.55,17.89,1.59,1.78,1.91,2.08,1.54,0.64,0.54,0.53,0.35,0.08,-0.06,0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.27,2.22,1.71,1.54,5.50,0.00,20.00,0.23,0.06,0.37,-0.06,24.98,
frc6895,6.21,20.19,0.00,5.00,0.72,-0.31,0.41,1.04,0.21,-0.10,0.07,-0.39,-0.91,-0.66,-0.00,-0.66,0.24,0.15,0.32,-0.18,-0.92,0.69,-0.12,1.46,1.26,1.97,2.36,0.44,-0.77,0.60,-0.62,0.22,0.10,0.41,0.06,0.67,0.67,0.67,0.67,0.67,0.67,1.24,1.89,1.94,0.00,5.00,-0.01,2.13,0.09,-0.15,0.24,-0.14,6.21,
frc4546,3.01,23.72,0.00,2.69,0.64,0.08,0.17,-0.39,-0.60,0.62,0.37,1.00,-2.01,-0.54,-0.15,-0.40,0.36,2.21,0.55,0.69,1.17,3.10,5.93,1.33,1.71,1.03,-1.95,-0.16,-0.10,-0.21,-0.19,-0.21,-0.38,-0.34,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,0.81,1.56,0.70,0.01,2.69,0.15,-0.86,-0.04,-0.19,0.14,-0.11,3.01,
frc1922,27.38,15.34,0.00,5.50,-0.26,0.66,0.50,1.66,2.36,0.23,0.36,-0.16,0.57,-0.30,0.08,-0.38,2.16,2.46,5.59,-0.14,1.82,10.20,17.56,1.70,1.42,1.96,9.29,0.25,0.44,1.21,0.42,0.08,0.19,-0.29,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.78,1.09,2.39,1.52,5.50,0.06,20.07,-0.01,-0.15,-0.00,-0.14,27.38,
frc885,20.70,12.88,0.00,5.15,0.82,1.47,0.64,2.47,1.08,1.93,1.25,1.94,6.75,-0.85,-0.47,-0.38,1.33,0.28,1.08,0.71,-0.00,2.70,1.79,1.35,1.78,1.80,6.10,0.55,0.87,0.44,1.14,0.27,0.16,0.32,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.23,2.48,1.33,0.56,5.15,-0.02,15.55,-0.07,0.06,-0.08,0.08,20.70,
frc509,24.79,15.72,0.00,6.01,0.73,1.30,0.94,-0.01,2.52,1.70,2.44,1.96,8.43,-0.47,-0.40,-0.06,3.45,3.97,0.72,0.31,-0.70,8.14,14.02,1.74,1.66,1.77,2.92,-0.57,1.70,-0.27,1.27,-0.18,0.93,-0.17,0.80,0.67,0.67,0.67,0.67,0.67,0.67,1.81,2.16,1.81,1.39,6.01,-0.01,19.49,-0.17,0.26,-0.20,-0.05,24.79,
frc238,26.87,13.01,0.00,2.33,1.58,2.42,1.90,1.32,1.27,1.52,1.77,2.04,13.05,2.08,-0.21,2.29,2.03,1.79,1.20,0.03,1.18,5.07,6.31,1.11,1.70,1.53,5.24,1.05,0.95,0.87,0.95,0.96,1.39,1.05,1.00,0.67,0.67,0.67,0.67,0.67,0.67,1.11,1.08,0.75,1.14,2.33,0.15,23.36,0.10,0.35,-0.09,0.32,26.87,
frc7126,10.50,25.27,0.00,3.09,0.86,0.76,0.72,1.90,0.90,1.61,0.96,1.27,3.86,-0.33,0.09,-0.41,0.64,1.13,1.08,0.21,-0.85,2.90,-1.17,1.38,1.64,2.01,1.50,0.20,0.66,-0.42,0.57,-0.36,-0.02,-0.07,0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.44,1.88,0.62,-0.34,3.09,0.06,8.26,-0.05,0.13,-0.07,-0.03,10.50,
frc811,10.32,15.47,0.00,2.15,1.39,1.28,1.55,0.33,0.98,1.59,1.75,0.57,4.63,-0.89,-0.22,-0.67,0.63,0.74,-0.45,0.03,-1.03,0.44,-2.06,1.83,1.80,0.59,4.12,0.26,0.51,-0.20,0.05,0.29,0.39,-0.04,0.36,0.67,0.67,0.67,0.67,0.67,0.67,1.34,1.20,-0.02,0.03,2.15,0.24,9.19,-0.08,0.21,-0.10,0.20,10.32,
frc6172,16.29,18.96,0.00,4.00,1.30,1.42,1.66,0.93,0.98,0.36,0.92,0.71,5.03,2.38,0.02,2.36,0.89,1.62,2.57,-0.10,1.64,4.58,3.54,1.78,1.73,1.23,1.05,-0.53,0.34,-0.34,0.09,-0.13,0.15,-0.25,0.17,0.67,0.67,0.67,0.67,0.67,0.67,1.90,0.83,1.51,0.15,4.00,-0.02,10.66,-0.09,0.29,-0.09,0.33,16.29,
frc1740,14.07,21.29,0.00,4.97,0.67,0.45,1.10,0.98,0.53,0.36,1.14,1.44,4.46,-0.67,-0.20,-0.47,1.00,-0.00,1.53,0.07,-0.13,2.03,0.56,1.68,1.64,1.55,2.74,0.77,0.58,0.83,0.83,-0.22,0.24,-0.17,0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.97,2.48,1.77,-0.18,4.97,-0.01,9.23,-0.04,-0.02,-0.05,0.03,14.07,
frc1350,16.37,12.20,0.00,4.52,1.47,1.58,1.92,0.91,0.40,1.80,1.99,1.89,8.82,2.00,2.45,-0.45,1.69,0.72,0.76,-0.08,-0.45,3.16,-2.30,1.30,1.81,0.60,0.32,0.47,-0.02,0.16,-0.90,0.61,-0.24,0.69,-0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.99,1.33,1.87,0.46,4.52,-0.02,12.30,0.36,-0.17,0.37,-0.12,16.37,
frc3597,18.50,14.21,0.00,3.18,1.15,1.22,1.25,1.54,1.32,1.77,2.19,2.14,6.70,-0.37,-0.14,-0.22,-0.05,3.27,0.36,-0.09,2.00,3.63,3.51,1.71,1.72,1.48,2.99,0.11,1.17,0.32,1.08,-0.47,-0.15,-0.35,-0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.38,0.80,1.14,0.90,3.18,-0.03,13.32,-0.08,-0.08,-0.11,-0.05,18.50,
