Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc811,15.09,12.12,0.00,3.37,0.37,0.23,0.39,0.40,1.14,1.41,0.43,0.60,4.38,1.77,0.00,0.00,1.38,1.22,-0.66,-0.20,-0.68,2.08,0.13,1.18,1.95,2.16,5.94,0.70,0.49,1.52,1.16,0.55,0.37,0.32,0.58,0.67,0.67,0.67,0.67,0.67,0.67,0.64,1.07,1.49,0.33,3.37,0.05,12.40,0.15,0.31,0.21,0.34,15.09,
frc131,13.28,14.47,0.00,3.02,1.10,2.12,2.13,1.19,2.02,2.34,1.88,1.31,8.27,-0.59,0.00,0.00,0.75,-0.51,0.87,-0.08,-0.65,1.40,-2.88,1.79,1.68,1.56,1.24,-0.28,0.09,-0.56,0.07,-0.20,0.33,-0.27,0.87,0.67,0.67,0.67,0.67,0.67,0.67,1.12,0.51,1.00,0.04,3.02,-0.04,10.92,0.05,0.12,-0.07,-0.00,13.28,
frc4564,17.57,6.03,0.00,3.07,1.82,2.03,2.34,1.68,2.81,1.29,1.32,1.71,9.97,-0.33,0.00,0.00,1.09,0.31,0.67,0.44,-0.59,2.09,-0.43,1.70,1.41,2.10,3.03,0.41,-0.14,0.12,0.30,0.53,0.06,0.39,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.28,1.11,0.64,0.80,3.07,0.05,15.08,0.35,0.21,0.26,0.47,17.57,
frc6895,10.54,18.47,0.00,5.95,0.71,1.04,1.38,1.41,0.79,0.83,0.36,0.53,3.44,-0.57,0.00,0.00,0.63,-0.31,-0.06,-0.03,0.27,0.46,0.87,1.67,1.51,1.69,0.42,0.07,-0.25,-0.07,-0.11,-0.18,0.09,-0.20,0.13,0.67,0.67,0.67,0.67,0.67,0.67,1.71,2.02,1.19,0.08,5.95,0.13,4.32,-0.11,0.28,-0.04,0.26,10.54,
frc1729,16.29,13.22,0.00,2.58,2.08,1.89,1.74,1.11,0.29,1.23,1.70,1.21,7.09,0.02,0.00,0.00,2.41,1.01,1.06,-0.09,-0.16,4.73,7.73,1.25,1.76,1.42,2.04,-0.15,0.17,0.00,0.60,-0.08,-0.10,0.66,-0.09,0.67,0.67,0.67,0.67,0.67,0.67,0.60,1.55,0.62,0.48,2.58,-0.04,13.86,0.24,0.59,0.10,0.52,16.29,
frc1512,6.18,16.19,0.00,3.48,0.37,1.01,0.79,0.26,0.14,1.05,0.90,0.20,-0.94,-0.15,0.00,0.00,0.23,-0.20,0.65,0.24,3.57,0.57,-2.59,0.86,1.09,1.01,-0.49,-0.54,-0.15,0.48,-0.26,-0.24,0.07,-0.23,-0.14,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.80,1.11,-0.22,3.48,-0.04,-0.87,-0.14,0.13,-0.10,-0.11,6.18,
frc1721,11.26,17.44,0.00,2.63,0.22,0.42,0.03,-0.13,0.39,0.77,1.12,0.47,0.49,-0.14,0.00,0.00,1.27,0.40,0.52,-0.36,-0.11,1.83,-0.62,1.97,1.33,0.55,6.42,0.18,1.32,0.39,1.33,0.32,1.01,0.48,0.95,0.67,0.67,0.67,0.67,0.67,0.67,1.48,1.05,0.72,0.44,2.63,0.03,8.73,0.52,0.11,0.47,-0.12,11.26,
frc3467,13.84,10.82,0.00,3.51,0.87,1.51,1.42,0.26,1.00,1.97,2.12,1.91,5.91,2.02,0.00,0.00,0.18,0.96,1.58,1.22,0.43,3.02,0.73,1.71,2.27,1.57,0.98,-0.13,0.26,0.46,-0.18,-0.16,-0.29,-0.06,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.02,1.32,1.28,0.69,3.51,-0.05,9.90,0.04,-0.04,0.06,0.03,13.84,
frc5902,11.51,20.85,0.00,5.06,1.14,1.17,-0.07,0.56,0.67,0.32,0.51,0.67,1.18,2.05,0.00,0.00,-0.08,0.91,2.11,-0.11,1.86,3.08,0.20,1.30,1.30,1.74,0.34,0.58,-0.22,0.59,-0.02,-0.22,-0.13,-0.02,-0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.51,2.62,1.83,-0.08,5.06,-0.05,4.60,-0.13,0.06,-0.07,0.00,11.51,
frc5265,3.97,10.63,0.00,0.99,1.15,0.81,1.22,0.28,0.11,0.59,0.70,0.64,1.91,-0.93,0.00,0.00,0.86,-0.81,-0.71,-0.02,1.12,-0.56,-3.53,1.36,1.08,1.50,0.50,0.49,-0.08,-0.29,0.10,-0.06,-0.35,0.26,-0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.49,0.44,0.89,-0.23,0.99,-0.04,1.86,0.07,-0.18,0.14,-0.07,3.97,
