MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nhsnh_qm1,blue,frc6324,frc7674,frc1277,36,30,0,12,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,1,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,24,0,0,0,0,36
2019nhsnh_qm1,red,frc3623,frc3323,frc1517,30,36,0,6,0,2,2,0,0,5,0,0,3,0,0,0,3,0,3,0,3,6,0,5,0,5,12,2,2,2,0,0,0,0,0,2,2,2,2,2,2,3,0,3,0,6,0,21,0,0,0,0,30
2019nhsnh_qm10,blue,frc138,frc7913,frc6811,17,38,0,6,2,2,2,0,0,2,2,2,0,0,0,0,3,3,3,0,0,9,0,5,3,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,0,11,0,0,0,0,17
2019nhsnh_qm10,red,frc509,frc6933,frc6324,38,17,0,12,5,5,5,0,5,5,2,2,15,0,0,0,3,3,3,0,0,9,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,26,0,0,0,0,38
2019nhsnh_qm11,blue,frc126,frc1922,frc133,100,26,0,15,2,5,5,5,5,5,5,5,39,30,0,30,3,12,3,0,6,18,30,5,5,5,22,2,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,4,15,0,79,0,5,0,5,100
2019nhsnh_qm11,red,frc1517,frc1058,frc3609,26,100,0,9,2,2,2,2,0,2,2,2,0,0,0,0,0,6,3,2,0,9,0,5,5,5,8,0,2,2,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,17,0,0,0,0,26
2019nhsnh_qm12,blue,frc1307,frc3623,frc6690,29,49,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,6,9,0,5,5,5,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,1,11,0,0,0,0,29
2019nhsnh_qm12,red,frc6337,frc6762,frc4041,49,29,0,9,2,5,5,0,0,5,2,2,9,0,0,0,3,3,12,2,13,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,27,0,0,0,0,49
2019nhsnh_qm13,blue,frc1729,frc6811,frc7133,27,74,0,9,2,5,5,0,0,2,2,2,6,0,0,0,3,3,3,2,3,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,15,0,0,0,0,27
2019nhsnh_qm13,red,frc166,frc151,frc319,74,27,0,12,2,2,5,5,5,5,5,5,18,0,0,0,3,3,12,1,6,18,30,5,5,3,20,2,2,2,2,0,2,0,2,2,2,2,2,2,2,6,6,3,3,12,0,56,0,2,0,2,74
