MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019njbri_qm1,blue,frc303,frc2495,frc6945,56,60,0,9,5,5,5,0,0,2,2,2,21,0,0,0,3,0,12,0,3,15,30,5,5,5,8,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,3,3,1,9,0,44,0,0,0,0,56
2019njbri_qm1,red,frc3314,frc1626,frc11,60,56,0,12,5,5,5,0,0,5,5,5,24,0,0,0,12,3,3,1,0,18,30,5,5,5,6,0,5,0,5,0,0,0,2,2,2,2,2,2,2,3,6,3,3,12,0,48,0,0,0,0,60
2019njbri_qm10,blue,frc3515,frc56,frc3637,51,45,0,9,5,5,0,0,5,0,5,5,18,0,0,0,3,12,3,2,0,18,30,5,5,5,6,0,5,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,42,0,0,0,0,51
2019njbri_qm10,red,frc7853,frc5624,frc1257,45,51,0,9,5,5,2,5,5,5,2,2,15,0,0,0,3,3,3,0,6,9,0,5,3,5,6,0,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,30,0,0,0,0,45
2019njbri_qm11,blue,frc3340,frc4281,frc303,30,47,0,3,5,2,5,2,0,5,5,5,15,0,0,0,0,0,6,0,0,6,0,3,3,5,6,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,0,3,0,27,0,0,0,0,30
2019njbri_qm11,red,frc1403,frc1811,frc7587,47,30,0,9,5,5,5,5,0,5,5,5,21,0,0,0,6,6,3,0,0,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,9,0,38,0,0,0,0,47
2019njbri_qm12,blue,frc102,frc6945,frc56,49,37,0,9,5,5,5,0,0,5,2,2,12,0,0,0,3,0,12,0,3,15,30,5,5,5,10,2,2,2,2,2,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,37,0,0,0,0,49
2019njbri_qm12,red,frc6897,frc5438,frc3142,37,49,0,12,2,5,5,0,0,5,5,5,15,0,0,0,0,3,3,1,0,6,0,5,5,5,4,0,2,0,0,0,2,0,0,2,2,2,2,2,2,3,3,6,0,12,0,25,0,0,0,0,37
2019njbri_qm13,blue,frc1811,frc11,frc1279,64,36,0,12,2,5,5,5,0,5,5,5,27,0,0,0,3,3,3,0,6,9,0,5,5,5,10,0,5,0,5,0,5,0,2,2,2,2,2,2,2,6,3,3,2,12,0,46,0,0,0,0,64
2019njbri_qm13,red,frc136,frc1228,frc303,36,64,0,12,5,2,5,0,0,5,5,5,15,0,0,0,0,3,6,2,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,0,12,0,24,0,0,0,0,36
