Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc303,21.39,13.99,0.00,4.53,0.89,0.64,1.49,-0.50,-0.48,1.46,1.80,1.32,6.67,-0.11,0.08,0.00,0.72,0.58,3.12,0.04,1.61,4.45,4.79,1.54,1.78,1.77,4.13,1.41,1.11,1.27,1.24,0.35,1.03,0.24,1.18,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.13,2.04,1.00,4.53,0.08,15.25,0.29,0.18,0.08,-0.04,21.39,
frc2495,9.57,20.23,0.00,3.34,1.15,1.09,0.83,0.44,1.13,-0.26,0.76,1.08,3.35,0.01,-0.12,0.00,0.29,-0.30,0.70,0.06,-0.15,0.77,0.45,1.75,1.62,1.84,2.26,1.11,-0.62,0.89,-0.41,0.80,-0.52,0.87,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,1.40,0.75,0.76,-0.03,3.34,-0.05,6.38,0.52,-0.16,0.26,-0.20,9.57,
frc6945,23.36,18.06,0.00,3.35,1.92,2.09,2.16,-0.06,-1.00,1.75,0.81,0.71,6.83,-0.13,-0.20,0.00,3.17,1.71,4.77,-0.07,1.88,9.70,21.68,1.70,1.80,1.80,1.59,0.23,1.23,0.22,1.47,0.27,0.22,0.11,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,0.79,1.46,0.58,1.22,3.35,-0.04,18.12,-0.19,0.53,-0.15,0.49,23.36,
frc3314,19.64,19.83,0.00,3.11,1.60,2.01,1.80,1.35,0.16,2.22,2.06,1.49,8.06,-0.22,-0.34,0.00,1.86,1.74,1.81,0.25,0.64,5.54,9.74,1.63,1.92,1.71,2.29,-0.16,1.27,-0.17,1.01,0.20,-0.24,-0.17,0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.11,0.76,0.88,0.39,3.11,0.14,15.89,-0.05,0.09,-0.17,0.08,19.64,
frc1626,18.23,15.74,0.00,5.39,1.35,1.20,1.52,1.15,1.58,1.86,1.76,1.42,6.56,-0.23,0.11,0.00,2.00,0.21,0.16,0.03,2.71,2.44,0.81,1.78,1.91,1.72,1.12,0.21,0.31,-0.14,0.31,-0.29,-0.11,-0.24,-0.04,0.67,0.67,0.67,0.67,0.67,0.67,1.80,1.11,1.92,0.78,5.39,0.01,10.12,0.33,-0.14,0.09,-0.15,18.23,
frc11,26.95,17.29,0.00,3.79,0.73,1.22,1.40,0.60,0.17,1.52,0.97,1.21,10.56,-0.24,-0.11,0.00,1.55,0.20,2.14,0.58,0.41,3.82,3.32,1.77,1.61,1.66,8.37,1.73,1.77,1.75,2.22,1.22,1.55,1.26,1.20,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.23,1.39,1.10,3.79,-0.06,22.76,0.97,0.25,0.73,0.43,26.95,
frc3515,8.84,13.08,0.00,4.32,1.40,1.84,1.80,-0.21,0.06,0.75,1.06,1.23,3.86,-0.56,-0.18,0.00,0.46,0.47,0.41,0.03,-0.68,1.44,-1.46,1.65,1.90,1.86,-0.10,0.03,0.24,-0.06,-0.12,-0.19,0.41,-0.19,0.05,0.67,0.67,0.67,0.67,0.67,0.67,0.68,1.65,1.28,0.15,4.32,0.12,5.20,-0.10,-0.03,-0.10,-0.15,8.84,
frc56,21.98,8.69,0.00,3.09,1.36,1.93,1.40,0.64,2.28,1.26,1.41,1.21,6.18,-0.50,-0.11,0.00,2.91,4.00,3.48,0.34,0.19,10.46,23.06,1.80,1.84,1.62,2.07,-0.35,0.74,0.16,0.38,-0.08,0.03,-0.17,-0.19,0.67,0.67,0.67,0.67,0.67,0.67,1.30,1.13,0.17,1.68,3.09,-0.07,18.70,0.06,-0.14,-0.10,-0.13,21.98,
frc3637,17.29,13.73,0.00,3.50,1.09,1.22,0.47,1.95,2.66,0.48,1.41,1.35,8.10,-0.30,-0.13,0.00,0.34,0.30,0.49,0.21,-0.06,1.17,-0.13,1.78,1.60,1.76,4.58,0.07,2.86,0.51,2.04,-0.31,0.26,-0.28,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.27,1.48,0.92,0.67,3.50,0.03,13.85,-0.10,0.25,-0.06,0.22,17.29,
frc7853,10.16,16.86,0.00,4.74,1.09,1.59,1.45,-0.13,0.69,0.79,0.81,0.47,2.67,0.21,0.07,0.00,0.66,0.89,0.93,0.04,0.10,2.50,1.97,1.53,1.30,1.74,0.14,-0.25,0.47,-0.22,0.58,-0.08,-0.21,-0.24,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.85,0.93,2.36,-0.14,4.74,0.10,5.31,-0.03,-0.24,-0.04,-0.28,10.16,
frc5624,13.37,12.12,0.00,3.78,1.69,1.05,0.67,1.65,0.92,1.83,1.17,1.56,4.13,-0.07,0.06,0.00,-0.37,1.07,0.34,0.40,1.55,1.12,-4.83,1.72,1.43,1.83,2.77,1.01,-0.38,1.01,-0.31,0.34,-0.16,-0.08,-0.18,0.67,0.67,0.67,0.67,0.67,0.67,0.92,1.22,2.16,0.05,3.78,-0.04,8.03,-0.15,-0.11,-0.08,-0.08,13.37,
frc1257,21.41,15.70,0.00,3.75,2.32,2.18,1.84,0.82,1.04,1.95,1.91,1.28,8.98,2.77,0.30,0.00,2.56,2.32,0.82,0.05,0.83,5.45,7.49,1.53,1.26,1.41,2.40,0.26,0.47,0.68,-0.00,0.21,-0.28,0.24,0.02,0.67,0.67,0.67,0.67,0.67,0.67,1.46,2.55,1.25,0.71,3.75,-0.03,16.83,0.32,0.02,0.14,0.29,21.41,
frc3340,9.92,16.92,0.00,1.83,1.08,0.78,0.73,1.74,1.33,0.45,1.32,1.16,3.07,-0.50,-0.36,0.00,1.39,2.17,1.31,0.22,-1.35,4.95,3.82,1.22,1.30,1.42,1.42,-0.55,-0.02,-0.85,0.57,-0.54,0.10,-0.53,0.45,0.67,0.67,0.67,0.67,0.67,0.67,2.17,1.52,1.43,-0.13,1.83,-0.05,9.44,-0.31,0.13,-0.27,0.53,9.92,
frc4281,10.10,16.40,0.00,2.05,1.34,1.12,2.09,0.18,0.37,1.13,0.91,0.84,4.50,-0.49,-0.35,0.00,0.44,0.05,0.28,-0.27,0.56,0.78,-3.40,1.60,1.34,1.71,2.21,0.25,0.17,0.16,0.42,0.38,-0.04,0.52,-0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.97,1.44,0.40,-0.15,2.05,0.05,7.49,-0.05,0.48,0.24,0.44,10.10,
frc1403,24.23,11.16,0.00,3.99,1.85,2.01,1.68,2.77,2.90,2.23,1.80,2.02,11.31,-0.22,0.13,0.00,1.68,2.66,0.46,0.00,-0.22,4.61,2.21,1.83,1.33,1.77,4.54,1.28,0.31,0.76,-0.20,0.49,-0.02,0.36,0.11,0.67,0.67,0.67,0.67,0.67,0.67,0.78,1.39,1.42,1.22,3.99,-0.05,20.45,0.10,-0.13,-0.05,-0.12,24.23,
frc1811,20.02,19.90,0.00,3.71,2.43,2.04,2.06,0.81,0.14,1.76,2.26,1.93,9.37,-0.12,-0.06,0.00,2.18,2.56,1.73,0.35,0.29,6.01,4.91,1.20,1.75,1.20,0.63,-0.03,0.51,-0.37,0.63,-0.17,0.68,-0.30,0.47,0.67,0.67,0.67,0.67,0.67,0.67,1.96,1.98,1.59,0.13,3.71,0.14,16.01,-0.27,-0.09,-0.21,-0.09,20.02,
frc7587,11.11,12.68,0.00,2.48,0.59,0.80,0.74,0.74,-0.05,1.15,1.59,1.74,4.28,-0.71,-0.36,0.00,0.06,1.32,2.41,0.28,0.61,3.88,4.42,1.61,1.76,1.15,-0.13,0.13,-0.31,0.23,-0.08,-0.05,-0.14,0.02,-0.16,0.67,0.67,0.67,0.67,0.67,0.67,0.75,1.87,1.40,0.71,2.48,-0.06,8.03,0.24,-0.08,0.01,-0.14,11.11,
frc102,19.28,12.71,0.00,4.90,0.97,1.83,1.64,0.46,0.75,1.97,1.90,1.57,7.84,2.42,2.53,0.00,0.29,-0.03,2.44,-0.02,0.93,2.80,-2.28,1.48,1.86,1.89,2.81,0.79,-0.02,0.75,0.39,0.78,-0.19,0.62,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,1.32,1.83,1.66,0.84,4.90,0.03,13.45,0.47,-0.20,0.72,-0.09,19.28,
frc6897,7.56,19.42,0.00,1.86,1.14,1.06,1.01,-0.26,0.03,0.41,0.63,0.63,2.81,2.10,-0.37,0.00,0.81,0.99,0.64,0.15,1.16,2.24,-0.78,1.28,1.06,1.26,-0.51,0.38,-0.04,0.20,-0.27,0.16,-0.10,0.24,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.38,0.91,1.48,0.01,1.86,-0.09,4.54,0.33,-0.08,0.07,-0.08,7.56,
