MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019njfla_qm1,blue,frc5310,frc5732,frc193,9,32,0,3,0,5,5,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,1,6,0,0,0,0,9
2019njfla_qm1,red,frc1768,frc41,frc7045,32,9,0,3,0,2,2,5,0,2,2,0,3,0,0,0,3,3,0,0,10,6,0,5,3,0,10,0,2,2,2,0,0,2,0,2,2,2,2,2,2,3,6,3,2,3,0,19,0,0,0,0,32
2019njfla_qm10,blue,frc25,frc41,frc303,80,54,0,12,2,0,5,0,5,5,0,5,30,30,30,0,12,0,6,0,6,18,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,4,12,0,62,5,0,5,0,80
2019njfla_qm10,red,frc11,frc3142,frc222,54,80,0,15,2,2,2,0,0,2,2,2,18,30,30,0,3,0,6,2,0,9,0,5,5,5,12,5,0,5,0,5,0,5,0,2,2,2,2,2,2,6,3,6,1,15,0,39,5,0,5,0,54
2019njfla_qm11,blue,frc1257,frc219,frc5438,43,41,0,12,2,5,5,2,5,5,5,5,18,0,0,0,3,3,3,2,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,31,0,0,0,0,43
2019njfla_qm11,red,frc2600,frc1089,frc6943,41,43,0,12,2,2,2,2,2,5,5,5,9,0,0,0,3,0,3,0,6,6,0,5,5,5,8,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,23,0,0,0,0,41
2019njfla_qm12,blue,frc5992,frc1672,frc75,42,6,0,12,2,5,5,0,5,5,5,5,18,0,0,0,3,0,3,0,0,6,0,5,5,5,6,0,0,0,2,0,2,0,0,2,2,2,2,2,2,3,3,6,2,12,0,30,0,0,0,0,42
2019njfla_qm12,red,frc3515,frc2070,frc5732,6,42,0,3,2,2,2,0,0,2,2,2,0,0,0,0,3,3,0,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,3,0,0,0,0,6
2019njfla_qm13,blue,frc193,frc6860,frc303,76,43,0,6,5,5,5,5,0,5,5,5,21,0,0,0,3,0,3,1,33,6,0,3,5,5,10,0,2,0,2,0,0,0,2,2,2,2,2,2,2,3,3,3,2,6,0,37,0,0,0,2,76
2019njfla_qm13,red,frc1279,frc25,frc7853,43,76,0,12,2,2,5,5,5,5,2,2,15,0,0,0,3,0,0,11,3,3,0,5,5,5,10,0,5,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,28,0,0,0,0,43
2019njfla_qm14,blue,frc11,frc1923,frc6943,44,21,0,9,5,5,5,0,0,5,5,5,24,0,0,0,3,0,0,0,0,3,0,3,5,5,8,5,0,5,2,2,0,0,0,2,2,2,2,2,2,6,3,6,2,9,0,35,0,0,0,0,44
2019njfla_qm14,red,frc1228,frc1403,frc6945,21,44,0,9,2,2,2,0,2,2,2,2,0,0,0,0,0,3,3,0,0,6,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,12,0,0,0,0,21
