MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019njski_qm1,blue,frc1676,frc1672,frc4281,49,20,0,12,2,2,5,5,5,5,5,5,18,0,0,0,3,0,0,0,6,3,0,5,5,5,10,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,31,2,0,0,0,49
2019njski_qm1,red,frc4575,frc5666,frc2577,20,49,0,9,2,0,2,0,0,2,0,2,0,0,0,0,3,3,3,2,0,9,0,5,5,3,2,0,0,0,0,0,0,2,0,2,2,2,2,2,2,6,3,6,0,9,0,11,0,0,0,0,20
2019njski_qm10,blue,frc752,frc1672,frc2577,51,51,0,15,2,2,5,0,5,5,2,2,9,0,0,0,6,0,12,0,3,18,30,5,5,5,6,2,0,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,33,0,0,0,0,51
2019njski_qm10,red,frc2458,frc7587,frc193,51,51,0,9,2,5,5,0,5,5,5,5,18,0,0,0,3,3,12,1,0,18,30,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,42,0,0,0,0,51
2019njski_qm11,blue,frc714,frc1626,frc6016,72,57,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,12,3,1,0,18,30,5,5,5,12,5,2,5,2,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,60,0,0,0,0,72
2019njski_qm11,red,frc4281,frc7045,frc56,57,72,0,9,5,5,5,0,5,5,5,5,27,0,0,0,3,3,6,0,3,12,0,5,5,5,6,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,45,0,0,0,0,57
2019njski_qm12,blue,frc1923,frc1811,frc6327,63,63,0,15,5,5,5,0,0,5,2,5,21,0,0,0,12,6,3,0,0,21,30,5,5,5,6,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,48,0,0,0,0,63
2019njski_qm12,red,frc223,frc1279,frc1676,63,63,0,15,5,5,5,0,5,5,5,5,27,0,0,0,6,3,6,0,0,15,30,5,5,5,6,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,2,15,0,48,0,5,0,5,63
2019njski_qm13,blue,frc4750,frc2458,frc1989,36,61,0,9,5,2,5,0,5,5,2,2,12,0,0,0,3,3,3,1,0,9,0,5,5,5,6,2,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,0,9,0,27,0,0,0,0,36
2019njski_qm13,red,frc6897,frc3340,frc3314,61,36,0,12,5,5,5,5,5,5,5,5,24,0,0,0,3,3,12,0,3,18,30,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,46,0,0,0,0,61
2019njski_qm14,blue,frc3637,frc2577,frc41,65,39,0,15,2,2,5,0,5,5,5,2,15,0,0,0,3,6,6,0,6,15,30,5,5,5,14,5,0,0,2,2,0,0,2,2,2,2,2,2,2,3,6,6,3,15,0,44,0,2,0,2,65
