Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1676,20.97,19.47,-0.00,5.09,1.49,1.08,1.16,0.29,1.43,1.34,1.18,0.80,8.30,3.49,4.44,-0.37,1.70,2.58,0.72,-0.23,-0.96,4.98,6.56,1.58,1.74,1.74,3.57,0.48,0.27,0.42,0.48,0.97,0.03,0.97,0.06,0.67,0.67,0.67,0.67,0.67,0.67,2.18,1.18,1.84,1.02,5.09,0.09,16.85,1.02,0.99,0.88,0.64,20.97,
frc1672,13.66,18.42,0.00,3.72,0.97,1.33,1.99,0.93,0.94,1.82,1.37,1.27,3.21,-2.46,-1.42,-0.09,1.31,-0.29,1.75,0.27,0.78,2.79,0.58,1.89,1.77,1.41,3.16,0.22,0.06,0.15,-0.12,-0.58,0.36,-0.50,0.62,0.67,0.67,0.67,0.67,0.67,0.67,1.29,1.22,0.96,0.22,3.72,-0.03,9.16,-0.16,0.15,-0.38,-0.02,13.66,
frc4281,10.46,20.03,0.00,3.51,1.20,0.89,1.08,0.26,0.40,0.90,1.77,1.93,4.13,2.75,1.42,-0.08,0.81,0.38,0.94,0.02,0.14,2.15,1.80,1.85,1.61,1.60,0.53,1.08,-0.18,1.03,-0.03,-0.15,-0.37,0.07,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.39,1.11,1.35,-0.04,3.51,0.05,6.80,0.12,-0.33,-0.05,-0.36,10.46,
frc4575,12.31,15.80,-0.00,5.12,1.41,1.06,0.66,1.51,1.41,0.79,0.53,0.66,2.37,-1.76,-0.52,-0.47,2.77,1.27,-0.09,0.71,-1.05,3.98,3.37,1.83,1.75,1.43,1.89,-0.91,1.29,-0.62,1.13,-0.38,-0.23,-0.18,0.12,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.66,1.99,0.10,5.12,0.19,8.24,-0.22,0.30,-0.21,0.01,12.31,
frc5666,11.51,23.49,-0.02,4.00,1.23,1.89,1.14,-0.25,-0.57,1.63,0.76,1.76,4.31,-2.64,-1.19,-0.54,0.99,0.86,0.35,-0.04,-0.40,2.18,1.49,1.43,1.53,1.64,1.43,0.11,0.79,0.17,1.14,-0.27,0.06,0.06,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,1.62,1.55,1.82,-0.20,4.00,0.03,7.93,-0.32,-0.11,-0.25,-0.28,11.51,
frc2577,15.61,20.92,-0.01,4.30,-0.14,0.28,0.71,-0.63,1.29,1.34,0.73,0.56,2.39,6.95,2.24,-0.21,2.19,0.47,2.78,0.12,1.18,5.42,5.61,1.34,1.73,1.62,2.33,0.60,0.31,-0.54,0.90,0.42,0.26,0.40,0.62,0.67,0.67,0.67,0.67,0.67,0.67,1.45,1.48,2.48,0.52,4.30,-0.06,10.14,0.21,0.23,0.35,-0.02,15.61,
frc752,15.99,14.46,-0.01,5.20,0.58,0.24,0.87,1.94,0.89,1.73,1.07,1.05,1.32,-3.02,-1.95,-0.28,0.96,2.01,3.08,0.18,1.32,6.07,10.00,1.80,1.12,1.87,2.08,-0.30,-0.66,-0.30,-0.13,0.07,-0.05,0.12,-0.37,0.67,0.67,0.67,0.67,0.67,0.67,2.09,1.87,1.53,0.41,5.20,0.06,9.47,0.01,0.15,-0.02,-0.26,15.99,
frc2458,13.45,17.14,-0.01,3.06,1.44,0.90,0.72,0.70,1.34,1.57,1.28,1.47,4.70,-0.80,0.25,-0.62,0.96,1.80,0.40,0.12,0.33,3.16,0.49,1.60,1.59,1.79,2.20,0.24,0.67,1.07,0.36,-0.17,0.30,-0.12,0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.18,1.05,1.07,0.15,3.06,-0.05,10.06,-0.22,-0.34,-0.16,-0.33,13.45,
frc7587,7.57,17.72,-0.00,4.07,0.50,1.50,0.92,0.64,0.79,0.49,0.56,0.97,1.84,0.19,-1.17,-0.09,-1.11,0.55,1.27,1.05,0.07,0.73,1.15,1.67,1.71,1.75,0.87,0.53,-0.49,-0.33,-0.04,-0.11,-0.10,-0.12,-0.10,0.67,0.67,0.67,0.67,0.67,0.67,0.62,2.00,1.06,0.21,4.07,0.04,3.44,0.11,0.26,-0.20,0.05,7.57,
frc193,23.34,25.63,-0.01,3.64,1.00,1.35,1.93,0.18,1.51,1.47,1.94,1.66,8.26,-0.48,-0.32,-0.06,3.12,2.46,3.79,0.49,0.36,9.38,17.02,1.88,1.53,1.68,1.71,-0.01,0.36,0.29,0.40,0.95,-0.12,0.54,0.01,0.67,0.67,0.67,0.67,0.67,0.67,1.44,1.61,0.55,0.90,3.64,0.03,19.35,-0.03,0.22,0.22,0.39,23.34,
