MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019njtab_qm1,blue,frc1791,frc484,frc423,42,29,0,12,5,5,5,0,0,5,5,5,18,0,0,0,3,6,3,0,0,12,0,5,5,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,30,0,0,0,0,42
2019njtab_qm1,red,frc219,frc7110,frc5310,29,42,0,6,5,5,5,0,5,5,5,5,21,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,0,23,0,0,0,0,29
2019njtab_qm10,blue,frc5684,frc834,frc365,82,48,0,15,5,5,5,5,5,5,5,5,36,0,0,0,3,6,3,0,3,12,0,5,5,5,16,5,5,5,2,5,0,2,0,2,2,2,2,2,2,3,6,6,2,15,0,64,0,0,0,0,82
2019njtab_qm10,red,frc203,frc204,frc6226,48,82,0,12,5,5,5,0,0,5,5,2,15,0,0,0,6,3,6,1,0,15,30,5,5,5,6,2,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,1,12,0,36,0,0,0,0,48
2019njtab_qm11,blue,frc2495,frc2191,frc2600,35,47,0,9,5,5,5,5,0,0,5,5,18,0,0,0,3,3,0,0,0,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,26,0,0,0,0,35
2019njtab_qm11,red,frc6921,frc1712,frc219,47,35,0,12,5,5,5,2,5,5,5,2,18,0,0,0,3,6,0,0,0,9,0,5,5,5,8,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,35,0,0,0,0,47
2019njtab_qm12,blue,frc6327,frc1647,frc1791,24,31,0,9,2,2,2,0,5,2,2,2,3,0,0,0,0,0,3,0,3,3,0,3,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,6,3,6,0,9,0,12,0,0,0,0,24
2019njtab_qm12,red,frc3151,frc5490,frc5113,31,24,0,9,2,5,5,5,5,2,2,2,12,0,0,0,3,0,3,1,0,6,0,5,3,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,0,22,0,0,0,0,31
2019njtab_qm13,blue,frc204,frc219,frc423,59,42,0,9,5,5,5,2,5,2,2,5,15,0,0,0,0,12,12,0,3,24,30,5,5,5,8,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,9,0,47,0,0,0,0,59
2019njtab_qm13,red,frc6921,frc1640,frc2559,42,59,0,15,5,5,5,0,5,2,2,2,12,0,0,0,3,6,0,1,0,9,0,5,5,5,6,0,2,2,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,27,0,0,0,0,42
