Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc1791,8.98,8.87,0.00,3.30,0.90,1.33,1.62,0.55,0.87,1.27,1.16,0.69,3.27,-1.76,-0.44,-0.93,1.49,0.34,0.41,0.03,0.56,2.22,0.27,1.42,1.18,1.16,-0.38,-0.34,0.46,0.05,0.46,-0.43,-0.40,-0.04,-0.11,0.67,0.67,0.67,0.67,0.67,0.67,2.59,1.75,1.51,0.12,3.30,0.14,5.12,-0.16,-0.29,-0.18,-0.32,8.98,
frc484,20.54,17.06,0.00,5.37,1.08,1.38,1.79,-0.49,0.71,2.03,2.39,2.17,7.01,-0.55,-0.15,-0.04,1.27,3.05,2.46,0.07,-0.78,6.86,6.35,1.78,1.64,1.64,2.09,0.32,0.70,0.03,0.78,-0.12,-0.08,0.13,0.09,0.67,0.67,0.67,0.67,0.67,0.67,1.44,2.61,1.51,0.68,5.37,0.01,15.96,-0.12,0.10,0.02,0.12,20.54,
frc423,14.62,19.67,0.00,2.17,1.69,1.91,1.65,-0.45,0.78,0.96,0.89,1.07,4.47,-1.18,-0.20,-0.59,2.60,1.19,1.19,-0.27,1.14,5.04,4.48,1.14,1.17,1.41,1.80,0.22,-0.38,-0.02,-0.21,0.14,1.05,0.10,0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.73,1.20,0.85,0.18,2.17,0.12,11.30,0.23,0.00,0.22,0.14,14.62,
frc219,11.71,21.57,0.00,3.51,1.59,1.50,1.05,0.76,1.12,1.56,1.16,0.81,3.18,-1.18,-0.75,-0.58,0.63,1.18,1.43,-0.19,-0.29,3.32,3.50,1.85,1.95,1.47,1.99,-0.47,0.57,-0.63,0.86,-0.31,0.08,-0.27,0.40,0.67,0.67,0.67,0.67,0.67,0.67,1.58,0.92,0.49,-0.16,3.51,-0.06,8.49,-0.24,-0.18,-0.29,-0.16,11.71,
frc7110,17.16,21.77,0.00,1.93,1.66,1.94,1.89,0.54,0.60,1.76,2.36,2.14,10.37,-0.66,-0.29,-0.15,1.55,0.92,0.94,0.48,0.05,3.48,2.37,1.70,1.64,1.20,1.33,0.52,0.60,0.27,0.99,0.22,0.10,0.25,0.36,0.67,0.67,0.67,0.67,0.67,0.67,0.18,1.37,1.44,0.20,1.93,-0.06,15.18,-0.12,-0.10,-0.14,-0.11,17.16,
frc5310,7.87,11.92,0.00,3.68,1.32,1.14,1.16,-0.06,0.94,0.75,0.45,0.63,1.07,-0.56,-0.09,-0.17,0.17,0.53,0.47,-0.16,1.84,1.15,-0.51,1.28,1.14,1.11,0.13,-0.50,0.06,-0.47,-0.31,0.05,0.05,0.07,-0.15,0.67,0.67,0.67,0.67,0.67,0.67,2.03,2.18,1.50,0.09,3.68,0.04,2.35,0.08,0.12,0.04,-0.09,7.87,
frc5684,27.71,20.92,0.00,4.07,1.55,1.51,1.26,1.94,2.23,1.62,1.68,2.08,11.47,1.68,-0.62,-0.26,1.26,0.98,0.96,0.00,2.74,3.22,-0.15,1.87,1.93,1.83,6.20,0.60,1.54,0.68,2.13,0.37,0.57,0.25,0.15,0.67,0.67,0.67,0.67,0.67,0.67,0.75,1.09,1.19,0.82,4.07,0.05,20.90,0.06,0.09,0.48,0.39,27.71,
frc834,31.38,15.10,0.00,5.37,1.90,1.73,1.96,1.61,2.03,2.04,2.35,2.39,13.30,0.73,-0.85,1.91,2.05,2.23,3.07,0.03,0.73,7.37,10.43,1.70,1.83,1.83,4.61,0.82,1.69,1.37,0.96,0.11,0.14,0.32,0.23,0.67,0.67,0.67,0.67,0.67,0.67,0.84,2.20,1.74,1.41,5.37,-0.08,25.28,-0.08,0.35,-0.10,0.19,31.38,
frc365,31.59,24.43,0.00,5.89,1.26,1.67,1.95,1.71,1.60,2.53,1.96,1.49,12.12,4.87,2.49,2.50,4.15,1.49,2.45,0.27,0.30,8.15,13.50,1.88,1.46,1.70,5.13,0.77,1.20,0.98,0.46,0.68,0.41,0.40,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.58,2.01,1.91,1.69,5.89,0.03,25.40,0.28,0.53,0.27,0.49,31.59,
frc203,10.99,20.98,0.00,5.51,1.86,1.46,2.03,-0.40,1.17,1.43,1.39,1.15,3.73,2.34,-0.07,-0.09,1.50,0.67,-0.44,0.20,0.42,1.70,0.18,1.54,1.89,1.52,-0.35,-0.11,-0.63,-0.56,-0.52,-0.09,0.01,-0.25,0.23,0.67,0.67,0.67,0.67,0.67,0.67,1.64,1.80,2.40,-0.27,5.51,0.07,5.07,-0.17,0.04,-0.18,-0.10,10.99,
