MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nvlv_qm1,blue,frc696,frc2647,frc60,43,44,0,15,2,5,5,0,0,5,5,5,15,0,0,0,0,0,3,0,0,3,0,5,5,5,10,0,2,0,2,0,2,0,2,2,2,2,2,2,2,6,3,6,0,15,0,28,0,0,0,2,43
2019nvlv_qm1,red,frc5025,frc6519,frc1197,44,43,0,12,2,5,5,0,0,5,5,5,15,0,0,0,3,0,12,0,0,15,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,32,0,0,0,0,44
2019nvlv_qm10,blue,frc7880,frc4501,frc5285,71,57,0,12,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,1,10,9,0,5,5,5,10,5,0,5,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,49,0,0,0,0,71
2019nvlv_qm10,red,frc7567,frc5025,frc2647,57,71,0,9,5,5,5,5,5,2,5,5,24,0,0,0,3,3,3,0,3,9,0,5,5,5,12,0,2,0,5,0,2,2,0,2,2,2,2,2,2,3,3,3,0,9,1,45,0,0,0,0,57
2019nvlv_qm11,blue,frc3965,frc7654,frc842,44,69,0,15,2,2,2,0,0,5,2,2,3,0,0,0,3,3,12,1,0,18,30,5,5,5,8,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,6,1,15,0,29,0,0,0,2,44
2019nvlv_qm11,red,frc1388,frc7425,frc1836,69,44,0,9,5,5,2,0,5,5,5,5,24,0,0,0,12,3,6,0,3,21,30,5,3,5,12,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,3,9,0,57,0,0,0,0,69
2019nvlv_qm12,blue,frc6824,frc6957,frc7613,53,36,0,15,5,5,5,2,0,5,2,2,12,0,0,0,3,3,3,0,3,9,0,5,5,5,14,2,0,2,0,2,0,2,0,2,2,2,2,2,2,6,6,3,2,15,0,35,2,0,2,0,53
2019nvlv_qm12,red,frc3491,frc3009,frc7426,36,53,0,15,2,5,2,0,0,5,5,5,12,0,0,0,0,0,3,1,0,3,0,5,5,5,6,2,0,0,0,2,0,2,0,2,2,2,2,2,2,3,6,6,0,15,0,21,0,0,0,0,36
2019nvlv_qm13,blue,frc1197,frc1572,frc7424,58,45,0,15,5,5,5,0,0,5,5,5,18,0,0,0,12,3,6,0,0,21,30,5,5,5,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,15,1,43,0,0,0,0,58
2019nvlv_qm13,red,frc585,frc5851,frc5049,45,58,0,15,5,5,5,5,0,2,2,2,12,0,0,0,3,3,0,0,10,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,0,15,0,20,0,0,0,0,45
2019nvlv_qm14,blue,frc991,frc2485,frc1266,61,82,0,15,5,5,5,0,0,5,5,5,18,0,0,0,12,3,3,0,10,18,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,1,15,0,36,0,0,0,0,61
2019nvlv_qm14,red,frc6822,frc987,frc4322,82,61,0,15,5,5,5,5,0,2,5,2,33,30,30,0,3,12,3,0,0,18,30,5,5,5,16,5,2,5,0,5,0,5,0,2,2,2,2,2,2,3,6,6,4,15,1,67,5,0,5,0,82
2019nvlv_qm15,blue,frc5474,frc842,frc5429,82,36,0,15,2,5,5,0,5,5,5,2,33,30,0,30,3,12,3,0,0,18,30,5,5,5,16,2,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,4,15,0,67,0,5,0,5,82
