Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc696,22.07,17.90,0.00,6.42,1.33,1.83,1.99,1.84,0.88,1.43,2.06,2.05,8.26,-1.77,-0.49,-0.46,1.51,2.12,4.41,-0.47,-2.17,8.10,16.32,1.63,1.69,1.98,1.46,-0.48,1.63,-1.03,1.36,-0.67,0.21,-0.65,1.08,0.67,0.67,0.67,0.67,0.67,0.67,2.12,2.33,1.51,0.64,6.42,-0.10,17.82,-0.45,-0.10,-0.35,-0.02,22.07,
frc2647,11.44,18.84,0.00,3.39,0.17,0.70,0.97,0.15,0.64,1.59,1.05,1.33,2.80,2.56,1.75,-0.98,1.09,-0.61,1.17,0.19,0.05,1.66,-1.78,1.84,1.17,1.85,3.54,-0.23,0.39,0.08,0.33,0.27,0.51,0.58,-0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.96,0.35,1.53,-0.23,3.39,0.06,8.00,0.44,0.17,0.44,0.16,11.44,
frc60,18.28,15.47,0.00,5.60,0.98,1.24,0.98,-0.31,1.79,1.11,1.43,0.96,3.42,0.41,0.42,0.69,-0.38,1.81,0.86,0.55,2.35,2.37,-0.54,1.61,1.89,1.22,4.54,0.43,1.19,0.35,0.34,0.27,0.63,-0.13,0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.51,1.51,2.43,0.28,5.60,0.03,10.32,0.17,0.27,-0.04,0.47,18.28,
frc5025,26.10,30.74,0.00,3.97,2.75,2.69,2.43,2.77,1.39,2.14,2.31,1.90,13.83,-4.64,-1.95,-2.29,2.20,0.82,1.67,0.89,0.10,4.73,6.87,1.74,1.75,1.81,3.47,1.12,1.15,1.12,1.96,0.46,-0.21,0.41,-0.61,0.67,0.67,0.67,0.67,0.67,0.67,1.43,1.35,0.90,0.39,3.97,0.00,22.03,-0.40,-0.58,-0.34,-0.53,26.10,
frc6519,9.72,10.28,0.00,4.46,0.21,0.72,0.96,-0.98,0.38,0.81,0.44,0.20,-0.27,0.11,-1.19,1.55,1.11,1.82,0.71,0.12,3.18,3.68,5.61,1.33,1.72,1.22,-1.33,-0.53,0.15,-0.11,-0.31,-0.81,0.20,-0.88,-0.07,0.67,0.67,0.67,0.67,0.67,0.67,1.19,1.82,1.48,0.63,4.46,0.02,2.08,-0.45,0.21,-0.49,0.41,9.72,
frc1197,23.43,14.52,0.00,3.69,1.75,1.86,2.15,1.45,1.14,1.58,1.78,2.31,8.65,-2.29,-0.01,-1.17,2.64,0.64,4.02,0.09,0.40,7.39,13.86,1.69,1.79,1.72,3.31,1.13,-0.03,1.11,-0.53,0.22,-0.30,0.45,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,0.36,1.45,1.44,1.32,3.69,0.23,19.35,0.10,-0.15,0.29,-0.25,23.43,
frc7880,17.01,20.88,0.00,3.23,2.03,2.03,1.94,1.15,0.03,1.82,1.84,2.17,9.93,-1.18,-0.40,-0.84,3.35,-0.44,-1.90,0.40,1.33,1.12,-3.58,1.75,1.63,1.80,1.39,1.35,0.15,1.12,-0.30,0.34,-0.16,0.37,-0.35,0.67,0.67,0.67,0.67,0.67,0.67,1.57,0.58,0.85,0.17,3.23,0.07,12.45,0.29,-0.18,0.12,-0.27,17.01,
frc4501,25.96,19.35,0.00,3.65,0.99,1.09,1.20,2.15,2.40,1.75,1.47,1.33,9.44,-0.62,0.45,0.21,0.93,2.75,3.47,-0.00,0.52,7.23,12.59,1.77,1.42,1.91,5.11,1.16,0.75,1.46,1.72,0.19,0.07,-0.04,0.12,0.67,0.67,0.67,0.67,0.67,0.67,0.97,0.86,1.35,1.02,3.65,-0.07,21.78,0.40,0.23,-0.10,0.42,25.96,
frc5285,24.08,14.42,0.00,4.50,2.42,2.31,2.40,2.87,2.56,1.92,1.98,1.91,12.17,-3.10,-1.52,-0.46,1.37,1.68,0.00,0.38,1.69,2.52,1.78,1.62,1.79,1.28,3.21,0.87,-0.45,1.14,-0.24,0.02,0.34,-0.04,0.15,0.67,0.67,0.67,0.67,0.67,0.67,1.58,1.83,1.99,0.86,4.50,-0.02,17.90,-0.13,-0.14,0.13,-0.14,24.08,
frc7567,12.55,19.35,0.00,3.26,1.23,0.37,0.92,1.38,2.72,-0.16,0.97,1.13,2.97,-0.51,2.15,-1.49,-0.72,0.44,0.05,-0.12,2.60,-0.23,-7.86,1.50,1.63,1.83,3.95,0.41,-0.49,0.11,-0.27,0.06,0.20,0.16,0.54,0.67,0.67,0.67,0.67,0.67,0.67,1.32,0.98,1.23,0.11,3.26,0.22,6.69,0.14,0.19,0.17,-0.19,12.55,
frc3965,13.46,18.58,0.00,6.27,0.62,1.38,1.75,-0.51,1.26,1.99,1.15,1.15,2.50,1.13,0.05,-1.31,0.95,1.41,2.32,0.32,1.05,4.76,5.36,1.73,1.85,1.77,-1.12,-0.09,-0.80,-0.34,-0.82,-0.27,-0.33,-0.25,0.00,0.67,0.67,0.67,0.67,0.67,0.67,2.43,1.38,1.80,0.47,6.27,0.02,6.14,-0.09,-0.28,-0.12,-0.10,13.46,
frc7654,5.43,21.15,0.00,3.70,1.50,1.06,1.37,0.30,0.93,1.28,0.69,1.27,1.64,-0.51,-1.03,1.25,-0.19,1.11,1.57,0.96,-1.92,2.60,2.84,1.66,1.12,1.85,-0.58,-0.92,0.04,-0.99,0.55,-0.96,0.45,-1.00,0.77,0.67,0.67,0.67,0.67,0.67,0.67,1.01,1.30,1.85,0.25,3.70,-0.04,3.65,-0.67,0.15,-0.47,0.38,5.43,
frc842,38.75,13.76,0.00,6.15,0.11,0.95,1.45,0.95,0.50,1.29,0.66,0.86,12.30,9.06,2.67,7.86,4.87,2.26,3.47,0.53,-0.18,10.62,19.03,1.87,1.82,1.77,9.86,2.20,1.76,1.73,1.89,1.87,1.06,2.49,1.25,0.67,0.67,0.67,0.67,0.67,0.67,2.42,0.89,2.30,1.84,6.15,0.14,32.78,1.09,1.26,1.12,1.46,38.75,
frc1388,20.78,14.77,0.00,4.95,0.63,1.44,1.11,1.13,1.03,1.35,1.61,1.37,4.71,-0.10,-1.31,2.54,3.53,4.08,2.42,0.59,0.23,9.93,19.59,1.76,1.28,1.87,0.95,0.01,0.08,-0.39,0.45,-0.77,0.33,-0.95,0.28,0.67,0.67,0.67,0.67,0.67,0.67,1.73,2.16,1.35,1.35,4.95,-0.03,15.60,-0.07,0.50,-0.00,0.39,20.78,
frc7425,15.63,21.59,0.00,4.07,2.04,1.60,1.53,0.98,0.13,1.55,1.41,1.70,8.13,-1.77,0.27,-0.69,0.41,0.49,1.44,1.03,-0.50,2.41,-0.23,1.42,1.71,1.34,1.52,1.75,-0.52,1.16,-0.44,0.38,-0.20,0.48,-0.22,0.67,0.67,0.67,0.67,0.67,0.67,1.65,1.49,1.08,0.13,4.07,0.12,12.06,-0.07,-0.22,0.45,-0.24,15.63,
