MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nyli2_qm1,blue,frc870,frc810,frc1156,95,40,0,15,2,2,5,0,0,0,0,2,15,0,0,0,12,6,3,0,30,21,30,5,5,5,14,2,5,0,5,2,5,0,5,2,2,2,2,2,2,6,6,3,3,15,0,50,2,0,0,0,95
2019nyli2_qm1,red,frc2601,frc884,frc7522,40,95,0,12,2,5,5,0,5,5,5,2,15,0,0,0,3,3,3,10,0,9,0,5,5,5,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,28,0,0,0,0,40
2019nyli2_qm10,blue,frc601,frc871,frc3137,32,44,0,9,2,2,2,0,5,2,2,2,3,0,0,0,0,6,3,0,3,9,0,0,5,5,8,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,20,2,0,0,2,32
2019nyli2_qm10,red,frc5599,frc527,frc1156,44,32,0,9,5,5,5,0,5,5,2,5,21,0,0,0,0,3,3,1,0,6,0,5,5,5,8,0,2,0,0,2,0,5,0,2,2,2,2,2,2,3,3,3,2,9,0,35,0,0,0,0,44
2019nyli2_qm11,blue,frc7732,frc6422,frc522,20,66,0,6,0,0,0,0,5,0,0,0,3,0,0,0,3,0,3,0,3,6,0,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,6,1,11,0,0,0,0,20
2019nyli2_qm11,red,frc533,frc329,frc7522,66,20,0,15,5,5,5,5,0,2,5,5,21,0,0,0,6,3,3,1,10,12,0,5,5,5,8,2,2,5,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,15,0,41,0,0,0,0,66
2019nyli2_qm12,blue,frc810,frc6423,frc6746,56,52,0,12,2,2,5,5,5,5,5,5,18,0,0,0,3,3,3,6,9,9,0,5,5,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,2,12,0,35,0,0,0,0,56
2019nyli2_qm12,red,frc1537,frc5659,frc3171,52,56,0,12,2,2,2,5,5,5,5,2,12,0,0,0,3,3,0,3,18,6,0,3,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,22,0,0,0,0,52
2019nyli2_qm13,blue,frc4458,frc352,frc2601,35,33,0,9,5,5,5,0,2,0,0,0,9,0,0,0,3,3,3,0,6,9,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,9,1,20,0,0,0,0,35
2019nyli2_qm13,red,frc1796,frc3624,frc2872,33,35,0,15,2,2,2,0,2,0,2,2,0,0,0,0,3,0,3,2,10,6,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,8,0,0,0,0,33
2019nyli2_qm14,blue,frc271,frc2487,frc1751,31,78,0,12,0,0,0,0,5,0,0,0,3,0,0,0,6,3,3,1,0,12,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,12,0,19,0,0,0,0,31
2019nyli2_qm14,red,frc287,frc7239,frc340,78,31,0,12,5,5,5,5,5,5,5,0,21,0,0,0,6,6,12,0,3,24,30,5,5,5,18,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,63,0,0,0,0,78
2019nyli2_qm15,blue,frc6969,frc5016,frc564,41,61,0,12,5,5,5,5,0,2,2,2,12,0,0,0,0,6,3,4,0,9,0,5,5,5,8,2,0,0,2,0,0,0,2,2,2,2,2,2,2,6,3,3,0,12,0,29,0,0,0,0,41
2019nyli2_qm15,red,frc1468,frc545,frc5736,61,41,0,12,5,5,5,5,0,5,5,5,24,0,0,0,6,0,3,0,12,9,0,5,5,5,4,0,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,0,37,0,0,0,0,61
2019nyli2_qm16,blue,frc3015,frc6989,frc3950,83,44,0,12,5,5,5,2,5,5,5,5,33,0,0,0,12,6,3,0,3,21,30,5,5,5,14,5,0,5,0,5,0,5,0,2,2,2,2,2,2,3,6,3,3,12,0,68,2,0,0,0,83
2019nyli2_qm16,red,frc7400,frc496,frc6806,44,83,0,12,5,5,5,5,0,5,5,5,21,0,0,0,3,0,6,1,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,32,0,0,0,0,44
2019nyli2_qm17,blue,frc6423,frc527,frc3624,81,51,0,12,2,2,2,0,5,5,5,5,12,0,0,0,3,3,6,3,37,12,0,5,5,5,8,2,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,2,12,1,32,0,0,0,0,81
2019nyli2_qm17,red,frc806,frc7522,frc6422,51,81,0,6,5,2,5,0,0,5,5,5,15,0,0,0,3,3,3,9,19,9,0,3,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,0,6,1,26,0,0,0,0,51
2019nyli2_qm18,blue,frc4006,frc271,frc1537,42,30,0,12,5,5,5,0,0,0,0,0,9,0,0,0,12,6,3,1,0,21,30,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,3,12,0,30,0,0,0,0,42
2019nyli2_qm18,red,frc3137,frc4458,frc5599,30,42,0,9,0,0,0,0,0,5,2,0,3,0,0,0,3,3,3,0,3,9,0,5,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,18,0,0,0,0,30
2019nyli2_qm19,blue,frc1156,frc5099,frc5016,67,115,0,9,2,5,5,5,2,5,2,2,24,0,0,0,3,3,6,8,6,12,0,5,5,5,16,5,5,5,5,0,2,0,2,2,2,2,2,2,2,3,3,3,0,9,2,52,0,0,0,0,67
2019nyli2_qm19,red,frc340,frc6746,frc533,115,67,0,15,5,5,5,5,5,5,5,5,24,0,0,0,12,3,3,2,44,18,30,5,5,5,14,2,2,2,2,0,0,0,0,2,2,2,2,2,2,6,3,6,3,15,0,56,0,0,0,0,115
2019nyli2_qm2,blue,frc522,frc5099,frc1796,55,58,0,3,2,5,5,0,0,2,2,2,9,0,0,0,0,0,12,1,21,12,0,0,3,5,10,0,0,0,5,0,2,0,2,2,2,2,2,2,2,0,3,3,0,3,0,31,0,2,0,2,55
2019nyli2_qm2,red,frc5599,frc3015,frc6423,58,55,0,6,5,5,5,5,5,5,5,5,30,0,0,0,3,3,3,7,3,9,0,3,5,5,10,0,5,0,5,0,2,0,0,2,2,2,2,2,2,3,3,3,2,6,0,49,0,0,0,0,58
2019nyli2_qm20,blue,frc352,frc884,frc601,41,65,0,9,5,5,5,5,0,5,5,2,18,0,0,0,3,3,6,1,0,12,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,0,32,0,0,0,0,41
2019nyli2_qm20,red,frc287,frc3950,frc871,65,41,0,15,2,5,5,5,5,2,2,2,12,0,0,0,12,3,6,0,3,21,30,5,5,5,14,2,2,2,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,47,0,0,2,0,65
2019nyli2_qm21,blue,frc2872,frc6806,frc3015,92,72,0,15,2,5,5,0,5,5,5,5,24,0,0,0,0,3,12,1,26,15,30,5,5,5,12,0,5,0,2,0,0,0,5,2,2,2,2,2,2,6,6,3,3,15,1,51,0,2,0,2,92
2019nyli2_qm21,red,frc329,frc5659,frc545,72,92,0,15,2,2,2,0,0,5,2,5,18,0,0,0,12,3,3,2,13,18,30,5,5,5,8,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,6,3,1,15,2,44,0,0,0,0,72
2019nyli2_qm22,blue,frc6969,frc870,frc1796,99,57,0,15,2,5,5,0,0,5,5,5,42,30,0,30,3,12,3,1,0,18,30,5,5,5,24,5,5,5,5,2,5,5,5,2,2,2,2,2,2,6,6,3,4,15,0,84,2,5,2,5,99
2019nyli2_qm22,red,frc1751,frc7239,frc6989,57,99,0,12,5,5,5,5,5,5,5,5,24,0,0,0,0,6,0,0,3,6,0,3,5,5,12,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,12,0,42,0,0,0,0,57
2019nyli2_qm23,blue,frc2487,frc564,frc496,46,76,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,6,3,4,0,12,0,5,5,5,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,37,0,0,0,0,46
2019nyli2_qm23,red,frc263,frc3171,frc2601,76,46,0,15,2,2,5,0,0,2,2,2,18,0,0,0,0,6,3,0,22,9,0,5,5,5,12,0,5,0,5,0,5,0,5,2,2,2,2,2,2,3,6,6,2,15,0,39,0,5,0,2,76
2019nyli2_qm24,blue,frc810,frc7732,frc1468,56,51,0,12,5,5,5,5,5,5,0,5,21,0,0,0,6,3,6,0,0,15,30,5,5,5,8,0,0,2,2,0,0,0,0,2,2,2,2,2,2,6,3,3,3,12,0,44,0,0,0,0,56
2019nyli2_qm24,red,frc7400,frc5736,frc522,51,56,0,15,5,5,5,5,0,5,5,5,21,0,0,0,3,3,3,0,0,9,0,5,5,5,6,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,36,0,0,0,0,51
2019nyli2_qm25,blue,frc3950,frc545,frc3137,29,37,0,9,2,2,2,0,5,2,2,2,3,0,0,0,3,3,3,0,0,9,0,5,3,5,8,0,0,0,2,0,0,0,2,2,2,2,2,2,2,3,3,6,0,9,0,20,0,0,0,2,29
2019nyli2_qm25,red,frc533,frc6422,frc6423,37,29,0,12,2,2,2,5,5,5,2,5,12,0,0,0,3,3,3,0,0,9,0,5,5,5,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,25,0,0,0,0,37
2019nyli2_qm26,blue,frc1751,frc884,frc329,56,47,0,12,2,2,2,0,0,5,5,5,9,0,0,0,3,3,12,0,13,18,30,5,5,5,4,0,2,0,2,0,0,0,0,2,2,2,2,2,2,3,3,6,3,12,0,31,0,0,0,0,56
2019nyli2_qm26,red,frc352,frc271,frc6806,47,56,0,15,5,2,5,0,0,5,5,5,15,0,0,0,3,6,6,1,0,15,30,5,5,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,1,15,1,32,0,0,0,0,47
2019nyli2_qm27,blue,frc2601,frc871,frc806,46,56,0,9,2,2,2,5,0,2,2,5,6,0,0,0,3,6,0,0,10,9,0,5,5,0,12,2,0,0,2,2,0,0,2,2,2,2,2,2,2,6,3,0,0,9,1,27,0,0,0,2,46
