Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc870,43.23,9.73,0.00,5.44,1.02,1.67,2.18,0.90,-0.10,0.82,1.16,0.63,12.78,5.27,1.47,2.64,4.51,3.43,2.84,0.08,6.26,10.52,18.36,1.81,1.76,1.36,8.23,2.65,1.90,1.64,1.51,1.81,1.19,1.90,1.42,0.67,0.67,0.67,0.67,0.67,0.67,1.47,1.98,2.02,2.04,5.44,0.10,31.53,1.37,0.19,1.14,0.44,43.23,
frc810,27.87,20.53,0.00,6.26,1.09,0.54,1.59,0.76,0.53,0.67,1.04,2.12,8.25,4.69,2.12,2.95,2.73,1.55,2.29,0.35,2.92,6.59,14.22,1.86,1.30,1.83,3.86,-0.44,2.08,-0.43,2.11,-0.15,1.39,-0.30,1.10,0.67,0.67,0.67,0.67,0.67,0.67,2.37,1.18,2.05,1.39,6.26,0.07,18.69,0.09,0.71,-0.05,0.24,27.87,
frc1156,21.65,21.77,0.00,2.81,2.15,2.01,2.02,0.69,0.29,1.71,1.05,1.94,10.51,-1.23,-0.71,-0.80,0.54,-0.78,1.13,0.38,2.70,0.91,-3.52,1.94,1.47,1.73,4.72,1.36,0.98,1.45,0.83,0.67,0.32,0.91,0.53,0.67,0.67,0.67,0.67,0.67,0.67,1.37,1.10,0.58,0.10,2.81,0.25,16.14,0.49,-0.19,0.16,-0.02,21.65,
frc2601,14.84,16.62,0.00,4.81,1.04,1.05,1.73,1.04,0.60,0.43,0.44,0.41,4.45,0.93,2.43,-1.26,0.61,1.42,0.12,0.09,0.89,2.26,-4.76,1.73,1.84,1.07,2.42,-0.17,0.53,0.26,0.55,0.36,-0.17,0.23,0.33,0.67,0.67,0.67,0.67,0.67,0.67,1.37,2.65,1.32,0.14,4.81,0.07,9.13,0.45,0.49,0.33,0.49,14.84,
frc884,12.55,20.61,0.00,3.36,1.26,1.33,1.08,0.66,-0.13,2.90,2.95,1.73,5.59,-1.43,-0.08,-0.12,-0.01,2.01,2.10,0.44,-1.29,4.22,5.38,1.70,1.69,1.91,0.67,-0.26,-0.08,-0.01,-0.11,0.23,-0.02,0.11,-0.55,0.67,0.67,0.67,0.67,0.67,0.67,1.47,0.72,1.02,0.25,3.36,-0.14,10.48,0.04,0.11,0.21,-0.14,12.55,
frc7522,18.47,20.25,0.00,2.87,1.04,1.84,2.07,1.13,0.42,1.72,2.35,2.13,8.05,-0.06,-0.26,-0.20,1.64,1.43,1.37,2.15,1.74,4.45,4.34,1.48,1.62,1.80,1.37,0.53,0.56,0.95,0.08,-0.10,0.27,-0.44,-0.43,0.67,0.67,0.67,0.67,0.67,0.67,1.13,0.54,1.81,0.47,2.87,-0.11,13.87,0.07,-0.20,0.27,-0.25,18.47,
frc601,9.70,20.87,0.00,1.51,1.74,1.89,1.70,1.10,0.92,0.85,0.48,0.75,3.51,-1.64,-0.26,-0.22,2.39,1.20,1.50,0.13,-1.17,5.10,9.30,0.90,1.52,1.50,0.75,1.25,-0.89,-0.02,-0.25,-0.26,-0.28,-0.05,-0.50,0.67,0.67,0.67,0.67,0.67,0.67,1.39,0.75,1.12,0.14,1.51,0.14,9.36,0.06,-0.24,-0.23,0.07,9.70,
frc871,17.63,9.42,0.00,3.25,0.63,1.15,1.06,1.30,1.28,0.78,0.67,1.03,2.26,-1.85,-0.84,-0.09,2.58,0.31,1.45,-0.42,0.09,4.49,3.95,1.20,1.66,1.45,7.54,1.50,0.29,1.33,0.17,0.72,-0.10,0.54,-0.05,0.67,0.67,0.67,0.67,0.67,0.67,1.53,0.38,1.37,0.57,3.25,0.09,14.30,0.43,0.15,0.70,0.60,17.63,
frc3137,12.41,19.11,0.00,4.53,0.59,0.28,0.33,-0.75,0.60,0.68,0.55,0.22,0.55,2.91,3.17,-0.03,0.68,0.98,0.08,0.05,0.89,1.73,-2.96,0.99,1.71,1.79,4.72,0.40,0.44,0.13,-0.18,0.81,-0.07,0.95,0.26,0.67,0.67,0.67,0.67,0.67,0.67,0.55,1.96,2.43,0.22,4.53,-0.07,7.00,1.06,0.02,0.77,0.36,12.41,
frc5599,10.71,17.21,0.00,2.17,1.13,1.87,1.59,-0.16,1.54,2.18,1.57,1.23,7.36,-1.97,-0.99,-0.46,-0.39,2.75,0.34,0.16,-3.54,2.72,1.46,1.46,1.84,1.20,2.00,-0.20,1.35,0.03,1.00,0.14,0.42,0.01,0.31,0.67,0.67,0.67,0.67,0.67,0.67,1.74,0.37,0.69,0.36,2.17,0.10,12.08,-0.46,-0.06,-0.44,-0.20,10.71,
