MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nyli_qm1,blue,frc6024,frc4567,frc1546,50,41,0,9,5,2,2,0,0,5,5,5,18,0,0,0,3,0,3,0,13,6,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,28,0,0,0,0,50
2019nyli_qm1,red,frc514,frc4641,frc2875,41,50,0,9,2,2,2,5,5,5,5,5,15,0,0,0,3,3,3,1,0,9,0,5,5,5,8,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,9,1,32,0,0,0,0,41
2019nyli_qm10,blue,frc4641,frc11,frc1803,74,42,0,9,5,2,5,5,0,5,5,5,24,0,0,0,3,3,0,0,27,6,0,5,5,5,8,5,0,5,0,2,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,38,0,0,0,0,74
2019nyli_qm10,red,frc569,frc7239,frc6911,42,74,0,15,5,5,5,0,0,5,5,5,18,0,0,0,6,3,0,9,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,15,0,27,0,0,0,0,42
2019nyli_qm11,blue,frc2638,frc7611,frc2869,46,38,0,12,2,2,5,0,0,5,5,5,18,0,0,0,6,3,3,8,0,12,0,5,5,5,4,5,0,5,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,34,0,0,0,0,46
2019nyli_qm11,red,frc7280,frc6636,frc358,38,46,0,9,2,2,2,0,0,2,2,2,0,0,0,0,3,0,0,0,24,3,0,5,3,5,2,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,0,9,0,5,0,0,0,0,38
2019nyli_qm12,blue,frc271,frc3646,frc353,61,43,0,9,5,5,5,0,5,5,5,5,21,0,0,0,3,12,3,0,9,18,30,5,5,3,4,2,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,6,3,9,0,43,0,0,0,0,61
2019nyli_qm12,red,frc6941,frc7673,frc3173,43,61,0,12,5,5,5,0,0,5,2,2,18,0,0,0,3,6,0,3,0,9,0,5,5,5,4,0,5,5,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,31,0,0,0,0,43
2019nyli_qm13,blue,frc4641,frc7242,frc1546,38,37,0,9,5,5,5,0,0,5,5,5,18,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,2,0,0,0,0,2,2,2,2,2,2,3,3,3,2,9,0,29,0,0,0,0,38
2019nyli_qm13,red,frc28,frc1803,frc564,37,38,0,9,5,5,5,0,0,5,5,2,15,0,0,0,3,3,3,0,0,9,0,5,5,3,4,2,0,2,0,0,0,0,0,2,2,2,2,2,2,6,3,3,0,9,0,28,0,0,0,0,37
2019nyli_qm14,blue,frc7611,frc2161,frc2905,20,32,0,9,0,0,0,5,0,0,0,0,3,0,0,0,0,3,3,0,0,6,0,3,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,11,0,0,0,0,20
2019nyli_qm14,red,frc1601,frc2579,frc5298,32,20,0,12,5,2,5,5,0,2,2,2,9,0,0,0,3,3,3,0,0,9,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,3,3,2,12,0,20,0,0,0,0,32
2019nyli_qm15,blue,frc7748,frc7539,frc271,44,56,0,12,5,5,5,2,2,2,2,2,12,0,0,0,3,3,3,0,3,9,0,5,5,5,8,0,2,0,5,0,0,0,0,2,2,2,2,2,2,3,3,6,0,12,0,29,0,0,0,0,44
2019nyli_qm15,red,frc358,frc1554,frc3646,56,44,0,9,5,5,5,5,5,2,2,5,18,0,0,0,6,3,12,1,0,21,30,5,3,5,8,0,2,0,0,0,0,2,0,2,2,2,2,2,2,6,6,3,3,9,0,47,0,0,0,0,56
