Team,score,opponents score,adjustpoints,autopoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargopoints,completerocketrankingpoint,completedrocketfar,completedrocketnear,endgamerobot1,endgamerobot2,endgamerobot3,foulcount,foulpoints,habclimbpoints,habdockingrankingpoint,hablinerobot1,hablinerobot2,hablinerobot3,hatchpanelpoints,lowleftrocketfar,lowleftrocketnear,lowrightrocketfar,lowrightrocketnear,midleftrocketfar,midleftrocketnear,midrightrocketfar,midrightrocketnear,prematchbay1,prematchbay2,prematchbay3,prematchbay6,prematchbay7,prematchbay8,prematchlevelrobot1,prematchlevelrobot2,prematchlevelrobot3,rp,sandstormbonuspoints,techfoulcount,teleoppoints,topleftrocketfar,topleftrocketnear,toprightrocketfar,toprightrocketnear,totalpoints,
frc6024,23.07,21.71,0.00,3.68,1.81,2.25,2.09,0.31,0.43,1.77,2.26,2.08,11.61,-0.34,0.00,0.06,0.86,0.36,1.10,0.18,1.53,2.43,-1.19,1.81,1.79,1.77,3.83,1.40,0.13,1.33,-0.11,1.16,0.74,1.16,0.32,0.67,0.67,0.67,0.67,0.67,0.67,1.53,1.01,0.74,0.27,3.68,0.18,17.87,0.48,0.02,0.28,0.03,23.07,
frc4567,9.34,19.33,0.00,2.91,1.67,1.20,1.64,0.05,-0.05,1.09,1.36,1.16,5.29,-0.10,0.00,0.04,0.66,0.34,-0.60,0.73,0.65,0.42,-3.17,1.74,1.61,1.20,0.07,0.39,-0.09,0.38,0.42,-0.08,0.14,-0.30,0.65,0.67,0.67,0.67,0.67,0.67,0.67,1.31,1.25,0.71,-0.27,2.91,0.15,5.78,-0.04,0.00,-0.04,-0.02,9.34,
frc1546,18.40,11.40,0.00,2.94,1.25,1.36,0.71,0.10,1.21,2.24,2.38,2.09,7.32,-0.08,0.00,0.07,1.88,0.76,2.21,-0.87,1.23,4.90,2.51,1.39,1.67,1.87,2.01,0.49,0.81,0.75,0.94,-0.21,0.00,-0.05,-0.20,0.67,0.67,0.67,0.67,0.67,0.67,0.94,0.88,1.13,0.98,2.94,-0.11,14.23,-0.06,-0.02,-0.05,-0.01,18.40,
frc514,12.50,16.69,0.00,2.54,-0.18,0.31,0.94,2.46,1.38,0.90,0.31,1.08,1.92,-0.57,0.00,-0.18,0.37,1.50,0.83,0.01,-0.85,2.74,-1.02,1.35,1.62,1.20,6.15,0.29,1.39,0.29,0.69,0.22,-0.46,0.46,-0.41,0.67,0.67,0.67,0.67,0.67,0.67,1.16,0.75,1.08,0.19,2.54,0.01,10.81,0.01,-0.06,0.16,-0.11,12.50,
frc4641,18.18,17.29,0.00,4.01,1.80,1.76,1.85,1.00,0.66,1.76,2.54,1.61,8.60,0.11,0.00,0.05,2.39,0.62,-0.25,-0.35,1.70,2.87,-0.08,1.70,1.84,1.86,1.01,0.75,-0.24,0.51,-0.17,0.47,-0.26,0.23,-0.38,0.67,0.67,0.67,0.67,0.67,0.67,1.54,1.07,1.01,0.20,4.01,0.08,12.47,0.12,-0.02,-0.10,-0.02,18.18,
frc2875,14.17,14.59,0.00,2.64,1.24,1.29,1.21,2.03,2.26,1.44,1.12,0.93,6.43,-0.31,0.00,0.10,-0.09,0.26,1.21,-0.13,0.65,1.44,0.92,1.63,1.71,1.76,3.01,0.59,0.47,0.79,0.22,-0.16,0.02,-0.08,0.46,0.67,0.67,0.67,0.67,0.67,0.67,0.94,1.11,0.41,0.34,2.64,0.01,10.88,-0.04,0.03,-0.04,0.04,14.17,
frc11,22.88,17.43,0.00,3.24,1.06,0.81,1.02,-0.08,0.11,1.57,2.05,1.80,9.46,2.51,0.00,2.46,-0.07,0.91,0.56,0.24,3.63,1.47,1.75,1.84,1.66,1.42,5.08,1.06,1.35,1.38,1.51,0.07,1.59,0.41,1.70,0.67,0.67,0.67,0.67,0.67,0.67,0.92,0.87,1.07,0.57,3.24,0.12,16.01,-0.02,0.71,0.13,0.66,22.88,
frc1803,11.46,16.42,0.00,2.25,1.65,0.70,1.23,1.85,-0.26,1.75,1.39,1.11,4.39,-0.31,0.00,-0.44,0.33,1.43,0.38,0.55,1.54,1.39,-0.19,1.27,0.94,1.66,1.88,0.57,0.08,0.39,0.36,0.19,-0.42,-0.24,-0.24,0.67,0.67,0.67,0.67,0.67,0.67,0.99,1.55,0.96,0.06,2.25,-0.06,7.67,0.10,-0.12,0.09,-0.15,11.46,
frc569,15.49,18.40,0.00,3.13,1.34,1.58,1.50,0.40,0.67,1.39,2.13,1.88,7.83,-0.34,0.00,-0.13,0.39,0.95,1.78,2.31,-0.19,3.04,1.38,1.60,1.62,1.63,1.69,0.23,1.13,0.22,1.10,-0.19,0.02,0.18,0.03,0.67,0.67,0.67,0.67,0.67,0.67,0.96,0.96,1.35,0.47,3.13,-0.06,12.56,0.00,0.09,-0.01,0.03,15.49,
frc7239,20.65,22.35,0.00,5.25,1.40,1.78,1.82,2.25,2.04,0.89,1.37,0.66,6.50,-0.38,0.00,-0.42,1.75,2.45,1.06,0.13,-0.56,5.21,4.46,1.74,1.65,1.72,4.26,1.02,-0.69,0.76,-0.70,0.27,0.01,0.06,0.25,0.67,0.67,0.67,0.67,0.67,0.67,1.74,1.52,1.57,0.67,5.25,0.14,15.97,-0.05,-0.12,-0.04,-0.16,20.65,
