MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoPoints,bay1,bay2,bay3,bay4,bay5,bay6,bay7,bay8,cargoPoints,completeRocketRankingPoint,completedRocketFar,completedRocketNear,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,habClimbPoints,habDockingRankingPoint,habLineRobot1,habLineRobot2,habLineRobot3,hatchPanelPoints,lowLeftRocketFar,lowLeftRocketNear,lowRightRocketFar,lowRightRocketNear,midLeftRocketFar,midLeftRocketNear,midRightRocketFar,midRightRocketNear,preMatchBay1,preMatchBay2,preMatchBay3,preMatchBay6,preMatchBay7,preMatchBay8,preMatchLevelRobot1,preMatchLevelRobot2,preMatchLevelRobot3,rp,sandStormBonusPoints,techFoulCount,teleopPoints,topLeftRocketFar,topLeftRocketNear,topRightRocketFar,topRightRocketNear,totalPoints
2019nyny_qm1,blue,frc1880,frc743,frc6590,49,39,0,15,2,2,5,5,0,5,5,5,15,0,0,0,6,3,3,0,3,12,0,5,5,5,4,0,0,0,0,0,0,0,2,2,2,2,2,2,2,6,6,3,2,15,0,31,0,0,0,0,49
2019nyny_qm1,red,frc4640,frc354,frc5599,39,49,0,9,5,5,2,0,0,5,5,5,15,0,0,0,0,6,3,1,0,9,0,3,5,5,6,0,0,0,0,0,2,0,2,2,2,2,2,2,2,3,6,3,0,9,0,30,0,0,0,2,39
2019nyny_qm10,blue,frc354,frc1880,frc7522,90,30,0,15,5,5,2,5,5,5,5,5,27,0,0,0,6,6,3,1,21,15,30,5,5,5,12,5,0,5,2,0,0,2,0,2,2,2,2,2,2,6,6,3,3,15,0,54,0,0,0,0,90
2019nyny_qm10,red,frc3004,frc2869,frc1660,30,90,0,9,2,5,5,0,0,5,5,5,15,0,0,0,0,0,3,7,3,3,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,6,0,9,0,18,0,0,0,0,30
2019nyny_qm11,blue,frc335,frc3419,frc4528,23,64,0,3,0,0,0,0,5,5,5,5,12,0,0,0,0,3,3,0,0,6,0,3,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,2,20,0,0,0,0,23
2019nyny_qm11,red,frc2344,frc4122,frc6401,64,23,0,9,5,5,5,0,5,5,5,2,18,0,0,0,3,6,6,0,20,15,30,5,5,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,3,9,0,35,0,0,0,0,64
2019nyny_qm12,blue,frc6195,frc2265,frc7004,49,6,0,9,2,5,5,0,0,5,5,5,15,0,0,0,3,3,6,0,13,12,0,3,5,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,27,0,0,0,0,49
2019nyny_qm12,red,frc4773,frc6590,frc7036,6,49,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,5,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,1,3,0,0,0,0,6
2019nyny_qm13,blue,frc5781,frc7668,frc7272,16,38,0,9,2,2,2,0,0,2,2,2,0,0,0,0,0,3,0,1,0,3,0,5,3,5,4,0,0,0,0,2,0,2,0,2,2,2,2,2,2,6,6,3,0,9,0,7,0,0,0,0,16
2019nyny_qm13,red,frc5806,frc1155,frc5202,38,16,0,15,5,5,5,2,0,5,5,2,15,0,0,0,0,0,3,0,3,3,0,5,5,5,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,6,2,15,0,20,0,0,0,0,38
2019nyny_qm14,blue,frc395,frc4299,frc4640,37,26,0,12,2,2,2,2,5,5,5,5,12,0,0,0,3,3,3,5,0,9,0,5,5,3,4,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,2,12,0,25,0,0,0,0,37
2019nyny_qm14,red,frc1635,frc1230,frc3204,26,37,0,0,2,2,2,0,2,5,2,2,3,0,0,0,6,0,0,0,15,6,0,3,3,3,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,0,0,11,0,0,0,0,26
2019nyny_qm15,blue,frc2579,frc7050,frc1796,76,37,0,12,2,2,2,0,2,5,5,5,27,30,0,30,3,6,12,0,0,21,30,5,5,5,16,0,5,0,5,0,5,0,5,2,2,2,2,2,2,6,3,3,4,12,0,64,0,5,0,5,76
2019nyny_qm15,red,frc4571,frc7458,frc1600,37,76,0,0,5,5,2,5,0,5,5,5,18,0,0,0,3,6,6,0,0,15,30,3,3,3,4,0,2,0,0,0,0,0,0,2,2,2,2,2,2,6,6,3,1,0,0,37,0,0,0,0,37
2019nyny_qm16,blue,frc6636,frc6435,frc5599,27,45,0,3,2,5,5,0,0,5,5,2,12,0,0,0,3,0,3,1,6,6,0,3,3,5,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,0,3,0,18,0,0,0,0,27
2019nyny_qm16,red,frc640,frc4383,frc5298,45,27,0,9,5,5,5,5,5,5,2,5,21,0,0,0,0,3,3,2,3,6,0,3,5,5,6,0,2,0,0,0,0,0,0,2,2,2,2,2,2,3,6,3,2,9,0,33,0,0,0,0,45
